1.1.1.222,1.1.1.110
1.3.3.9,1.14.19.62
1.6.1.5,7.1.1.1
1.6.5.3,7.1.1.2
1.6.5.8,7.2.1.1
1.10.2.2,7.1.1.8
1.10.3.10,7.1.1.3
1.10.3.12,7.1.1.5
1.10.3.13,7.1.1.4
1.10.3.14,7.1.1.7
1.10.9.1,7.1.1.6
1.14.11.14,1.14.20.13
1.14.11.19,1.14.20.4
1.14.11.22,1.14.20.5
1.14.11.23,1.14.20.6
1.14.11.34,1.14.20.7
1.14.11.50,1.14.20.8
1.14.12.4,1.14.13.242
1.14.12.5,1.14.13.241
1.14.13.11,1.14.14.91
1.14.13.12,1.14.14.92
1.14.13.21,1.14.14.82
1.14.13.28,1.14.14.93
1.14.13.30,1.14.14.94
1.14.13.36,1.14.14.96
1.14.13.37,1.14.14.97
1.14.13.47,1.14.14.99
1.14.13.52,1.14.14.88
1.14.13.53,1.14.14.89
1.14.13.55,1.14.14.98
1.14.13.56,1.14.14.100
1.14.13.57,1.14.14.101
1.14.13.70,1.14.14.154
1.14.13.71,1.14.14.102
1.14.13.73,1.14.14.103
1.14.13.74,1.14.14.85
1.14.13.75,1.14.14.104
1.14.13.76,1.14.14.105
1.14.13.77,1.14.14.106
1.14.13.78,1.14.14.86
1.14.13.79,1.14.14.107
1.14.13.85,1.14.14.135
1.14.13.87,1.14.14.140
1.14.13.88,1.14.14.81
1.14.13.89,1.14.14.90
1.14.13.97,1.14.14.57
1.14.13.91,1.14.14.136
1.14.13.93,1.14.14.137
1.14.13.94,1.14.14.138
1.14.13.96,1.14.14.139
1.14.13.102,1.14.14.141
1.14.13.103,1.14.14.142
1.14.13.104,1.14.14.143
1.14.13.108,1.14.14.144
1.14.13.109,1.14.14.145
1.14.13.110,1.14.14.146
1.14.13.112,1.14.14.147
1.14.13.115,1.14.14.148
1.14.13.119,1.14.14.149
1.14.13.120,1.14.14.150
1.14.13.121,1.14.14.151
1.14.13.123,1.14.14.95
1.14.13.125,1.14.14.156
1.14.13.133,1.14.15.32
1.14.13.134,1.14.14.152
1.14.13.136,1.14.14.87
1.14.13.137,1.14.14.153
1.14.13.138,1.14.14.157
1.14.13.139,1.14.14.109
1.14.13.140,1.14.14.110
1.14.13.141,1.14.15.29
1.14.13.142,1.14.15.30
1.14.13.143,1.14.14.76
1.14.13.144,1.14.14.111
1.14.13.145,1.14.14.112
1.14.13.150,1.14.14.113
1.14.13.151,1.14.14.84
1.14.13.152,1.14.14.83
1.14.13.156,1.14.14.133
1.14.13.158,1.14.14.114
1.14.13.162,1.14.14.108
1.14.13.173,1.14.14.115
1.14.13.174,1.14.14.116
1.14.13.175,1.14.14.117
1.14.13.176,1.14.14.118
1.14.13.177,1.14.14.119
1.14.13.183,1.14.14.120
1.14.13.184,1.14.14.121
1.14.13.185,1.14.15.33
1.14.13.186,1.14.15.34
1.14.13.188,1.14.15.35
1.14.13.191,1.14.14.70
1.14.13.192,1.14.14.122
1.14.13.193,1.14.14.123
1.14.13.194,1.14.14.78
1.14.13.197,1.14.14.124
1.14.13.198,1.14.14.125
1.14.13.199,1.14.14.79
1.14.13.201,1.14.14.126
1.14.13.202,1.14.14.127
1.14.13.203,1.14.14.128
1.14.13.204,1.14.14.129
1.14.13.205,1.14.14.80
1.14.13.206,1.14.14.130
1.14.13.213,1.14.14.131
1.14.13.214,1.14.14.132
1.14.13.221,1.14.15.28
1.14.14.140,1.14.14.162
1.14.20.2,1.14.11.59
1.14.21.1,1.14.19.64
1.14.21.2,1.14.19.65
1.14.21.3,1.14.19.66
1.14.21.4,1.14.19.67
1.14.21.5,1.14.19.68
1.14.21.7,1.14.19.69
1.14.21.8,1.14.19.63
1.14.21.9,1.14.19.70
1.14.21.10,1.14.19.71
1.14.21.11,1.14.19.72
1.14.21.12,1.14.19.73
1.14.99.43,1.14.14.134
1.14.99.45,1.14.14.158
1.14.99.49,1.14.15.31
1.16.5.1,7.2.1.3
1.17.99.1,1.17.9.71
1.18.1.8,7.2.1.2
2.3.1.128,2.3.1.266,2.3.1.267
2.5.1.77,2.5.1.147,4.3.1.32
3.1.27.1,4.6.1.19
3.1.27.2,4.6.1.22
3.1.27.4,4.6.1.20
3.1.27.5,4.6.1.18
3.1.27.6,4.6.1.21
3.6.3.1,7.6.2.1
3.6.3.2,7.2.2.14
3.6.3.4,7.2.2.9
3.6.3.5,7.2.2.12
3.6.3.6,7.1.2.1
3.6.3.7,7.2.2.3
3.6.3.8,7.2.2.10
3.6.3.9,7.2.2.13
3.6.3.10,3.6.3.10
3.6.3.12,7.2.2.6
3.6.3.14,7.1.2.2
3.6.3.15,7.2.2.1
3.6.3.18,7.5.2.2
3.6.3.19,7.5.2.1
3.6.3.20,7.6.2.10
3.6.3.21,7.4.2.1
3.6.3.22,7.4.2.2
3.6.3.23,7.4.2.6
3.6.3.24,7.2.2.11
3.6.3.25,7.3.2.3
3.6.3.26,7.3.2.4
3.6.3.27,7.3.2.1
3.6.3.28,7.3.2.2
3.6.3.29,7.3.2.5
3.6.3.30,7.3.2.7
3.6.3.31,7.3.2.11
3.6.3.32,7.3.2.9
3.6.3.33,7.3.2.8
3.6.3.34,7.3.2.16,7.3.2.17,7.3.2.18
3.6.3.35,7.3.2.5
3.6.3.36,7.6.2.7
3.6.3.37,7.6.2.6
3.6.3.38,3.6.3.38
3.6.3.39,7.5.2.5
3.6.3.40,7.5.2.4
3.6.3.41,7.6.2.5
3.6.3.42,7.5.2.3
3.6.3.43,7.4.2.5
3.6.3.44,7.6.2.2
3.6.3.46,7.2.2.2
3.6.3.47,7.6.2.4
3.6.3.48,7.4.2.7
3.6.3.49,5.6.1.6
3.6.3.50,7.4.2.8
3.6.3.51,7.4.2.3
3.6.3.52,7.4.2.4
3.6.3.53,7.2.2.15
3.6.3.54,7.2.2.8
3.6.3.55,7.3.2.6
3.6.4.1,5.6.1.8
3.6.4.2,5.6.1.2
3.6.4.3,5.6.1.1
3.6.4.4,5.6.1.3
3.6.4.5,5.6.1.4
3.6.4.8,5.6.1.5
3.6.4.9,5.6.1.7
4.1.1.3,7.2.4.2,4.1.1.112
4.1.1.41,7.2.4.3
4.1.1.89,7.2.4.4
4.3.99.2,7.2.4.1
4.4.1.6,4.4.1.13
4.4.1.8,4.4.1.13
5.99.1.2,5.6.2.1
5.99.1.3,5.6.2.2
