EC Number Recommended Name History
1.1.1.1;alcohol dehydrogenase;-
1.1.1.2;alcohol dehydrogenase (NADP+);-
1.1.1.B3;(S)-specific secondary alcohol dehydrogenase;preliminary BRENDA-supplied EC number
1.1.1.3;homoserine dehydrogenase;-
1.1.1.B4;(R)-specific secondary alcohol dehydrogenase;preliminary BRENDA-supplied EC number
1.1.1.4;(R,R)-butanediol dehydrogenase;-
1.1.1.5;acetoin dehydrogenase;transferred to EC 1.1.1.303 and EC 1.1.1.304
1.1.1.6;glycerol dehydrogenase;-
1.1.1.7;propanediol-phosphate dehydrogenase;-
1.1.1.8;glycerol-3-phosphate dehydrogenase (NAD+);-
1.1.1.9;D-xylulose reductase;-
1.1.1.10;L-xylulose reductase;-
1.1.1.11;D-arabinitol 4-dehydrogenase;-
1.1.1.12;L-arabinitol 4-dehydrogenase;-
1.1.1.13;L-arabinitol 2-dehydrogenase;-
1.1.1.14;L-iditol 2-dehydrogenase;-
1.1.1.15;D-iditol 2-dehydrogenase;-
1.1.1.16;galactitol 2-dehydrogenase;-
1.1.1.17;mannitol-1-phosphate 5-dehydrogenase;-
1.1.1.18;inositol 2-dehydrogenase;-
1.1.1.B18;L-1-amino-2-propanol dehydrogenase;preliminary BRENDA-supplied EC number
1.1.1.19;glucuronate reductase;-
1.1.1.B19;xylitol dehydrogenase (NAD+);preliminary BRENDA-supplied EC number
1.1.1.20;glucuronolactone reductase;-
1.1.1.B20;meso-2,3-butandiol dehydrogenase;preliminary BRENDA-supplied EC number
1.1.1.21;aldehyde reductase;-
1.1.1.22;UDP-glucose 6-dehydrogenase;-
1.1.1.23;histidinol dehydrogenase;-
1.1.1.24;quinate dehydrogenase;-
1.1.1.B25;norsolorinate ketoreductase;preliminary BRENDA-supplied EC number
1.1.1.25;shikimate dehydrogenase;-
1.1.1.26;glyoxylate reductase;-
1.1.1.27;L-lactate dehydrogenase;-
1.1.1.28;D-lactate dehydrogenase;-
1.1.1.B28;dTDP-4-dehydro-6-deoxyglucose reductase [NAD(P)H];preliminary BRENDA-supplied EC number
1.1.1.29;glycerate dehydrogenase;-
1.1.1.30;3-hydroxybutyrate dehydrogenase;-
1.1.1.31;3-hydroxyisobutyrate dehydrogenase;-
1.1.1.32;mevaldate reductase;-
1.1.1.33;mevaldate reductase (NADPH);-
1.1.1.34;hydroxymethylglutaryl-CoA reductase (NADPH);-
1.1.1.35;3-hydroxyacyl-CoA dehydrogenase;-
1.1.1.B35;D-arabinose 1-dehydrogenase (NADP+);preliminary BRENDA-supplied EC number
1.1.1.36;acetoacetyl-CoA reductase;-
1.1.1.37;malate dehydrogenase;-
1.1.1.B38;hydroxymethylglutaryl-CoA reductase [NAD(P)H];preliminary BRENDA-supplied EC number
1.1.1.38;malate dehydrogenase (oxaloacetate-decarboxylating);-
1.1.1.39;malate dehydrogenase (decarboxylating);-
1.1.1.B40;11beta-hydroxysteroid dehydrogenase (NAD+);preliminary BRENDA-supplied EC number
1.1.1.40;malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+);-
1.1.1.41;isocitrate dehydrogenase (NAD+);-
1.1.1.42;isocitrate dehydrogenase (NADP+);-
1.1.1.43;phosphogluconate 2-dehydrogenase;-
1.1.1.44;phosphogluconate dehydrogenase (NADP+-dependent, decarboxylating);-
1.1.1.45;L-gulonate 3-dehydrogenase;-
1.1.1.46;L-arabinose 1-dehydrogenase;-
1.1.1.47;glucose 1-dehydrogenase [NAD(P)+];-
1.1.1.B47;succinate semialdehyde reductase (NADPH);preliminary BRENDA-supplied EC number
1.1.1.48;D-galactose 1-dehydrogenase;-
1.1.1.49;glucose-6-phosphate dehydrogenase (NADP+);-
1.1.1.50;3alpha-hydroxysteroid 3-dehydrogenase (Si-specific);-
1.1.1.51;3(or 17)beta-hydroxysteroid dehydrogenase;-
