rnx.id	new.rev	rm.rxn	new.stoichiometry	comment	Reference 	note	abbreviation	name	forced.approval
rxn00318	>			[SW] Reaction never reported to be reversible.	http://www.brenda-enzymes.info/enzyme.php?ecno=3.5.1.17				
rxn00779	>			[SW] Enzyme reported predominantly to be irreversible.	http://www.brenda-enzymes.info/enzyme.php?ecno=1.2.1.9				
rxn02004	>			[SW] Reaction never reported to be reversible.	https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.3.12				
rxn00743	>			[SW] Reaction never reported to be reversible.	https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.3.12				
rxn01345	>			[SW] Reaction never reported to be reversible.	https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.3.11				
rxn00001	>			[SW] Reaction may be only reversible if coupled with another reaction that provides energy.	"reaction may be reversed by coupling to glucose-6-phosphate to 6-phospho-gluconate" - Josse, J.; Wong, S.C.K.; The Enzymes, 3rd Ed. (Boyer, P. D. , ed. ) 4, 499-527 (1971)				
rxn01173	>			[SW] Reaction irreversible.	Nakamura, K.; Bernheim, F.; Biochim. Biophys. Acta 50, 147-152 (1961)				
rxn00420	>			[SW] the enzyme catalyzes the final and irreversible step of L-serine synthesis	Jung, T.Y.; Kim, Y.S.; Oh, B.H.; Woo, E.; Proteins 81, 819-829 (2013)				
rxn00549	>			[SW] Reaction never reported to be reversible.	https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.3.11#SUBSTRATE				
rxn00221	>			[SW] New direction according to Metacyc	https://biocyc.org/META/NEW-IMAGE?type=REACTION&object=GLUCOSE-1-PHOSPHAT-RXN				
rxn00610	>			[SW] Reaction never reported to be reversible.	https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.3.21#SUBSTRATE				
rxn00220	>			[SW] Reaction never reported to be reversible.	https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.3.58#SUBSTRATE				
rxn00391	>			[SW] Reaction never reported to be reversible.	https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.3.102#SUBSTRATE				
rxn01172	>			[SW] Reaction irreversible.	Nakamura, K.; Bernheim, F.; Biochim. Biophys. Acta 50, 147-152 (1961)				
rxn00132	>			[SW] Reaction never reported to be reversible.	https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.3.5#NATURAL%20SUBSTRATES				
rxn02058	>			[SW] Reaction never reported to be reversible.	https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.3.50#NATURAL%20SUBSTRATES				
rxn00578	>			[SW] Reaction never reported to be reversible.	https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.3.24#NATURAL%20SUBSTRATES				
rxn00632	>			[SW] Phosphatases usually not reversible. No BRENDA entry for this reaction.					
rxn01969	>			[SW] Reaction never reported to be reversible.	https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.3.54#SUBSTRATE				
rxn02005	>			[SW] PEP:PYR PTS is most likely irreversible.	10.1128/MMBR.00024-06				
rxn01560	>			[SW] Reaction never reported to be reversible.	https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.3.22#SUBSTRATE				
rxn00126	>			[SW] Reaction never reported to be reversible, but reported irreversible in some cases.	https://www.brenda-enzymes.org/enzyme.php?ecno=2.5.1.6#SUBSTRATE				
rxn01282	>			[SW] Phosphatases usually not reversible. Reported irreversible.	James, L.; Schwartzbach, S.D.; Plant Sci. Lett. 27, 223-232 (1982)				
rxn01099	>			[SW] Reaction never reported to be reversible.	https://www.brenda-enzymes.org/enzyme.php?ecno=3.1.3.38#SUBSTRATE				
rxn00257	>			[SW] Reaction irreversible.	Chypre, M.; Zaidi, N.; Smans, K.; Biochem. Biophys. Res. Commun. 422, 1-4 (2012)				
rxn00934	>			[SW] Reaction never reported to be reversible.	https://www.brenda-enzymes.org/enzyme.php?ecno=6.2.1.9#SUBSTRATE				
rxn00767		TRUE		[SW] Enzyme not reported for microorganisms.	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=2.7.1.79-RXN # https://www.brenda-enzymes.org/enzyme.php?ecno=2.7.1.79				
rxn00971	>			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=CITRATE--COA-LIGASE-RXN				
rxn00251	<			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=PEPCARBOX-RXN				
rxn00250	>			[SW] Reaction physiologically irreversible.	10.1016/j.femsre.2004.11.002				
rxn00533	>			[SW] Reaction most commonly reported irreversible.	https://www.brenda-enzymes.org/enzyme.php?ecno=6.4.1.2#SUBSTRATE				
rxn01286	>			[SW] Reaction never reported to be reversible.	https://www.brenda-enzymes.org/enzyme.php?ecno=1.2.1.3#SUBSTRATE				
rxn00429	>			[SW] Reaction irreversible.	Ando, M.; Yoshimoto, T.; Ogushi, S.; Rikitake, K.; Shibata, S.; Tsuru, D.; J. Biochem. 85, 1165-1172 (1979)				
rxn01209		TRUE		[SW] Reaction cannot be found in any other database. Probably confused with RXN in Ref:	http://www.rhea-db.org/reaction?id=20221				
rxn00668	>			[SW] New direction according to Metacyc	https://biocyc.org/META/NEW-IMAGE?type=REACTION&object=RXN-8568				
rxn00375	>			[SW] Reaction never reported to be reversible.	https://www.brenda-enzymes.org/enzyme.php?ecno=3.5.1.68#SUBSTRATE				
rxn00183	>			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=RXN-14116				
rxn02915		TRUE		[SW] Reaction cannot be found in any other database.					
rxn02289	>			[SW] Reaction irreversible.	Nurmikko, V.; M??nts??l??, P.; Kuusikko, R.; Niemi, R.; Suom. Kemistil. B 44, 244-247 (1971)				
rxn00508	>			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION-IN-PATHWAY&object=SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN				
rxn00509	>			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION-IN-PATHWAY&object=SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN				
rxn05734		TRUE		[SW] Reaction cannot be found in any other database.					
rxn00148	<			[SW] Pyruvate kinase is irreversible under physiological conditions	Berg JM Tymoczko JL, Stryer L, Clarke ND (2002). Biochemistry (fifth ed.). New York, NY: W.H. Freeman. ISBN 978-0-7167-3051-4.				
rxn00840	<			[SW] Pyruvate kinase is irreversible under physiological conditions. Same as rxn00148, but with dATP as cofactor.	Berg JM Tymoczko JL, Stryer L, Clarke ND (2002). Biochemistry (fifth ed.). New York, NY: W.H. Freeman. ISBN 978-0-7167-3051-4.				
rxn01354	<			[SW] Pyruvate kinase is irreversible under physiological conditions. Same as rxn00148, but with dGTP as cofactor.	Berg JM Tymoczko JL, Stryer L, Clarke ND (2002). Biochemistry (fifth ed.). New York, NY: W.H. Freeman. ISBN 978-0-7167-3051-4.				
rxn00517	<			[SW] Pyruvate kinase is irreversible under physiological conditions. Same as rxn00148, but with ITP as cofactor.	Berg JM Tymoczko JL, Stryer L, Clarke ND (2002). Biochemistry (fifth ed.). New York, NY: W.H. Freeman. ISBN 978-0-7167-3051-4.				
rxn00304	<			[SW] Pyruvate kinase is irreversible under physiological conditions. Same as rxn00148, but with GTP as cofactor.	Berg JM Tymoczko JL, Stryer L, Clarke ND (2002). Biochemistry (fifth ed.). New York, NY: W.H. Freeman. ISBN 978-0-7167-3051-4.				
rxn00411	<			[SW] Pyruvate kinase is irreversible under physiological conditions. Same as rxn00148, but with CTP as cofactor.	Berg JM Tymoczko JL, Stryer L, Clarke ND (2002). Biochemistry (fifth ed.). New York, NY: W.H. Freeman. ISBN 978-0-7167-3051-4.				
rxn00460	<			[SW] Pyruvate kinase is irreversible under physiological conditions. Same as rxn00148, but with UTP as cofactor.	Berg JM Tymoczko JL, Stryer L, Clarke ND (2002). Biochemistry (fifth ed.). New York, NY: W.H. Freeman. ISBN 978-0-7167-3051-4.				
rxn01667	<			[SW] Pyruvate kinase is irreversible under physiological conditions. Same as rxn00148, but with NTP as cofactor.	Berg JM Tymoczko JL, Stryer L, Clarke ND (2002). Biochemistry (fifth ed.). New York, NY: W.H. Freeman. ISBN 978-0-7167-3051-4.				
rxn04036	>			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=R229-RXN				
rxn07847	>			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=RXN-2882				
rxn01077	>			[SW] New direction according to Metacyc. Never been reported reversible (BRENDA)	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=GLUCURONOKINASE-RXN # https://www.brenda-enzymes.org/enzyme.php?ecno=2.7.1.43#				
rxn08684	>			[SW] Reaction never reported to be reversible.	https://www.brenda-enzymes.org/enzyme.php?ecno=3.2.1.31				
rxn08111	>			[SW] Reaction never reported to be reversible, but reported irreversible in some cases.	https://www.brenda-enzymes.org/enzyme.php?ecno=1.2.1.5#SUBSTRATE				
rxn09272	>			[SW] New direction according to Metacyc	https://metacyc.org/META/NEW-IMAGE?type=REACTION&object=SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN				
