id	name	altname	hierarchy	taxrange	reaId	reaEc	keyRea	reaName
PWY1	Oxidase test		|THINGS|,|FRAMES|,|Generalized-Reactions|,|Enzyme-Test|,|Energy-Metabolism|		rxn1	1.9.3.1	rxn1	cytochrome-c oxidase
PWY2	Catalase test		|THINGS|,|FRAMES|,|Generalized-Reactions|,|Enzyme-Test|,|Detoxification|		rxn1	1.11.1.6	rxn1	catalase
PWY3	leucyl aminopeptidase test	Pathways,Hydrolases	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Enzyme-Test|		rxn1	3.4.11.1	rxn1	leucine arylamidase
PWY4	arginine deiminase test	Pathways,Hydrolases	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Enzyme-Test|,|Energy-Metabolism|		rxn1	3.5.3.6	rxn1	arginine deiminase
2FLHYD	2-fucosyllactose degradation		|CARBOXYLATES-DEG|,|Degradation|,|Carbohydrates-Degradation|,|Sugars-And-Polysaccharides-Degradation|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Energy-Metabolism|,|Fermentation|,|Fermentation-to-Acids|,|Fermentation-to-Lactate|	|TAX-2|	ALPHA-FUCOSIDASE,2FLABCTRANSPORT	3.2.1.63,	ALPHA-FUCOSIDASE	1,2-alpha-L-fucosidase;2-FL ABC transport
LNT-DEGRADATION	Lacto-N-tetraose degradation		|CARBOXYLATES-DEG|,|Degradation|,|Carbohydrates-Degradation|,|Sugars-And-Polysaccharides-Degradation|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Energy-Metabolism|,|Fermentation|,|Fermentation-to-Acids|,|Fermentation-to-Lactate|	|TAX-2|	rxn1,rxn2,rxn3,rxn4	3.2.1.140,3.6.3.18,2.4.1.211,3.2.1.108	rxn1	Lacto-N-biosidase;lacto-N-biose transporter;1,3-beta-galactosyl-N-acetylhexosamine phosphorylase;lactase
FUCDEGRA-NP	L-Fucose degradation (non-phosphorylating)		|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|Carbohydrates-Degradation|,|Sugars-And-Polysaccharides-Degradation|	|TAX-2|	FUC-DEHYD,FUCLACHYDROLASE,FUCONATE-DEHYDR,L-KDF-ALDO,LACALDRED	1.1.1.173,3.1.1.65,4.2.1.68,,1.1.1.77		L-fucose dehydrogenase;L-fuconolactone hydrolase;L-fuconate dehydratase;2-keto-3-deoxyfuconate aldolase;lactaldehyde reductase
BIFIDOSHUNT2	Bifidobacterium shunt II		|CARBOXYLATES-DEG|,|Acetate-Formation|,|Degradation|,|Carbohydrates-Degradation|,|Sugars-And-Polysaccharides-Degradation|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Energy-Metabolism|,|Fermentation|,|Fermentation-to-Acids|,|Fermentation-to-Lactate|	|TAX-201174|	FRUCTOSE-6-PHOSPHATE-PHOSPHOKETOLASE-RXN,ACETATEKIN-RXN,TRANSALDOL-RXN,1TRANSKETO-RXN,RIB5PISOM-RXN,RIBULP3EPIM-RXN,PHOSPHOKETOLASE-RXN,GAPOXNPHOSPHN-RXN,PHOSGLYPHOS-RXN,RXN-15513,2PGADEHYDRAT-RXN,PEPDEPHOS-RXN,L-LACTATE-DEHYDROGENASE-RXN,PGLUCISOM-RXN,GLUCOKIN-RXN	4.1.2.22,2.7.2.1,2.2.1.2,2.2.1.1,5.3.1.6,5.1.3.1,4.1.2.9,1.2.1.12,2.7.2.3,5.4.2.11,4.2.1.11,2.7.1.40,1.1.1.27,5.3.1.9,2.7.1.1/2.7.1.2	PHOSPHOKETOLASE-RXN,FRUCTOSE-6-PHOSPHATE-PHOSPHOKETOLASE-RXN	fructose-6-phosphate phosphoketolase;|ACETATEKIN-RXN|;transaldolase;|1TRANSKETO-RXN|;|RIB5PISOM-RXN|;|RIBULP3EPIM-RXN|;xylulose-5-phosphate phosphoketolase;|GAPOXNPHOSPHN-RXN|;|PHOSGLYPHOS-RXN|;|RXN-15513|;|2PGADEHYDRAT-RXN|;|PEPDEPHOS-RXN|;L-lactate dehydrogenase;glucose-6-phosphate isomerase;|GLUCOKIN-RXN|
MASS-SYNTHESIS	massetolide A biosynthesis		|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|SECONDARY-METABOLITE-BIOSYNTHESIS|,|Antibiotic-Biosynthesis|		rxn1,rxn2,rxn3	,,		massA;massB;massC
VISC-SYNTHESIS	viscosin biosynthesis		|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|SECONDARY-METABOLITE-BIOSYNTHESIS|,|Antibiotic-Biosynthesis|		rxn1,rxn2,rxn3	,,		viscA;viscB;viscC
