type	num_a	num_b	comment
ec	2.6.1.13	2.6.1.11	
ec	2.3.1.29	2.3.1.37	
ec	2.3.1.29	2.3.1.50	
ec	2.3.1.37	2.3.1.50	
ec	1.17.3.2	1.17.1.4	xanthine oxidase vs xanthine dehydrogenase
ec	1.3.3.6	1.3.1.8	acyl-CoA oxidase vs acyl-CoA dehydrogenase
ec	1.2.7.1	1.2.1.51	NADP-dependent Pyruvate dehydrogenase vs FMN-dependent PDH
ec	2.6.1.11	2.6.1.19	acetylornithine transaminase VS 4-aminobutyrate—2-oxoglutarate transaminase
ec	1.1.1.100	1.1.1.36	3-oxoacyl-ACP reductase VS acetoacetyl-CoA reductase
ec	4.1.3.36	4.2.1.150	1,4-dihydroxy-2-naphthoyl-CoA synthase VS (S)-3-hydroxybutanoyl-CoA dehydrogenase
ec	4.1.3.36	4.2.1.55	1,4-dihydroxy-2-naphthoyl-CoA synthase VS (S)-3-hydroxybutanoyl-CoA dehydrogenase
ec	1.2.1.76	1.2.1.10	succinate semialdehyde dehydrogenase VS acetaldehyde dehydrogenase
ec	1.2.1.87	1.2.1.10	propanal dehydrogenase VS acetaldehyde dehydrogenase
ec	2.1.2.1	4.1.2.48	glycine hydroxymethyltransferase VS threonine aldolase
ec	1.1.1.27	1.1.1.436	two lactate dehydrogenases, one with NADH one with bifurcation including NADH and Ferredoxin
ec	1.1.2.5	1.1.1.436	two lactate dehydrogenases, one with Ferrocytochrome and one with bifurcation including NADH and Ferredoxin
ec	6.3.1.1	2.6.1.2	Asp:NH3 ligase vs ala-aminotransferase
ec	2.6.1.11	2.6.1.18	beta-alanine aminotransferase vs acetyl-ornithine aminotransferase
ec	2.6.1.66	2.6.1.83	valine-pyruvate aminotransferase vs L,L-diaminopimelate aminotransferase
ec	2.6.1.2	2.6.1.83	alanine transaminase vs L,L-diaminopimelate aminotransferase
ec	1.1.1.37	1.1.1.27	malate dehydrogenase vs lactate dehydrogenase
ec	1.2.1.88	1.2.1.18	1-pyrroline-5-carboxylate dehydrogenase vs malonate-semialdehyde dehydrogenase
ec	4.1.1.105	4.1.1.18	trp decarboxylase vs. lysine decarboxylase
ec	4.1.1.105	4.1.1.86	trp decarboxylase vs. diaminobutyrate decarboxylase
ec	4.1.1.28	4.1.1.18	aromatic AA decarboxylase vs. lysine decarboxylase
ec	4.1.1.28	4.1.1.86	aromatic AA decarboxylase vs. diaminobutyrate decarboxylase
ec	1.1.2.3	1.1.3.2	Cytochrome-dependent lactate dehydrogenase vs. lactate oxidase (O2 as electon acceptor)
tc	1.a.8.2.1	2.a.14.1.3	
tc	1.a.8.2.7	2.a.14.1.3	
