compounds,name,maxFlux
cpd00001,H2O,100
cpd00067,H+,0.1
cpd00009,Phosphate,100
cpd00971,Na+,100
cpd00205,K+,100
cpd00099,Cl-,100
cpd00048,Sulfate,1
cpd00254,Mg,100
cpd00063,Ca2+,100
cpd10515,Fe2+,100
cpd10516,fe3,0.5
cpd00058,Cu2+,100
cpd00034,Zn2+,100
cpd00149,Co2+,100
cpd00030,Mn2+,100
cpd00013,NH3,100
cpd11574,Molybdate,0.01
cpd00027,Glucose,5
cpd00531,Hg2+,100
cpd01012,Cd2+,100
cpd11595,chromate,100
cpd00098,Choline,0.5
cpd00644,Pantothenate,0.5
cpd00393,Folate,0.5
cpd00133,Nicotinamide,0.5
cpd00215,Pyridoxal,0.5
cpd00220,Riboflavin,0.5
cpd00305,Thiamine,0.5
cpd00121,Inositol,0.5
cpd00051,L-Arginine,0.1
cpd00084,L-Cysteine,0.1
cpd00119,L-Histidine,0.1
cpd00322,L-Isoleucine,0.1
cpd00107,L-Leucine,0.1
cpd00039,L-Lysine,0.1
cpd00060,L-Methionine,0.1
cpd00066,L-Phenylalanine,0.1
cpd00161,L-Threonine,0.1
cpd00065,L-Tryptophan,0.1
cpd00069,L-Tyrosine,0.1
cpd00156,L-Valine,0.1
cpd00033,Glycine,0.1
cpd00035,L-Alanine,0.1
cpd00132,L-Asparagine,0.1
cpd00041,L-Aspartate,0.1
cpd00023,L-Glutamate,0.1
cpd00129,L-Proline,0.1
cpd00054,L-Serine,0.1
