seed,maxFlux
EX_cpd00363(e),1
EX_cpd00001(e),100
EX_cpd01420(e),0.1
EX_cpd00365(e),0.1
EX_cpd00305(e),0.1
EX_cpd03424(e),0.1
EX_cpd00220(e),0.1
EX_cpd00218(e),0.1
EX_cpd00133(e),0.1
EX_cpd00644(e),0.1
EX_cpd00419(e),0.1
EX_cpd00263(e),0.1
EX_cpd00215(e),0.1
EX_cpd00104(e),0.1
EX_cpd00201(e),0.1
EX_cpd00345(e),0.1
EX_cpd00087(e),0.1
EX_cpd00059(e),0.1
EX_cpd00857(e),0.1
EX_cpd01628(e),0.1
EX_cpd01401(e),0.1
EX_cpd00063(e),100
EX_cpd00099(e),5
EX_cpd00205(e),100
EX_cpd00254(e),7
EX_cpd00971(e),4
EX_cpd00009(e),6
EX_cpd00058(e),0.1
EX_cpd10515(e),0.1
EX_cpd10516(e),0.1
EX_cpd00030(e),0.1
EX_cpd00034(e),0.1
EX_cpd00314(e),0.1
EX_cpd00588(e),0.1
EX_cpd00306(e),0.1
EX_cpd00208(e),0.1
EX_cpd00179(e),0.1
EX_cpd00076(e),3
EX_cpd00082(e),1
EX_cpd00108(e),0.1
EX_cpd00027(e),2
EX_cpd00035(e),3
EX_cpd00051(e),2
EX_cpd00041(e),4
EX_cpd00084(e),0.1
EX_cpd00023(e),9
EX_cpd00033(e),3
EX_cpd00300(e),4
EX_cpd00119(e),1
EX_cpd00322(e),2
EX_cpd00107(e),4
EX_cpd00039(e),3
EX_cpd00060(e),1
EX_cpd00066(e),2
EX_cpd00129(e),5
EX_cpd00054(e),3
EX_cpd00161(e),2
EX_cpd00065(e),0.1
EX_cpd00069(e),1
EX_cpd00156(e),3
EX_cpd01107(e),0.1
EX_cpd03847(e),1
EX_cpd15622(e),0.1
EX_cpd00214(e),4
EX_cpd15609(e),0.1
EX_cpd01080(e),1
EX_cpd15269(e),4
EX_cpd01122(e),3
EX_cpd03850(e),0.1
EX_cpd15016(e),0.1
EX_cpd03848(e),0.1
EX_cpd00188(e),0.1
EX_cpd16342(e),0.1
EX_cpd16301(e),0.1
EX_cpd03852(e),0.1
EX_cpd00211(e),1
EX_cpd03846(e),0.1
EX_cpd00160(e),1
EX_cpd11601(e),10
EX_cpd00158(e),100
EX_cpd11732(e),0.1
EX_cpd11970(e),0.1
EX_cpd11955(e),0.1
EX_cpd00656(e),0.1
EX_cpd11696(e),1
