rxn,genes,pwy,ncbi,uniprot,location,go,org
|RXN-15495|,paxM,|PWY-7492|,HM171111,Q9C447,,,|TAX-1292256|
|RXN-17980|,oxyL,|PWY-7812|,,L8EUS8,,,|TAX-1265868|
|RXN-15512|,apgM,|PWY-8004|;|ANAGLYCOLYSIS-PWY|,,Q9X295,,,|TAX-2336|
|RXN-15512|,BPGM,|PWY66-399|;|ANAGLYCOLYSIS-PWY|;|PWY-6405|,M23068,P07738,,|GO:0016787|;|GO:0016853|;|GO:0005975|;|GO:0006096|;|GO:0007585|;|GO:0004082|;|GO:0004083|,|TAX-9606|
|RXN-15512|,PGAM1,|PWY-6405|;|PWY66-399|;|ANAGLYCOLYSIS-PWY|,BC000455,P18669,|CCO-CYTOSOL|,|GO:0016853|;|GO:0016787|;|GO:0008152|;|GO:0006096|;|GO:0005829|;|GO:0004619|;|GO:0004083|;|GO:0004082|,|TAX-9606|
|RXN-15512|,PGAM2,|PWY-6405|;|PWY66-399|;|ANAGLYCOLYSIS-PWY|,J05073,P15259,,|GO:0008152|;|GO:0016787|;|GO:0016853|;|GO:0006096|;|GO:0006941|;|GO:0004083|;|GO:0004619|,|TAX-9606|
|RXN-15512|,GPM1,|GLYCOLYSIS|;|ANAGLYCOLYSIS-PWY|,Z28152,P00950,,,|TAX-4932|
|RXN-15512|,gpmA,|PWY-8004|;|PWY-5484|;|GLYCOLYSIS|,,P62707,|CCO-CYTOSOL|,|GO:0016868|;|GO:0006094|;|GO:0016853|;|GO:0004619|;|GO:0003824|;|GO:0006096|;|GO:0005524|;|GO:0061621|;|GO:0005829|;|GO:0042803|;|GO:0046538|,|TAX-511145|
|RXN-15006|,lysY,|PWY-3081|;|PWY-7400|,,Q4JAQ3,,,|TAX-2285|
|RXN-12117|,TEAS,|PWY-2921|,L04680,Q40577,|CCO-CYTOPLASM|,|GO:0005737|,|TAX-4097|
|RXN-19439|,pmsD,|PWY-7983|,,Q1IAL0,,,|TAX-384676|
|RXN-15690|,lovG,|PWY-7535|,,Q0C8M2,,,|TAX-33178|
|RXN-10834|,phpF,|PWY-6322|,AY632421,Q5IW36,,,|TAX-591159|
|RXN-10834|,phpF,|PWY-7769|,,A0A0M3N0F5,,,|TAX-2065|
|RXN-12124|,tesI,|PWY-6943|,AB076368,Q59327,|CCO-PM-BAC-NEG|,|GO:0005886|,|TAX-285|
|RXN-20341|,HSD17B12,|PWY-7036|;|PWY-7606|;|PWY-7727|;|PWY-7728|;|PWY-7726|;|PWY-7592|;|PWY-5972|;|PWY-8041|,AF078850,Q53GQ0,|CCO-ER-MEM|;|CCO-ER|,|GO:0102342|;|GO:0102341|;|GO:0102340|;|GO:0102339|;|GO:0055114|;|GO:0030198|;|GO:0016491|;|GO:0016021|;|GO:0016020|;|GO:0010811|;|GO:0008201|;|GO:0006703|;|GO:0006694|;|GO:0006633|;|GO:0006629|;|GO:0005789|;|GO:0005783|;|GO:0005518|;|GO:0005515|;|GO:0004303|;|GO:0001968|;|GO:0008152|,|TAX-9606|
|RXN-19815|,pde2,,,Q2FXM3,,|GO:0003676|,|TAX-1280|
|RXN-15894|,DmbS,|PWY-7563|,,E2GC99,,,|TAX-176275|
|RXN-15894|,DmbC,|PWY-7563|,,E2GC98,,,|TAX-176275|
|ADPREDUCT-RXN|,RRM2,|PWY-7226|;|PWY-7227|;|PWY-7184|;|PWY-7210|,AY032750,P31350,|CCO-CYTOPLASM|,|GO:0016491|;|GO:0009186|;|GO:0006260|;|GO:0005737|;|GO:0004748|,|TAX-9606|
|ADPREDUCT-RXN|,RRM1,|PWY-7226|;|PWY-7227|;|PWY-7184|;|PWY-7210|,AF107045,P23921,|CCO-CYTOSOL|,|GO:0016491|;|GO:0006260|;|GO:0004748|;|GO:0005971|,|TAX-9606|
|ADPREDUCT-RXN|,RNR2A,|PWY-7227|;|PWY-7226|;|PWY-7184|,X77336,P50651,,,|ORG-5993|
|ADPREDUCT-RXN|,RNR1,|PWY-7227|;|PWY-7226|;|PWY-7184|,AF092841,Q9SJ20,,,|ORG-5993|
|ADPREDUCT-RXN|,RNR1,|PWY-7229|;|PWY-841|;|PWY-7226|;|PWY-7210|;|PWY-7184|,X69217,P21524,,,|TAX-4932|
|ADPREDUCT-RXN|,RNR4,|PWY-7229|;|PWY-841|;|PWY-7226|;|PWY-7210|;|PWY-7184|,Z72965,P49723,,,|TAX-4932|
|ADPREDUCT-RXN|,RNR2,|PWY-7229|;|PWY-841|;|PWY-7226|;|PWY-7210|;|PWY-7184|,Z49301,P09938,,,|TAX-4932|
|ADPREDUCT-RXN|,nrdB,|PWY0-166|;|PWY-7184|;|PWY-7227|;|PWY-7220|;|PWY-7222|;|PWY-7226|,,P69924,|CCO-CYTOSOL|,|GO:0005515|;|GO:0046872|;|GO:0005737|;|GO:0042802|;|GO:0009263|;|GO:0005971|;|GO:0055114|;|GO:0016491|;|GO:0006260|;|GO:0004748|;|GO:0015949|;|GO:0042803|;|GO:0005829|;|GO:0005506|,|TAX-511145|
|ADPREDUCT-RXN|,nrdA,|PWY0-166|;|PWY-7184|;|PWY-7227|;|PWY-7220|;|PWY-7222|;|PWY-7226|,,P00452,|CCO-CYTOSOL|,|GO:0042802|;|GO:0005515|;|GO:0016491|;|GO:0008152|;|GO:0003824|;|GO:0000166|;|GO:0009263|;|GO:0055114|;|GO:0006260|;|GO:0005971|;|GO:0005524|;|GO:0015949|;|GO:0005829|;|GO:0042803|;|GO:0004748|,|TAX-511145|
|RXN-17046|,Tri8,|PWY-7712|,,Q96W85,,,|TAX-449239|
|RXN-20935|,oiaX,|PWY-8090|,,B9JK73,,,|TAX-311403|
|RXN-11640|,l-dznr,|PWY-6996|,AB558141,E1CIA4,,,|ORG-6201|
|RXN-14090|,phoA,|SALVADEHYPOX-PWY|;|NAD-BIOSYNTHESIS-II|;|PWY-7218|;|PWY-5484|;|PWY-7805|,,P00634,|CCO-PERI-BAC|,|GO:0006470|;|GO:0004721|;|GO:0055114|;|GO:0046872|;|GO:0016791|;|GO:0016787|;|GO:0003824|;|GO:0030613|;|GO:0005515|;|GO:0030288|;|GO:0033748|;|GO:0016311|;|GO:0042597|;|GO:0008270|;|GO:0000287|;|GO:0004035|,|TAX-511145|
|RXN-14090|,cpdB,,,P08331,|CCO-PERI-BAC|,|GO:0016311|;|GO:0016788|;|GO:0016787|;|GO:0009117|;|GO:0008152|;|GO:0003824|;|GO:0006974|;|GO:0046872|;|GO:0000166|;|GO:0030288|;|GO:0042597|;|GO:0009166|;|GO:0008254|;|GO:0008663|,|TAX-511145|
|RXN-14090|,umpG,|PWY-5695|;|PWY-6608|;|SALVADEHYPOX-PWY|,,P0A840,|CCO-CYTOSOL|,|GO:0008252|;|GO:0016311|;|GO:0016787|;|GO:0046872|;|GO:0005737|;|GO:0000166|;|GO:0005829|;|GO:0046050|;|GO:0030145|;|GO:0004309|;|GO:0008253|;|GO:0008254|,|TAX-511145|
|RXN-19334|,pduS,|PWY-6268|,,Q9XDM9,,,|TAX-99287|
|RXN66-360|,CYP11B2,|PWY66-382|,D10170,P19099,|CCO-MEMBRANE|;|CCO-MIT|,|GO:0016020|;|GO:0008217|;|GO:0006704|;|GO:0006700|;|GO:0006694|;|GO:0005739|;|GO:0004507|;|GO:0004497|,|TAX-9606|
|RXN-16515|,MA_0264,,,Q8TU11,,,|TAX-2214|
|RXN-18910|,MAN1A1,|PWY-7919|,AL022722,P33908,|CCO-EXTRACELLULAR|;|CCO-CYTOSOL|;|CCO-CYTOPLASM|;|CCO-GOLGI-MEM|;|CCO-ER|;|CCO-GOLGI|,|GO:0070062|;|GO:0016787|;|GO:0016020|;|GO:0008152|;|GO:0006491|;|GO:0005829|;|GO:0005793|;|GO:0000139|;|GO:0005783|;|GO:0016021|;|GO:0005509|;|GO:0005975|;|GO:0005794|;|GO:0016798|;|GO:0015923|;|GO:0006487|;|GO:0006486|;|GO:0004571|,|TAX-9606|
|RXN-18910|,MAN1C1,|PWY-7919|,AL031280,Q9NR34,|CCO-EXTRACELLULAR|;|CCO-ER|;|CCO-GOLGI-MEM|;|CCO-GOLGI|,|GO:0070062|;|GO:0046872|;|GO:0016787|;|GO:0016021|;|GO:0008152|;|GO:0006491|;|GO:0006486|;|GO:0005783|;|GO:0000139|;|GO:0030173|;|GO:0016798|;|GO:0016020|;|GO:0006487|;|GO:0005975|;|GO:0005794|;|GO:0005509|;|GO:0004571|,|TAX-9606|
|RXN-18910|,MAN1A2,|PWY-7919|,AF053621,O60476,|CCO-EXTRACELLULAR|;|CCO-ER|;|CCO-GOLGI-MEM|;|CCO-GOLGI|,|GO:0070062|;|GO:0048286|;|GO:0046872|;|GO:0016787|;|GO:0009100|;|GO:0008152|;|GO:0007585|;|GO:0006486|;|GO:0005783|;|GO:0000139|;|GO:0016020|;|GO:0006508|;|GO:0016021|;|GO:0005509|;|GO:0005975|;|GO:0005794|;|GO:0016798|;|GO:0006487|;|GO:0004190|;|GO:0006491|;|GO:0004571|,|TAX-9606|
|RXN66-643|,FASN,|PWY-5966-1|;|PWY-5994|,U52428,P49327,|CCO-CYTOPLASM|;|CCO-PM-ANIMAL|;|CCO-CYTOSOL|;|CCO-GOLGI|;|CCO-MIT|,|GO:0090557|;|GO:0048468|;|GO:0043170|;|GO:0030224|;|GO:0030223|;|GO:0016419|;|GO:0016418|;|GO:0009888|;|GO:0008659|;|GO:0008611|;|GO:0102132|;|GO:0102131|;|GO:0071353|;|GO:0070402|;|GO:0055114|;|GO:0047451|;|GO:0047117|;|GO:0045296|;|GO:0042803|;|GO:0042802|;|GO:0042587|;|GO:0042470|;|GO:0031177|;|GO:0030879|;|GO:0019171|;|GO:0016829|;|GO:0016788|;|GO:0016787|;|GO:0016740|;|GO:0016491|;|GO:0016297|;|GO:0016296|;|GO:0016295|;|GO:0009058|;|GO:0008152|;|GO:0008144|;|GO:0006633|;|GO:0006631|;|GO:0006629|;|GO:0006084|;|GO:0005886|;|GO:0005829|;|GO:0005794|;|GO:0005739|;|GO:0005737|;|GO:0005515|;|GO:0004320|;|GO:0004319|;|GO:0004317|;|GO:0004316|;|GO:0004315|;|GO:0004314|;|GO:0004313|;|GO:0004312|;|GO:0003824|,|TAX-9606|
|RXN-13631|,spnI,|PWY-7100|,AY007564,Q9ALN0,,,|TAX-60894|
|RXN-19499|,vabF,|PWY-7987|,,Q0E7C4,,,|TAX-105260|
|RXN-16049|,FAD8,|PWY-7590|;|PWY-5997|;|PWY-782|;|PWY-762|,L27158,P48622,,,|ORG-5993|
|RXN-16049|,FAD7,|PWY-7590|;|PWY-5997|;|PWY-782|;|PWY-762|,L22961,P46310,,,|ORG-5993|
|RXN-13111|,ndmA,|PWY-6999|;|PWY-6538|,JQ061127,H9N289,,,|ORG-6144|
|RXN-13111|,ndmD,|PWY-6999|;|PWY-6538|;|PWY-5523|,JQ061130,H9N291,,,|ORG-6144|
|FORMYLMETHANOFURAN-DEHYDROGENASE-RXN|,fmdF,|PWY-5209|;|METHANOGENESIS-PWY|,,,,,|TAX-2208|
|FORMYLMETHANOFURAN-DEHYDROGENASE-RXN|,fmdE,|PWY-5209|;|METHANOGENESIS-PWY|,,,,,|TAX-2208|
|FORMYLMETHANOFURAN-DEHYDROGENASE-RXN|,fmdD,|PWY-5209|;|METHANOGENESIS-PWY|,,,,,|TAX-2208|
|FORMYLMETHANOFURAN-DEHYDROGENASE-RXN|,fmdC,|PWY-5209|;|METHANOGENESIS-PWY|,,,,,|TAX-2208|
|FORMYLMETHANOFURAN-DEHYDROGENASE-RXN|,fmdB,|PWY-5209|;|METHANOGENESIS-PWY|,,,,,|TAX-2208|
|FORMYLMETHANOFURAN-DEHYDROGENASE-RXN|,fmdA,|PWY-5209|;|METHANOGENESIS-PWY|,,,,,|TAX-2208|
|FORMYLMETHANOFURAN-DEHYDROGENASE-RXN|,fmdC,|METHANOGENESIS-PWY|;|PWY-7784|,,O27002,,,|TAX-145262|
|FORMYLMETHANOFURAN-DEHYDROGENASE-RXN|,fmdB,|METHANOGENESIS-PWY|;|PWY-7784|,,,,,|TAX-145262|
|FORMYLMETHANOFURAN-DEHYDROGENASE-RXN|,fwdD,|METHANOGENESIS-PWY|;|PWY-7784|,,,,,|TAX-145262|
|FORMYLMETHANOFURAN-DEHYDROGENASE-RXN|,fwdC,|METHANOGENESIS-PWY|;|PWY-7784|,,,,,|TAX-145262|
|FORMYLMETHANOFURAN-DEHYDROGENASE-RXN|,fwdB,|METHANOGENESIS-PWY|;|PWY-7784|,,,,,|TAX-145262|
|FORMYLMETHANOFURAN-DEHYDROGENASE-RXN|,fwdA,|METHANOGENESIS-PWY|;|PWY-7784|,,,,,|TAX-145262|
|FERREDOXIN--NITRITE-REDUCTASE-RXN|,nirA,|PWY490-3|,,P39661,,,|TAX-1140|
|RXN-11298|,vanB,|PWY-6454|,,Q06893,,,|TAX-1351|
|RXN-11298|,vanA,|PWY-6454|,X56895,P25051,,,|TAX-1352|
|RXN-11298|,vanD,|PWY-6454|,AF130997,Q9XCR4,,,|TAX-1352|
|RXN-18436|,cnbA,|PWY-5637|;|PWY-5645|,EF079106,,,,|TAX-543891|
|THIOSULFATE-DEHYDROGENASE-RXN|,tsdA,|THIOSULFOX-PWY|;|PWY-5358|,,A0A5Y8VKU9,,,|TAX-197|
|THIOSULFATE-DEHYDROGENASE-RXN|,otr,|PWY-5358|,,Q8E9W8,|CCO-PERI-BAC|,|GO:0030288|,|TAX-211586|
|THIOSULFATE-DEHYDROGENASE-RXN|,tsdA,|THIOSULFOX-PWY|,,D3RVD4,|CCO-PERI-BAC|,|GO:0030288|,|TAX-1049|
|3.1.13.3-RXN|,orn,,,P0A784,|CCO-CYTOSOL|,|GO:0016896|;|GO:0006259|;|GO:0090503|;|GO:0090501|;|GO:0090305|;|GO:0016787|;|GO:0004527|;|GO:0004518|;|GO:0046872|;|GO:0003676|;|GO:0005737|;|GO:0005829|;|GO:0034611|;|GO:0000175|;|GO:0008310|;|GO:0006401|,|TAX-511145|
|RXN-8098|,mtmB,|PWY-5247|,AF013713,O30642,,,|TAX-2208|
|CELLOBIOSE-EPIMERASE-RXN|,bfce,|PWY-7456|,,Q5LH66,,,|TAX-272559|
|CELLOBIOSE-EPIMERASE-RXN|,ce-ne1,,AB301953,P0DKY4,,,|ORG-6253|
|RXN-15526|,hylA,|PWY-7496|,KC146403,M1KWK0,,,|TAX-207745|
|RXN-15526|,libA,|PWY-7496|,JN104633,G3K3F8,,,|TAX-282217|
|RXN-15526|,puhB,,EU851876,B8R4K0,,,|ORG-6262|
|RXN-15526|,puhA,,EU851877,B8R4L9,,,|ORG-6261|
|RXN-18016|,tarL,|PWY-7815|,AJ313428,Q8RKJ2,,,|TAX-655816|
|RXN-8390|,DES4,|PWY-5367|,M93115,P32063,|CCO-PLASTID|,|GO:0009536|,|TAX-4047|
|RXN-8390|,DES4,|PWY-5367|,AY998047,Q4KN79,,,|TAX-4052|
|RXN-9443|,mlhB,|PWY-5927|;|PWY-5922|,AJ292535,Q9EX73,,,|ORG-6040|
|RXN-19867|,mupO,|PWY-8012|,AF318063,Q8RL56,,,|ORG-6360|
|RXN-12625|,chb,|PWY-6902|;|PWY-7822|,,Q54468,|CCO-OUTER-MEM|,|GO:0031241|,|TAX-615|
