id	name	altname	hierarchy	taxrange	reaId	reaEc	keyRea	reaName	reaNr	ecNr	superpathway	status	spont
|12DICHLORETHDEG-PWY|	1,2-dichloroethane degradation	1,2-dichloroethane degradation	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|CHLORINATED-COMPOUNDS-DEG|	|TAX-2|	DHLAXANAU-RXN,MOXXANAU-RXN,ALDXANAU-RXN,DHLBXANAU-RXN	3.8.1.5,1.1.2.7,1.2.1.4,3.8.1.3	DHLAXANAU-RXN	1,2-dichloroethane dehalogenase;2-chloroethanol dehydrogenase;chloroacetaldehyde dehydrogenase;chloroacetate dehalogenase	4	4	False	True	
|14DICHLORBENZDEG-PWY|	1,4-dichlorobenzene degradation	1,4-dichlorobenzene degradation	|CHLORINATED-COMPOUNDS-DEG|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|AROMATIC-COMPOUNDS-DEGRADATION|,|Chloroaromatic-Compounds-Degradation|,|Chlorobenzene-Degradation|	|TAX-1224|	DIOXYXANFL-RXN,CHLOROBENDDH-RXN,CHLOROCATDIOXY-RXN,DIENELACHYDRO-RXN,CHLOROMALERED-RXN,MALEYLACETATE-REDUCTASE-RXN,RXN-18360,RXN-18361,RXN-18362	1.14.12.26,1.3.1.119,1.13.11.M6,3.1.1.45,1.3.1.32,1.3.1.32,5.5.1.11,,	DIOXYXANFL-RXN,CHLOROBENDDH-RXN	1,4-dichlorobenzene dioxygenase;1,4-dichlorobenzene cis-dihydrodiol dehydrogenase;3,6-dichlorocatechol 1,2-dioxygenase;2-chloro-trans-dienelactone hydrolase;2-chloromaleylacetate reductase;2-maleylacetate reductase;2,4-dichloro-cis,cis-muconate dehalogenase;RXN-18361;RXN-18362	9	7	False	True	RXN-18361,RXN-18362
|1CMET2-PWY|	folate transformations III (E. coli)	folate transformations III (<i>E. coli</i>),<i>N</i><sup>10</sup>-formyl-THF biosynthesis,<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis	|Vitamin-Biosynthesis|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Biosynthesis|,|Cofactor-Biosynthesis|,|Carriers-Biosynthesis|,|C1-Carrier-Biosynthesis|,|Folate-Biosynthesis|,|Folate-Transformations|	|TAX-4751|,|TAX-33208|,|TAX-2|	DIHYDROFOLATEREDUCT-RXN,5-FORMYL-THF-CYCLO-LIGASE-RXN,1.5.1.20-RXN,HOMOCYSMETB12-RXN,GCVMULTI-RXN,METHENYLTHFCYCLOHYDRO-RXN,METHYLENETHFDEHYDROG-NADP-RXN,GLYOHMETRANS-RXN,THYMIDYLATESYN-RXN	1.5.1.3,6.3.3.2,1.5.1.20,2.1.1.13,1.4.1.f,3.5.4.9,1.5.1.5,2.1.2.1,2.1.1.45		dihydrofolate reductase;5-formyltetrahydrofolate cyclo-ligase;5,10-methylenetetrahydrofolate reductase;cobalamin-dependent methionine synthase;gcv system;methenyltetrahydrofolate cyclohydrolase;methylenetetrahydrofolate dehydrogenase;5,10-methylenetetrahydrofolate:glycine hydroxymethyltransferase;thymidylate synthase	9	9	False	True	
|2AMINOBENZDEG-PWY|	anthranilate degradation III (anaerobic)	anthranilate degradation III (anaerobic),2-aminobenzoate degradation (anaerobic)	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|AROMATIC-COMPOUNDS-DEGRADATION|,|2-Aminobenzoate-Degradation|	|TAX-1224|	AMINOBENZCOALIG-RXN,AMBENCOATHAUERA-RXN	6.2.1.32,		2-aminobenzoate-CoA ligase;2-aminobenzoyl-CoA reductase	2	1	False	True	
|2ASDEG-PWY|	orthanilate degradation	orthanilate degradation,2-aminobenzenesulfonate desulfonation	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|AROMATIC-COMPOUNDS-DEGRADATION|	|TAX-1224|	2ASDOSALCAL-RXN,3SC23OALCAL-RXN,3SC23OSPON-RXN,RXN-8529,4.1.1.77-RXN	1.14.12.14,1.13.11,,5.3.2.6,4.1.1.77		2-aminobenzenesulfonate,NADH:oxygen oxidoreductase (2,3-hydroxylating, ammonia-forming);3-sulfocatechol 2,3-dioxygenase;3SC23OSPON-RXN;RXN-8529;4.1.1.77-RXN	5	4	False	True	3SC23OSPON-RXN
|2OXOBUTYRATECAT-PWY|	2-oxobutanoate degradation II	2-oxobutanoate degradation II,2-oxobutyrate catabolism,2-oxobutyrate degradation,2-oxobutanoic acid degradation II,2-ketobutyrate catabolism	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|CARBOXYLATES-DEG|,|2-Oxobutanoate-Degradation|	|TAX-2157|	2-OXOBUTYRATE-SYNTHASE-RXN,RXN-7938	1.2.7.7,3.1.2.18		2-oxobutanoate:ferredoxin oxidoreductase;acyl-CoA  hydrolase (short chain)	2	2	False	True	
|2PHENDEG-PWY|	phenylethylamine degradation I	phenylethylamine degradation I	|AROMATIC-COMPOUNDS-DEGRADATION|,|Phenolic-Compounds-Degradation|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|AMINE-DEG|,|Phenylethylamine-Degradation|	|TAX-33208|,|TAX-2|	AMINEPHEN-RXN,PHENDEHYD-RXN	1.4.3.21,1.2.1.39	AMINEPHEN-RXN	phenylethylamine oxidase;phenylacetaldehyde dehydrogenase	2	2	False	True	
|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|	4-hydroxyphenylacetate degradation	4-hydroxyphenylacetate degradation,4-HPA degradation,homoprotocatechuate degradation,4-hydroxyphenylacetic acid degradation	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|AROMATIC-COMPOUNDS-DEGRADATION|	|TAX-1224|	RXN-8505,1.13.11.15-RXN,CHMS-DEHYDROGENASE-RXN,5.3.3.10-RXN,4-HYDROXY-2-KETOPIMELATE-LYSIS-RXN,SUCCSEMIALDDEHYDROG-RXN,HYDROXYHEPTA-DIENEDIOATE-HYDROXY-RXN,4.1.1.68-RXN	1.14.14.9,1.13.11.15,1.2.1.60,5.3.3.10,4.1.2.52,1.2.1.79,4.2.1.163,4.1.1.68	RXN-8505	4-hydroxyphenylacetate 3-monooxygenase;3,4-dihydroxyphenylacetate dioxygenase;2-hydroxy-5-carboxymethylmuconate semialdehyde dehydrogenase;5-carboxymethyl-2-hydroxymuconate isomerase;4-hydroxy-2-ketopimelate aldolase;SUCCSEMIALDDEHYDROG-RXN;2-hydroxyhepta-2,4-dienedioate hydratase;5-carboxymethyl-2-oxo-hex-3-ene-1,7-dioate decarboxylase	8	8	False	True	5.3.3.10-RXN
|4AMINOBUTMETAB-PWY|	superpathway of 4-aminobutanoate degradation	superpathway of 4-aminobutanoate degradation,&gamma;-amino-butyrate shunt,GABA degradation	|Super-Pathways|,|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|AMINE-DEG|,|4-Aminobutyraye-Degradation|	|TAX-4751|,|TAX-2|	GABATRANSAM-RXN,SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN,GABATRANSAM-RXN,SUCCSEMIALDDEHYDROG-RXN	2.6.1.19,1.2.1.24,2.6.1.19,1.2.1.79		GABATRANSAM-RXN;succinate semialdehyde dehydrogenase (NAD+);GABATRANSAM-RXN;succinate semialdehyde dehydrogenase (NADP+)	4	4	True	True	
|4-HYDROXYMANDELATE-DEGRADATION-PWY|	4-hydroxymandelate degradation	4-hydroxymandelate degradation	|THINGS|,|FRAMES|,|Generalized-Reactions|,|Pathways|,|Degradation|,|AROMATIC-COMPOUNDS-DEGRADATION|	|TAX-4751|,|TAX-2|	HYDROXY-MANDELATE-RACEMASE-RXN,4-HYDROXYMANDELATE-OXY-RXN,HYDROXYBENZOYLFORMATE-DECARBOXYLASE-RXN,HYDROXYBENZALDEHYDE-OXIDATION-NAD-RXN,HYDROXYBENZALDEHYDE-OXIDATION-NADP-RXN,4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN	5.1.2.2,1.1.5,4.1.1.7,1.2.1.64,1.2.1.96,1.14.13.2	4-HYDROXYMANDELATE-OXY-RXN	hydroxymandelate racemase;(S)-mandelate dehydrogenase;Hydroxybenzoylformate decarboxylase;NAD+-4-hydroxybenzaldehyde dehydrogenase;NADP+-4-hydroxybenzaldehyde dehydrogenase;p-hydroxybenzoate hydroxylase	6	6	False	True	
