id	name	altname	ec	kegg	pwy	enzymatic	gibbs	direction
|RXN-9844|	(25<i>R</i>)-3&alpha;,7&alpha;-dihydroxy-5&beta;-cholestan-26-al 26-hydroxylase	(25<i>R</i>)-3&alpha;,7&alpha;-dihydroxy-5&beta;-cholestan-26-al 26-hydroxylase		R04506	RXN-13713,PWY-6061	True	-105.64938	>
|RXN-16942|			EC-2.3.1		PWY-7696	True	-2.6947021	>
|RXN-8536|			EC-1.14.13		PWY-5422	True	-84.87047	>
|RXN-18634|					PWY-7880	False	18.332336	>
|RXN-12025|			EC-4.99.1.M4		PWY-6684	True	-66.53	>
|3.2.1.3-RXN|			EC-3.2.1.3			False	-58.881775	>
|RXN-4761|			EC-2.4.1.170		PWY-2904	True	6.8976135	>
|RXN-17477|			EC-1.3.7.14		PWY-7762	True	-15.762909	<
|3.2.1.32-RXN|			EC-3.2.1.32		PWY-6789	True		>
|RXN-12026|			EC-4.99.1.M6		PWY-6684	True	-66.53	>
|RXN-15789|			EC-2.2.1		PWY-7548	True	-4.670044	>
|3.2.1.33-RXN|			EC-3.2.1.33		PWY-5941	True		>
|RXN-12027|					PWY-6684	False	-84.8	>
|SHIKIMATE-KINASE-RXN|			EC-2.7.1.71	R02412	PWY-6163	True	-16.064087	=
|3.2.1.35-RXN|			EC-3.2.1.35			True		>
|RXN-12028|			EC-2.4.1.268	R09665	PWY-6687,PWY-6685	True	50.53659	>
|RXN-15790|			EC-2.2.1		PWY-7548	True	-1.2299805	>
|RXN-11476|	3-oxo-glutaryl-[acp] methyl ester reductase	3-oxo-glutaryl-[acp] methyl ester reductase	EC-1.1.1.100		PWY-6519	True	14.785767	<
|RXN-9845|			EC-5.1.99.4	R08739	PWY-6061	True	0.0	=
|RXN-8537|					PWY-5422	False	-9.167002	>
|RXN-18635|					PWY-7880	False	-117.62933	>
|RXN-12029|	mannosylflucosyl-3-phosphoglycerate synthase	mannosylflucosyl-3-phosphoglycerate synthase	EC-2.4.1.270	R09667	PWY-6686	True	6.897644	>
|3.2.1.36-RXN|			EC-3.2.1.36			False		>
|RXN-4762|			EC-2.3.1.115	R07731	PWY-2904	True	-1.1134644	>
|RXN-17478|			EC-4.2.1.165		PWY-7762	True	-1.7669678	<
|3.2.1.37-RXN|			EC-3.2.1.37			True		>
|RXN-12030|	3,3'-diiodothyronine 3'-deiodinase	3,3'-diiodothyronine 3'-deiodinase			PWY-6260	True		>
|RXN-15791|			EC-5.3.1		PWY-7548	True	1.4599915	>
|RXN1G-196|	trans-delta2-cis,cis-delta11,23-C42:3-[acyl-carrier protein] reductase	trans-delta2-cis,cis-delta11,23-C42:3-[acyl-carrier protein] reductase	EC-1.3.1.M4		PWYG-321	True	28.823975	<
|3.2.1.38-RXN|			EC-3.2.1.38			False	99.598206	>
|RXN-12031|					PWY-6260	True		>
|SHIKIMATE-PQQ-RXN|			EC-1.1.5.8	R02415	SHIKIMATEDEG-PWY	True	6.467743	>
|3.2.1.39-RXN|			EC-3.2.1.39			False	-58.881775	>
|RXN-12032|	3,3'-diiodothyronine 3-deiodinase	3,3'-diiodothyronine 3-deiodinase			PWY-6260	True		>
|RXN-15792|					PWY-7548	False	-2.3199768	=
|RXN-9846|				R08740	PWY-6061	True		>
|RXN-8538|			EC-1.14.13		PWY-5422	True	-109.684616	>
|RXN-18636|					PWY-7880	False	-107.98932	>
|RXN-12033|	3'-momoiodothyronine 3'-deiodinase	3'-momoiodothyronine 3'-deiodinase			PWY-6260	False		>
|3.2.1.40-RXN|			EC-3.2.1.40			True	99.598206	>
|RXN-4763|					PWY-2904	True	-3.3912659	>
|RXN-17479|			EC-1.1.1.396		PWY-7762	True	-6.0582123	>
|3.2.1.43-RXN|			EC-3.2.1.43			False	99.598206	>
|RXN-12034|	3,5,3'-triiodo-L-thyronine 3'-deiodinase	3,5,3'-triiodo-L-thyronine 3'-deiodinase			PWY-6260	False		>
|RXN-15793|			EC-2.7.1		PWY-7548	True	-17.312378	>
|ACETYLSYNCLTH-RXN|			EC-2.3.1.169	R08433	PWY-7784,METH-ACETATE-PWY,CODH-PWY,CDHMSARC-RXN	True	-23.893372	=
|3.2.1.44-RXN|			EC-3.2.1.44			False		>
|RXN-12035|	3,5-diiodothyronine 5-deiodinase	3,5-diiodothyronine 5-deiodinase	EC-1.21.99.3		PWY-6260	True		>
|SINAPATE-1-GLUCOSYLTRANSFERASE-RXN|			EC-2.4.1.120	R02380	PWY-3301	True	6.551697	>
|3.2.1.47-RXN|			EC-3.2.1.47			False	99.598206	>
|RXN-12036|					PWY-6260	True		>
|RXN-15794|			EC-3.1.3		PWY-7548	True	9.713501	>
|RXN-11797|	(<i>R</i>)-3-hydroxydecanoyl-CoA synthase	(<i>R</i>)-3-hydroxydecanoyl-CoA synthase	EC-2.4.1		PWY-6657	False	184.88025	>
|RXN-9847|			EC-4.2.1.107	R04809	PWY-6061	True	-1.6029663	>
|RXN-8540|			EC-4.2.3.58	R08542	PWY-5425	True	-82.850006	>
|RXN-18637|					PWY-7880	False	0.0	=
|RXN-12037|	3',5'-diiodothyronine 5'-deiodinase	3',5'-diiodothyronine 5'-deiodinase	EC-1.21.99.4		PWY-6260	True		>
|3.2.1.48-RXN|			EC-3.2.1.26,EC-3.2.1.48	R00802	PWY66-373,PWY-621	True	-6.7929993	>
|RXN-4764|					PWY-2904	True	-3.1129951	>
|RXN-17480|			EC-2.5.1.133		PWY-7762	True	-0.35176086	>
|3.2.1.49-RXN|			EC-3.2.1.49			True	130.41153	>
|RXN-12038|	GDP-glucose glycosyl-3-phosphoglycerater synthase	GDP-glucose glycosyl-3-phosphoglycerater synthase	EC-2.4.1.266		PWY-5662	False	4.3877563	>
|RXN-15795|			EC-2.7.7		PWY-7548	True	-103.30359	>
|RXN1G-266|			EC-4.2.1.M1		PWYG-321	True	22.705246	>
|3.2.1.50-RXN|			EC-3.2.1.50			False	130.41156	>
|RXN-12039|			EC-3.1.3		PWY-6686	True	8.46521	>
|SINAPINE-ESTERASE-RXN|			EC-3.1.1.49	R02381	PWY-3301	True	-2.7671509	>
|3.2.1.52-RXN|			EC-3.2.1.52			True	130.41156	>
|RXN-12040|					PWY-6687	True	6.897705	=
|RXN-15797|			EC-6.3.2		PWY-7549	True	-107.47424	>
|RXN-17148|			EC-3.1.2		PWY-7733,PWY-7734	True	106.605194	>
|RXN-9848|				R04810	PWY-6061	True	-4.5082703	>
|RXN-8541|			EC-4.2.3.56	R08540	PWY-5425	True	-18.130005	>
|RXN-18638|			EC-2.6.1.ae		PWY-7880	True	-2.4658813	=
|RXN-12041|	UDP-glucose glucosyl-3-phosphoglycerate synthase	UDP-glucose glucosyl-3-phosphoglycerate synthase	EC-2.4.1.266		PWY-6686	True	4.3876953	>
