rxn	name	ec	pathway	pathway.name	subsystem	gapseq
DHLAXANAU-RXN	1,2-dichloroethane dehalogenase	3.8.1.5	|12DICHLORETHDEG-PWY|	1,2-dichloroethane degradation	Degradation,CHLORINATED-COMPOUNDS-DEG	rxn03596 rxn03668 rxn03669 rxn03670 rxn03671 rxn06155 rxn07484 rxn07485 rxn19882
MOXXANAU-RXN	2-chloroethanol dehydrogenase	1.1.2.7	|12DICHLORETHDEG-PWY|	1,2-dichloroethane degradation	Degradation,CHLORINATED-COMPOUNDS-DEG	rxn00847 rxn01796 rxn12745 rxn14207 rxn15989 rxn15990 rxn21641 rxn23811
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	|12DICHLORETHDEG-PWY|	1,2-dichloroethane degradation	Degradation,CHLORINATED-COMPOUNDS-DEG	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116
DHLBXANAU-RXN	chloroacetate dehalogenase	3.8.1.3	|12DICHLORETHDEG-PWY|	1,2-dichloroethane degradation	Degradation,CHLORINATED-COMPOUNDS-DEG	rxn02050 rxn03599 rxn06154 rxn19881
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26	|14DICHLORBENZDEG-PWY|	1,4-dichlorobenzene degradation	CHLORINATED-COMPOUNDS-DEG,Degradation,AROMATIC-COMPOUNDS-DEGRADATION,Chloroaromatic-Compounds-Degradation,Chlorobenzene-Degradation	""
CHLOROBENDDH-RXN	1,4-dichlorobenzene cis-dihydrodiol dehydrogenase	1.3.1.119	|14DICHLORBENZDEG-PWY|	1,4-dichlorobenzene degradation	CHLORINATED-COMPOUNDS-DEG,Degradation,AROMATIC-COMPOUNDS-DEGRADATION,Chloroaromatic-Compounds-Degradation,Chlorobenzene-Degradation	""
CHLOROCATDIOXY-RXN	3,6-dichlorocatechol 1,2-dioxygenase	""	|14DICHLORBENZDEG-PWY|	1,4-dichlorobenzene degradation	CHLORINATED-COMPOUNDS-DEG,Degradation,AROMATIC-COMPOUNDS-DEGRADATION,Chloroaromatic-Compounds-Degradation,Chlorobenzene-Degradation	""
DIENELACHYDRO-RXN	2-chloro-trans-dienelactone hydrolase	3.1.1.45	|14DICHLORBENZDEG-PWY|	1,4-dichlorobenzene degradation	CHLORINATED-COMPOUNDS-DEG,Degradation,AROMATIC-COMPOUNDS-DEGRADATION,Chloroaromatic-Compounds-Degradation,Chlorobenzene-Degradation	rxn02747 rxn03800 rxn03801 rxn04650 rxn04653 rxn07908 rxn07909 rxn15998 rxn16082 rxn16084 rxn31706 rxn31716
CHLOROMALERED-RXN	2-chloromaleylacetate reductase	1.3.1.32	|14DICHLORBENZDEG-PWY|	1,4-dichlorobenzene degradation	CHLORINATED-COMPOUNDS-DEG,Degradation,AROMATIC-COMPOUNDS-DEGRADATION,Chloroaromatic-Compounds-Degradation,Chlorobenzene-Degradation	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32	|14DICHLORBENZDEG-PWY|	1,4-dichlorobenzene degradation	CHLORINATED-COMPOUNDS-DEG,Degradation,AROMATIC-COMPOUNDS-DEGRADATION,Chloroaromatic-Compounds-Degradation,Chlorobenzene-Degradation	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159
RXN-18360	2,4-dichloro-cis,cis-muconate dehalogenase	5.5.1.11	|14DICHLORBENZDEG-PWY|	1,4-dichlorobenzene degradation	CHLORINATED-COMPOUNDS-DEG,Degradation,AROMATIC-COMPOUNDS-DEGRADATION,Chloroaromatic-Compounds-Degradation,Chlorobenzene-Degradation	rxn03018 rxn03694
RXN-18361	RXN-18361	""	|14DICHLORBENZDEG-PWY|	1,4-dichlorobenzene degradation	CHLORINATED-COMPOUNDS-DEG,Degradation,AROMATIC-COMPOUNDS-DEGRADATION,Chloroaromatic-Compounds-Degradation,Chlorobenzene-Degradation	""
RXN-18362	RXN-18362	""	|14DICHLORBENZDEG-PWY|	1,4-dichlorobenzene degradation	CHLORINATED-COMPOUNDS-DEG,Degradation,AROMATIC-COMPOUNDS-DEGRADATION,Chloroaromatic-Compounds-Degradation,Chlorobenzene-Degradation	""
DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3/1.5.1.4	|1CMET2-PWY|	folate transformations III (E. coli)	Vitamin-Biosynthesis,Biosynthesis,Cofactor-Biosynthesis,Carriers-Biosynthesis,C1-Carrier-Biosynthesis,Folate-Biosynthesis,Folate-Transformations	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434
5-FORMYL-THF-CYCLO-LIGASE-RXN	5-formyltetrahydrofolate cyclo-ligase	6.3.3.2	|1CMET2-PWY|	folate transformations III (E. coli)	Vitamin-Biosynthesis,Biosynthesis,Cofactor-Biosynthesis,Carriers-Biosynthesis,C1-Carrier-Biosynthesis,Folate-Biosynthesis,Folate-Transformations	rxn01653
