MNXID	bigg	other
MNXR100003	GALOR	RXN-12078
MNXR100003	R_GALOR	RXN-12078
MNXR100010	GALS4	RXN-11501
MNXR100010	R_GALS4	RXN-11501
MNXR100010	STACHGALACT	RXN-11501
MNXR100010	R_STACHGALACT	RXN-11501
MNXR100010	SYGH	RXN-11501
MNXR100010	R_SYGH	RXN-11501
MNXR100014	GALT	UTPHEXPURIDYLYLTRANS-RXN
MNXR100014	R_GALT	UTPHEXPURIDYLYLTRANS-RXN
MNXR100023	GALabc	ABC-18-RXN
MNXR100023	R_GALabc	ABC-18-RXN
MNXR100023	GALabcpp	ABC-18-RXN
MNXR100023	R_GALabcpp	ABC-18-RXN
MNXR100024	GALh	GLUTAMINESYN-RXN
MNXR100024	R_GALh	GLUTAMINESYN-RXN
MNXR100024	GALm	GLUTAMINESYN-RXN
MNXR100024	R_GALm	GLUTAMINESYN-RXN
MNXR100024	GLNS	GLUTAMINESYN-RXN
MNXR100024	R_GLNS	GLUTAMINESYN-RXN
MNXR100026	GALt2	TRANS-RXN-21
MNXR100026	R_GALt2	TRANS-RXN-21
MNXR100026	GALt2pp	TRANS-RXN-21
MNXR100026	R_GALt2pp	TRANS-RXN-21
MNXR100026	GALth	TRANS-RXN-21
MNXR100026	R_GALth	TRANS-RXN-21
MNXR100030	GAM	GLUTAMIN-RXN
MNXR100030	R_GAM	GLUTAMIN-RXN
MNXR100030	GLUN	GLUTAMIN-RXN
MNXR100030	R_GLUN	GLUTAMIN-RXN
MNXR100030	GLUNm	GLUTAMIN-RXN
MNXR100030	R_GLUNm	GLUTAMIN-RXN
MNXR100030	GLUNpp	GLUTAMIN-RXN
MNXR100030	R_GLUNpp	GLUTAMIN-RXN
MNXR100040	GAPD	GAPOXNPHOSPHN-RXN
MNXR100040	R_GAPD	GAPOXNPHOSPHN-RXN
MNXR100040	GAPDHf	GAPOXNPHOSPHN-RXN
MNXR100040	R_GAPDHf	GAPOXNPHOSPHN-RXN
MNXR100040	GAPDHh	GAPOXNPHOSPHN-RXN
MNXR100040	R_GAPDHh	GAPOXNPHOSPHN-RXN
MNXR100040	GAPDHi	GAPOXNPHOSPHN-RXN
MNXR100040	R_GAPDHi	GAPOXNPHOSPHN-RXN
MNXR100040	GAPDHm	GAPOXNPHOSPHN-RXN
MNXR100040	R_GAPDHm	GAPOXNPHOSPHN-RXN
MNXR100041	GAPDH_nadp_hi	1.2.1.13-RXN
MNXR100041	R_GAPDH_nadp_hi	1.2.1.13-RXN
