MNX_ID	seed	other
MNXR100003	rxn11552	RXN-12078
MNXR100010	rxn02596	RXN-11501
MNXR100014	rxn00355	UTPHEXPURIDYLYLTRANS-RXN
MNXR100022	rxn00213	GLUC1PURIDYLTRANS-RXN
MNXR100023	rxn05162	ABC-18-RXN
MNXR100023	rxn08573	ABC-18-RXN
MNXR100024	rxn00187	GLUTAMINESYN-RXN
MNXR100026	rxn05566	TRANS-RXN-21
MNXR100026	rxn08584	TRANS-RXN-21
MNXR100030	rxn00189	GLUTAMIN-RXN
MNXR100040	rxn00781	GAPOXNPHOSPHN-RXN
MNXR100041	rxn00782	1.2.1.13-RXN
MNXR100042	rxn04783	GARTRANSFORMYL2-RXN
MNXR100060	rxn00979	GLYCOLALD-DEHYDROG-RXN
MNXR100063	rxn11574	RXN1F-151
MNXR100066	rxn01241	RXN-18331
MNXR100074	rxn00646	GLUTCYSLIG-RXN
MNXR100078	rxn00920	35-CYCLIC-GMP-PHOSPHODIESTERASE-RXN
MNXR100083	rxn02273	1.2.1.54-RXN
MNXR100085	rxn00182	GLUTAMATE-DEHYDROGENASE-RXN
MNXR100086	rxn00184	GLUTDEHYD-RXN
MNXR100088	rxn08598	GDPPYPHOSKIN-RXN
MNXR100092	rxn00639	RXN0-5108
MNXR100098	rxn00086	GLUTATHIONE-REDUCT-NADPH-RXN
MNXR100099	rxn02449	PPPGPPHYDRO-RXN
MNXR100100	rxn10525	RXN-8080
MNXR100101	rxn10526	RXN-8081
MNXR100108	rxn03962	1.1.1.271-RXN
MNXR100111	rxn01487	RXN-10625
MNXR100114	rxn05128	RXN0-3942
MNXR100136	rxn00350	RXN-12618
MNXR100136	rxn00350	RXN-15856
MNXR100137	rxn05287	RXN-8813
MNXR100140	rxn01201	4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN
MNXR100144	rxn00239	GUANYL-KIN-RXN
MNXR100146	rxn04042	RXN-17001
MNXR100188	rxn08617	TRANS-RXN0-574
MNXR100188	rxn09679	TRANS-RXN0-574
MNXR100188	rxn09875	TRANS-RXN0-574
MNXR100209	rxn05571	TRANS-RXN0-209
MNXR100209	rxn08609	TRANS-RXN0-209
MNXR100212	rxn01730	GLUTARATE--COA-LIGASE-RXN
MNXR100219	rxn01990	KDGALDOL-RXN
MNXR100220	rxn01989	GLUCARDEHYDRA-RXN
MNXR100222	rxn08614	TRANS-RXN0-204
MNXR100222	rxn12442	TRANS-RXN0-204
MNXR100236	rxn05147	TRANS-RXN-320
MNXR100236	rxn08606	TRANS-RXN-320
MNXR100238	rxn05573	RXN0-7077
MNXR100238	rxn08616	RXN0-7077
MNXR100243	rxn00695	GLUC1PADENYLTRANS-RXN
MNXR100245	rxn12822	GLUTAMATE-SYNTHASE-FERREDOXIN-RXN
MNXR100250	rxn02100	RXN-8783
