MNX_ID	Balance	EC	Source	kegg
MNXR94683	true		rxn07919	
MNXR94718	true		rxn07925	
MNXR94720	true		rxn07926	
MNXR94721	true		rxn07927	
MNXR94726	true		rxn07928	
MNXR94727	true		rxn07929	
MNXR94728	true		rxn07930	
MNXR94731	true	3.1.3.77;5.3.2.5	rxn05105	R07393
MNXR94741	true		rxn07931	
MNXR94743	true		rxn07932	
MNXR94744	true		rxn07933	
MNXR94745	true		rxn07934	
MNXR94746	true		rxn07935	
MNXR94747	true		rxn07936	
MNXR94748	true		rxn07937	
MNXR94749	true		rxn07938	
MNXR94753	true		rxn07942	
MNXR94755	true		rxn07944	
MNXR94760	true	2.3.1.40	rxn07949	
MNXR94762	true	2.3.1.40	rxn07951	
MNXR94782	true		rxn09807	
MNXR94787	ambiguous		rxn07969	
MNXR94788	ambiguous		rxn07970	R08880
MNXR94790	true		rxn12783	
MNXR94791	true		rxn12784	
MNXR94793	true		rxn09806	
MNXR94797	true		rxn12585	
MNXR94804	true		rxn05472	
MNXR94808	true		rxn13188	
MNXR94809	true		rxn13189	
MNXR94810	true		rxn13191	
MNXR94811	true		rxn09805	
MNXR94812	true		rxn13193	
MNXR94813	true		rxn12522	
MNXR94814	true		rxn13195	
MNXR94816	true		rxn09830	
MNXR94817	true		rxn09804	
MNXR94820	true		rxn09803	
MNXR94822	true		rxn05473	
MNXR94824	true		rxn05474	
MNXR94828	true		rxn13196	
MNXR94829	true		rxn10420	
MNXR94831	true	1.2.1.29;1.2.1.3;1.2.1.5	rxn02364	R03300
MNXR94832	true		rxn12396	
MNXR94839	true	1.2.1.5	rxn02365	R03302
MNXR94844	true	5.3.2.1;5.3.2.6	rxn02397	R03342
MNXR94845	true		rxn09802	
MNXR94848	true		rxn07972	
MNXR94851	true	2.6.1.40	rxn01481	
MNXR94855	true		rxn05475	
MNXR94856	true		rxn05476	
MNXR94857	true		rxn07973	
MNXR94858	true		rxn09801	
MNXR94859	true		rxn09800	
MNXR94860	true		rxn05477	
MNXR94861	true		rxn07974	
MNXR94863	true		rxn13199	
MNXR94867	true		rxn05478	
MNXR94868	true		rxn07975	
MNXR94869	ambiguous		rxn12752	
MNXR94870	true		rxn12753	
MNXR94871	ambiguous		rxn12754	
MNXR94872	ambiguous		rxn12755	
MNXR94873	ambiguous		rxn12756	
MNXR94874	true		rxn12757	
MNXR94875	ambiguous		rxn12758	
MNXR94876	ambiguous	2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.58;4.2.1.59;4.2.1.60;4.2.1.61	rxn05333	R04535
MNXR94877	true	2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.58;4.2.1.59;4.2.1.60;4.2.1.61	rxn05331	R04965
MNXR94878	true	4.2.1.61	rxn07976	
MNXR94879	ambiguous	2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.59;4.2.1.61	rxn05335	R04568
MNXR94880	true	4.2.1.61	rxn07977	
MNXR94881	ambiguous	2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.59;4.2.1.61	rxn05332	R04544
MNXR94882	true	4.2.1.61	rxn07978	
MNXR94883	ambiguous	2.3.1.-;4.2.1.-;4.2.1.61	rxn07979	
MNXR94884	true	4.2.1.61	rxn07980	
MNXR94885	NA	4.2.1.58	rxn07981	
MNXR94886	true	2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.58;4.2.1.59	rxn05329	R04428
MNXR94887	true	2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.58;4.2.1.59	rxn05330	R04954
MNXR94888	true	2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.58;4.2.1.59;4.2.1.61	rxn05334	R04537
MNXR94891	true	3.1.2.4	rxn03433	R05064
MNXR94899	true	1.14.13.3;1.14.14.9	rxn02363	R03299
MNXR94900	true	3.1.2.4	rxn02261	R03158
MNXR94906	true	4.1.1.-	rxn02913	R04172
MNXR94907	true	1.4.3.4	rxn03358	R04907
MNXR94908	true		rxn13200	
MNXR94910	true	1.2.4.4	rxn01244	R01701
MNXR94911	true	1.2.4.4	rxn02950	
MNXR94913	true		rxn13201	
MNXR94914	true	1.1.1.90	rxn03649	R05347
MNXR94915	true	1.2.1.28;1.2.1.7	rxn12781	
MNXR94922	true	4.1.1.72	rxn13203	
MNXR94924	true		rxn09799	
MNXR94926	true		rxn09798	
MNXR94931	true	1.4.3.4	rxn03342	R04890
MNXR95044	true	4.1.1.77	rxn01894	R02602
MNXR95045	true	4.1.1.77	rxn03675	R05374
MNXR95047	true	5.3.2.6	rxn02788	R03966
MNXR95049	ambiguous		rxn08007	
MNXR95050	true		rxn08008	
MNXR95051	true		rxn08009	
MNXR95055	true	3.5.2.2	rxn11755	R08227
MNXR95070	true	1.3.1.2	rxn11754	R08226
MNXR95099	true	2.4.2.8	rxn11765	R08237
MNXR95102	true		rxn05482	
MNXR95103	true		rxn09648	
MNXR95104	true	3.2.1.86	rxn09992	
MNXR95106	true	6.3.5.2	rxn11772	R08244
MNXR95110	true		rxn10424	
MNXR95111	true		rxn10425	R08323
MNXR95113	true		rxn09701	
MNXR95133	true	3.4.13.18;3.4.13.20;3.4.13.3	rxn01464	R01992
MNXR95139	ambiguous		rxn10658	
MNXR95140	ambiguous		rxn10752	
MNXR95151	true	2.4.1.325	rxn08023	
MNXR95154	NA	3.2.1.1	rxn09952	
MNXR95157	true	1.2.1.31	rxn09637	
MNXR95161	true	2.6.1.1	rxn01757	R02433
MNXR95164	true		rxn10941	
MNXR95165	true	3.2.1.86	rxn08025	
MNXR95409	ambiguous	3.1.4.14	rxn06022	R01623
MNXR95412	true		rxn09788	
MNXR95414	ambiguous	2.5.1.47	rxn02571	R03601
MNXR95427	true	3.6.1.7	rxn00227	R00317
MNXR95428	true		rxn10835	
MNXR95429	true		rxn05488	
MNXR95430	true		rxn08062	
MNXR95438	true	6.3.1.10	rxn05054	R07302
MNXR95441	true	6.3.5.10	rxn03540	R05225
MNXR95445	true		rxn08065	
MNXR95451	true	2.7.4.3	rxn10052	
MNXR95454	true		rxn10427	
MNXR95457	true		rxn10768	
MNXR95458	true		rxn10769	
MNXR95460	true		rxn08069	
MNXR95464	true	3.5.1.90	rxn03541	R05226
MNXR95465	true	2.7.1.156	rxn03536	R05221
MNXR95630	true	1.1.1.399;1.1.1.M7	rxn10432	R08198
MNXR95636	true	2.5.1.47;2.5.1.49;4.2.99.8	rxn05733	R04859
MNXR95652	ambiguous		rxn10433	
MNXR95653	true	4.1.3	rxn10434	R08213
MNXR95656	true	2.3.1.61	rxn01872	R02570
MNXR95657	true	1.2.4.2	rxn01243	R01700
MNXR95659	true		rxn09699	
MNXR95663	true		rxn08096	
MNXR95664	true		rxn11004	
MNXR95863	true	2.7.7.53	rxn01184	R01618
MNXR95866	true	2.7.1.33	rxn03047	R04391
MNXR95895	true		rxn10439	
MNXR95900	true	1.4.3.4	rxn02826	R04025
MNXR96047	true		rxn08158	
MNXR96048	true		rxn08159	
MNXR96051	ambiguous		rxn10440	
MNXR96063	NA	6.3.5.6	rxn06619	
MNXR96064	NA	6.1.1.22	rxn06434	R03648
MNXR96065	true		rxn08160	
MNXR96066	true		rxn05508	
MNXR96069	true		rxn05220	
MNXR96073	true		rxn05507	
MNXR96074	true		rxn13759	
MNXR96076	true		rxn05506	
MNXR96081	true		rxn12404	
MNXR96083	true		rxn09865	
MNXR96095	false	1.4.3.16	rxn09483	
MNXR96100	true	2.6.1.12	rxn00282	R00400
MNXR96101	NA	6.1.1.12;6.1.1.23	rxn06936	R05577
MNXR96102	NA	6.1.1;6.1.1.12;6.1.1.23	rxn06433	R03647
MNXR96105	true		rxn10155	
MNXR96106	true		rxn05217	
MNXR96107	true		rxn08170	
MNXR96113	true	1.20.4.1	rxn08171	
MNXR96120	ambiguous		rxn10441	
MNXR96122	ambiguous		rxn10442	
MNXR96125	true		rxn09864	
MNXR96209	true	3.4.13.20;3.4.13.5	rxn02353	R03288
MNXR96214	true		rxn03415	R05041
MNXR96310	ambiguous		rxn10445	
MNXR96312	ambiguous		rxn10802	
MNXR96313	true		rxn10830	
MNXR96322	true	3.1.3.7	rxn00360	R00508
MNXR96334	true		rxn09693	
MNXR96340	ambiguous	2.8.1.6	rxn08180	
MNXR96459	true		rxn12789	
MNXR96462	true		rxn09824	
MNXR96470	true		rxn10450	
MNXR96474	true		rxn05515	
MNXR96477	ambiguous		rxn10451	
MNXR96488	true		rxn09823	
MNXR96500	ambiguous	3.6.1.26	rxn08199	
MNXR96501	ambiguous	3.6.1.26	rxn08201	
MNXR96503	ambiguous	3.6.1.26	rxn08202	
MNXR96504	ambiguous		rxn10713	
MNXR96505	true	3.6.1.26	rxn08204	
MNXR96556	NA	4.2.1.45	rxn01750	R02426
MNXR96559	true	3.6.1.5;3.6.1.6	rxn00366	R00514
MNXR96561	ambiguous		rxn10672	
MNXR96562	true		rxn09822	
MNXR96611	true	2.7.8.1	rxn06092	R02057
MNXR96648	true		rxn10464	
MNXR96649	true		rxn10465	
MNXR96650	true	2.7.7.M12	rxn10466	
MNXR96651	true	2.7.7.M12	rxn10467	
MNXR96653	true	2.1.1.79	rxn08207	
MNXR96656	true		rxn05539	
MNXR96658	true		rxn08211	
MNXR96661	true	4.2.1.114	rxn10468	
MNXR96662	true	4.2.1.114	rxn10469	
MNXR96663	true		rxn10470	
MNXR96664	true		rxn10471	
