ID	Name	Completness	VagueReactions	KeyReactions	KeyReactionsFound
|PWY-7482|	cyclooctatin biosynthesis	0	2	0	0
|PWY2OL-4|	superpathway of linalool biosynthesis	0	1	1	0
|PWY-7709|	(3<i>R</i>)-linalool biosynthesis	50	1	1	0
|PWY-6628|	superpathway of L-phenylalanine biosynthesis	0	1	0	0
|PWY-7141|	(3<i>S</i>)-linalool biosynthesis	50	1	1	0
|PWY-3462|	L-phenylalanine biosynthesis II	66	1	1	1
|PWY-5121|	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	0	1	0	0
|ASPASN-PWY|	superpathway of L-aspartate and L-asparagine biosynthesis	100	0	0	0
|BRANCHED-CHAIN-AA-SYN-PWY|	superpathway of branched chain amino acid biosynthesis	0	1	0	0
|PHESYN|	L-phenylalanine biosynthesis I	100	0	1	1
|COMPLETE-ARO-PWY|	superpathway of aromatic amino acid biosynthesis	0	1	0	0
|PWY-5995|	linoleate biosynthesis I (plants)	0	4	0	0
|P4-PWY|	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	0	1	0	0
|PWY-7432|	L-phenylalanine biosynthesis III (cytosolic, plants)	100	1	0	0
|PWY-7572|	lolitrem B biosynthesis	0	15	0	0
|PWY-7593|	linoleate biosynthesis III (cyanobacteria)	0	1	0	0
|PWY-3481|	superpathway of L-phenylalanine and L-tyrosine biosynthesis	0	1	0	0
|PWY-6001|	linoleate biosynthesis II (animals)	50	0	1	0
|PWY-724|	superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	0	1	0	0
|ARGININE-SYN4-PWY|	L-ornithine biosynthesis II	100	0	0	0
|PWY-821|	superpathway of sulfur amino acid biosynthesis (<i>Saccharomyces cerevisiae</i>)	0	1	0	0
|PWY-6922|	L-<i>N<sup>&delta;</sup></i>-acetylornithine biosynthesis	100	1	0	0
|SER-GLYSYN-PWY|	superpathway of L-serine and glycine biosynthesis I	0	1	0	0
|PWY-6304|	casbene biosynthesis	0	1	0	0
|P2-PWY|	citrate lyase activation	0	2	0	0
|GLUTORN-PWY|	L-ornithine biosynthesis I	100	0	0	0
|P241-PWY|	coenzyme B biosynthesis	37	9	0	0
|PWY-7053|	docosahexaenoate biosynthesis I (lower eukaryotes)	20	6	1	0
|PWY-5530|	sorbitol biosynthesis II	100	0	1	1
|PWY-6691|	plaunotol biosynthesis	33	2	0	0
|PWY-5196|	factor 430 biosynthesis	20	4	0	0
|PWY-7727|	docosahexaenoate biosynthesis IV (4-desaturase, mammals)	33	5	1	0
|VALSYN-PWY|	L-valine biosynthesis	100	0	0	0
|PWY-5198|	factor 420 biosynthesis	33	2	0	0
|PWY-7606|	docosahexaenoate biosynthesis III (6-desaturase, mammals)	50	8	0	0
|PWY-7070|	steviol biosynthesis	0	1	0	0
|PWY-5199|	factor 420 polyglutamylation	0	0	0	0
|PWY-7585|	docosahexaenoate biosynthesis II (bacteria)	0	1	0	0
|PWY-5254|	methanofuran biosynthesis	16	3	0	0
|PWY-7481|	oryzalide A biosynthesis	0	2	0	0
|PWY-5796|	malonate decarboxylase activation	0	0	1	0
|PWY-5915|	phycoerythrobilin biosynthesis I	0	2	2	0
|PWY-5107|	phytol salvage pathway	0	1	0	0
|PWY-5917|	phycocyanobilin biosynthesis	0	2	1	0
