tr	exid	exmet	name	rea	mets	transporter	type	tc
rxn02005	EX_cpd00020_e0	cpd00020[e0]	trehalose transport via PEP:Pyr PTS	(1) cpd00061_c0 + (1) cpd00794_e0 <=> (1) cpd00020_c0 + (1) cpd00523_c0	4	pts	4.Group translocators	
rxn02005	EX_cpd00061_e0	cpd00061[e0]	trehalose transport via PEP:Pyr PTS	(1) cpd00061_c0 + (1) cpd00794_e0 <=> (1) cpd00020_c0 + (1) cpd00523_c0	4	pts	4.Group translocators	
rxn02005	EX_cpd00523_e0	cpd00523[e0]	trehalose transport via PEP:Pyr PTS	(1) cpd00061_c0 + (1) cpd00794_e0 <=> (1) cpd00020_c0 + (1) cpd00523_c0	4	pts	4.Group translocators	
rxn02005	EX_cpd00794_e0	cpd00794[e0]	trehalose transport via PEP:Pyr PTS	(1) cpd00061_c0 + (1) cpd00794_e0 <=> (1) cpd00020_c0 + (1) cpd00523_c0	4	pts	4.Group translocators	
rxn05145	EX_cpd00001_e0	cpd00001[e0]	phosphate-transporting ATPase	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00009_e0 => (1) cpd00008_c0 + (2) cpd00009_c0 + (1) cpd00067_c0	5	atpase	3.Primary active transporters	
rxn05145	EX_cpd00002_e0	cpd00002[e0]	phosphate-transporting ATPase	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00009_e0 => (1) cpd00008_c0 + (2) cpd00009_c0 + (1) cpd00067_c0	5	atpase	3.Primary active transporters	
rxn05145	EX_cpd00008_e0	cpd00008[e0]	phosphate-transporting ATPase	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00009_e0 => (1) cpd00008_c0 + (2) cpd00009_c0 + (1) cpd00067_c0	5	atpase	3.Primary active transporters	
rxn05145	EX_cpd00009_e0	cpd00009[e0]	phosphate-transporting ATPase	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00009_e0 => (1) cpd00008_c0 + (2) cpd00009_c0 + (1) cpd00067_c0	5	atpase	3.Primary active transporters	
rxn05145	EX_cpd00067_e0	cpd00067[e0]	phosphate-transporting ATPase	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00009_e0 => (1) cpd00008_c0 + (2) cpd00009_c0 + (1) cpd00067_c0	5	atpase	3.Primary active transporters	
rxn05146	EX_cpd00001_e0	cpd00001[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00023_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00023_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05146	EX_cpd00002_e0	cpd00002[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00023_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00023_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05146	EX_cpd00008_e0	cpd00008[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00023_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00023_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05146	EX_cpd00009_e0	cpd00009[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00023_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00023_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05146	EX_cpd00023_e0	cpd00023[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00023_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00023_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05146	EX_cpd00067_e0	cpd00067[e0]	ATP phosphohydrolase (polar-amino-acid-importing)	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00023_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00023_c0 + (1) cpd00067_c0	6	atp	3.Primary active transporters	
rxn05147	EX_cpd00001_e0	cpd00001[e0]	D-Glucose-ABC transport	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00027_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00027_c0 + (1) cpd00067_c0	6	abc	3.Primary active transporters	
rxn05147	EX_cpd00002_e0	cpd00002[e0]	D-Glucose-ABC transport	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00027_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00027_c0 + (1) cpd00067_c0	6	abc	3.Primary active transporters	
rxn05147	EX_cpd00008_e0	cpd00008[e0]	D-Glucose-ABC transport	(1) cpd00001_c0 + (1) cpd00002_c0 + (1) cpd00027_e0 => (1) cpd00008_c0 + (1) cpd00009_c0 + (1) cpd00027_c0 + (1) cpd00067_c0	6	abc	3.Primary active transporters	
