MS ID	Old MS ID	External ID	Source
rxn37784		1	Enzyme Class
rxn02974|rxn03938|rxn04536|rxn04792|rxn07356|rxn07357|rxn07368|rxn07369|rxn07804|rxn07807|rxn07832|rxn11528|rxn11641|rxn14254|rxn15504|rxn15925|rxn19696|rxn20704|rxn21793|rxn21794|rxn22713|rxn24208|rxn24209|rxn24210|rxn24211|rxn25083|rxn25084|rxn25085|rxn25116|rxn25413|rxn25707|rxn26036|rxn26099|rxn26376|rxn26565|rxn26566|rxn26567|rxn26568|rxn26569|rxn33787|rxn37629|rxn37630|rxn38841|rxn38842|rxn39009	rxn03582|rxn07804|rxn07807|rxn07832|rxn11528|rxn11529|rxn11641|rxn14254	1.-.-.-	Enzyme Class
rxn04268|rxn04276|rxn04668|rxn04669|rxn04716|rxn04729|rxn06903|rxn06939|rxn07103|rxn07106|rxn07502|rxn08783|rxn14231|rxn15847|rxn15968|rxn16011|rxn16012|rxn16286|rxn16293|rxn16294|rxn19575|rxn19601|rxn20042|rxn22227|rxn27821|rxn28499|rxn28500|rxn31281|rxn33086|rxn33277|rxn33280|rxn33291|rxn33292|rxn36705|rxn36706|rxn36707|rxn36708|rxn36709|rxn36710|rxn36711|rxn36712|rxn36713|rxn37593|rxn37594|rxn37595|rxn37596|rxn37597|rxn37598	rxn04268|rxn04276|rxn04668|rxn04669|rxn04694|rxn04716|rxn04729|rxn06903|rxn06939|rxn07103|rxn07106|rxn07502|rxn11652|rxn14231	1.1.-.-	Enzyme Class
rxn13226		1.1.1	Enzyme Class
rxn00354|rxn00763|rxn01685|rxn01832|rxn02034|rxn02035|rxn02137|rxn02233|rxn02313|rxn02377|rxn02527|rxn02528|rxn02689|rxn02717|rxn02735|rxn02893|rxn03368|rxn03653|rxn03856|rxn03863|rxn03864|rxn04298|rxn04510|rxn04514|rxn04662|rxn04700|rxn04703|rxn06037|rxn06315|rxn06670|rxn07132|rxn07491|rxn07573|rxn07969|rxn07970|rxn08345|rxn08347|rxn11526|rxn11527|rxn11565|rxn11745|rxn11746|rxn11890|rxn11891|rxn11893|rxn11894|rxn12088|rxn12191|rxn13972|rxn13977|rxn13983|rxn13999|rxn14088|rxn14122|rxn14172|rxn14182|rxn14244|rxn14262|rxn14275|rxn14370|rxn14378|rxn15278|rxn15697|rxn15835|rxn15846|rxn15874|rxn16098|rxn16122|rxn16123|rxn16124|rxn16141|rxn16149|rxn16155|rxn16158|rxn16170|rxn16285|rxn16766|rxn16767|rxn16768|rxn16769|rxn16800|rxn16801|rxn19025|rxn19089|rxn19091|rxn19093|rxn19094|rxn19221|rxn19227|rxn19325|rxn19673|rxn19990|rxn20685|rxn20698|rxn20738|rxn20835|rxn21404|rxn21589|rxn21788|rxn21854|rxn21895|rxn22066|rxn22067|rxn22077|rxn22089|rxn22232|rxn22239|rxn22240|rxn22244|rxn22245|rxn22249|rxn22250|rxn22259|rxn22272|rxn22297|rxn22299|rxn22311|rxn22377|rxn22391|rxn22393|rxn22476|rxn22478|rxn22759|rxn22760|rxn22761|rxn22762|rxn23014|rxn23029|rxn23068|rxn23069|rxn23104|rxn23105|rxn23106|rxn23182|rxn23199|rxn23252|rxn23254|rxn23255|rxn23257|rxn23258|rxn23270|rxn23342|rxn23345|rxn23357|rxn23388|rxn23399|rxn23509|rxn23530|rxn23531|rxn23534|rxn23535|rxn23536|rxn23561|rxn23562|rxn23563|rxn23564|rxn23616|rxn23619|rxn23624|rxn23626|rxn23634|rxn23636|rxn23772|rxn23912|rxn23913|rxn24388|rxn24389|rxn24654|rxn25065|rxn25066|rxn25347|rxn25490|rxn25650|rxn25847|rxn25871|rxn25875|rxn25876|rxn25947|rxn25948|rxn26077|rxn26078|rxn26144|rxn26338|rxn26410|rxn26494|rxn26764|rxn27014|rxn27015|rxn27016|rxn27017|rxn27018|rxn27414|rxn28204|rxn28205|rxn31700|rxn33016|rxn36657|rxn36658|rxn37014|rxn37015|rxn37081|rxn37092|rxn37103|rxn37166|rxn37167|rxn37172|rxn37173|rxn37176|rxn37177|rxn37178|rxn37181|rxn37625|rxn37626|rxn37631	rxn00354|rxn01832|rxn02137|rxn02183|rxn02233|rxn02313|rxn02377|rxn02527|rxn02528|rxn02689|rxn02893|rxn03287|rxn03289|rxn03653|rxn03863|rxn03864|rxn04700|rxn04703|rxn06315|rxn06670|rxn07473|rxn07491|rxn07573|rxn11526|rxn11527|rxn11600|rxn13972|rxn13977|rxn13983|rxn13999|rxn14088|rxn14122|rxn14172|rxn14182|rxn14222|rxn14244|rxn14262|rxn14275|rxn14370|rxn14378|rxn14389	1.1.1.-	Enzyme Class
rxn05360|rxn05364|rxn05368|rxn05372|rxn05376|rxn05380|rxn05385|rxn05389|rxn05393|rxn05397|rxn05401|rxn05405|rxn05410|rxn05414|rxn05418|rxn05422|rxn05426|rxn05430|rxn05461	rxn05360|rxn05364|rxn05368|rxn05372|rxn05376|rxn05380|rxn05385|rxn05389|rxn05393|rxn05397|rxn05401|rxn05405|rxn05410|rxn05414|rxn05418|rxn05422|rxn05426|rxn05430|rxn05461	1.1.1.0	Enzyme Class
rxn00543|rxn00763|rxn01530|rxn01710|rxn01902|rxn02996|rxn03282|rxn03333|rxn03548|rxn03549|rxn03955|rxn04726|rxn04736|rxn04908|rxn05871|rxn05872|rxn06889|rxn07236|rxn07237|rxn10770|rxn11809|rxn11834|rxn11838|rxn12191|rxn14054|rxn14089|rxn19086|rxn19087|rxn21117|rxn21217|rxn22912|rxn23384|rxn24075|rxn24079|rxn24352|rxn24353|rxn24382|rxn24383|rxn24384|rxn24403|rxn24405|rxn24406|rxn26743|rxn27699|rxn27700|rxn28139|rxn28318|rxn28352|rxn28353|rxn28356|rxn28357|rxn30083|rxn31731|rxn31891|rxn32682|rxn38031|rxn38032|rxn38033|rxn38034|rxn38281|rxn38282|rxn38283|rxn38309|rxn38310|rxn38311|rxn38312|rxn38315|rxn38316|rxn38317|rxn38318|rxn38319|rxn38320|rxn38321|rxn38322|rxn38382|rxn38383|rxn38384|rxn38385|rxn38386|rxn38387|rxn38388|rxn38389|rxn38396|rxn38397|rxn38398|rxn38417|rxn38418|rxn38419|rxn38424|rxn38425|rxn38426|rxn38427|rxn38429|rxn38430|rxn38431|rxn38432|rxn38667|rxn38668|rxn38669	rxn00543|rxn00763|rxn00765|rxn01530|rxn03282|rxn03333|rxn03517|rxn03548|rxn03549|rxn04726|rxn04736|rxn04908|rxn05871|rxn05872|rxn06889|rxn07236|rxn07237|rxn11809|rxn11834|rxn11838|rxn12191|rxn14054|rxn14089|rxn14272|rxn14386	1.1.1.1	Enzyme Class
rxn01392|rxn33066	rxn01392	1.1.1.10	Enzyme Class
rxn05336|rxn05337|rxn05338|rxn05339|rxn05340|rxn05341|rxn05342|rxn06237|rxn07577|rxn07987|rxn07989|rxn07991|rxn07992|rxn07993|rxn07994|rxn21009|rxn21013|rxn21857|rxn21861|rxn23280|rxn23297|rxn23310|rxn25637|rxn25641|rxn25649|rxn25657|rxn25661|rxn25718|rxn26006|rxn26535|rxn26536|rxn26552|rxn26570|rxn26571|rxn26580|rxn26581|rxn26588|rxn26594|rxn26596|rxn26600|rxn26601|rxn26607|rxn26632|rxn26635|rxn26643|rxn26647|rxn26648|rxn26668|rxn26685|rxn26686|rxn26687|rxn26695|rxn26696|rxn26707|rxn26711|rxn26723|rxn27544|rxn28224|rxn31258|rxn31269|rxn31274|rxn37627|rxn37628|rxn37724|rxn37725|rxn37957|rxn37958|rxn37959|rxn37960|rxn37961|rxn37962|rxn37963|rxn37964|rxn38290|rxn38291|rxn38292|rxn38295|rxn38296|rxn38297|rxn38331|rxn38332|rxn38333|rxn38336|rxn38337|rxn38338|rxn38479|rxn38480|rxn38481|rxn38483|rxn38484|rxn38488|rxn38489|rxn38491|rxn38492|rxn38495|rxn38496|rxn38497|rxn38520|rxn38521|rxn38522|rxn38545|rxn38546|rxn38547|rxn38548|rxn38549|rxn38550|rxn38554|rxn38555|rxn38556|rxn38565|rxn38566|rxn38567|rxn38568|rxn38569|rxn38570|rxn38572|rxn38573|rxn38574|rxn38575|rxn38576|rxn38577|rxn38580|rxn38581|rxn38582|rxn38586|rxn38587|rxn38588|rxn38590|rxn38591|rxn38592|rxn38594|rxn38595|rxn38596|rxn38597|rxn38598|rxn38599|rxn38602|rxn38603|rxn38604|rxn38612|rxn38613|rxn38614|rxn38615|rxn38616|rxn38617|rxn38619|rxn38620|rxn38621|rxn38623|rxn38624|rxn38625|rxn38626|rxn38627|rxn38628|rxn38632|rxn38633|rxn38634|rxn38637|rxn38638|rxn38639|rxn38640|rxn38641|rxn38642|rxn38643|rxn38644|rxn38645|rxn38648|rxn38649|rxn38650|rxn38651|rxn38652|rxn38653|rxn38656|rxn38657|rxn38658|rxn38659|rxn38660|rxn38661|rxn38663|rxn38664|rxn38665	rxn05336|rxn05337|rxn05338|rxn05339|rxn05340|rxn05341|rxn05342|rxn06237|rxn07577|rxn07987|rxn07989|rxn07991|rxn07992|rxn07993|rxn07994	1.1.1.100	Enzyme Class
rxn02410|rxn06233|rxn06663	rxn02410|rxn06233|rxn06663	1.1.1.101	Enzyme Class
