id	name	stoich	comp
cpd00001[c0]	H2O-c0	-45.354000686262	1
cpd00002[c0]	ATP-c0	-41.2913947104178	1
cpd00003[c0]	NAD-c0	-0.00793965859468	1
cpd00006[c0]	NADP-c0	-0.00793965859468	1
cpd00008[c0]	ADP-c0	41.257	1
cpd00009[c0]	Phosphate-c0	41.2490603414053	1
cpd00010[c0]	CoA-c0	-0.00793965859468	1
cpd00012[c0]	PPi-c0	0.184884092423183	1
cpd00015[c0]	FAD-c0	-0.00793965859468	1
cpd00016[c0]	Pyridoxal-phosphate-c0	-0.00793965859468	1
cpd00017[c0]	Adenosyl-L-methionine-c0	-0.00793965859468	1
cpd00023[c0]	L-Glutamate-c0	-0.261005044219309	1
cpd00028[c0]	Heme-c0	-0.00793965859468	1
cpd00030[c0]	Mn2-plus-c0	-0.00793965859468	1
cpd00033[c0]	Glycine-c0	-0.409331301687739	1
cpd00034[c0]	Zn2-plus-c0	-0.00793965859468	1
cpd00035[c0]	L-Alanine-c0	-0.267560900902997	1
cpd00038[c0]	GTP-c0	-0.042402639179225	1
cpd00039[c0]	L-Lysine-c0	-0.323695423757071	1
cpd00041[c0]	L-Aspartate-c0	-0.14832625746843	1
cpd00042[c0]	GSH-c0	-0.00793965859468	1
cpd00048[c0]	Sulfate-c0	-0.00793965859468	1
cpd00051[c0]	L-Arginine-c0	-0.193397772168782	1
cpd00052[c0]	CTP-c0	-0.026124226615064	1
cpd00053[c0]	L-Glutamine-c0	-0.261005044219309	1
cpd00054[c0]	L-Serine-c0	-0.216753011604418	1
cpd00056[c0]	TPP-c0	-0.00793965859468	1
cpd00058[c0]	Cu2-plus-c0	-0.00793965859468	1
cpd00060[c0]	L-Methionine-c0	-0.11349826883634	1
cpd00062[c0]	UTP-c0	-0.028224666945924	1
cpd00063[c0]	Ca2-plus-c0	-0.00793965859468	1
cpd00065[c0]	L-Tryptophan-c0	-0.054495558683153	1
cpd00066[c0]	L-Phenylalanine-c0	-0.176188648374102	1
cpd00067[c0]	H-plus-c0	41.257	1
cpd00069[c0]	L-Tyrosine-c0	-0.111039822579957	1
cpd00084[c0]	L-Cysteine-c0	-0.056954004939535	1
cpd00087[c0]	Tetrahydrofolate-c0	-0.00793965859468	1
cpd00099[c0]	Cl-c0	-0.00793965859468	1
cpd00107[c0]	L-Leucine-c0	-0.347460404235438	1
cpd00115[c0]	dATP-c0	-0.009119044331049	1
cpd00118[c0]	Putrescine-c0	-0.00793965859468	1
cpd00119[c0]	L-Histidine-c0	-0.081948208546094	1
cpd00129[c0]	L-Proline-c0	-0.161028229793075	1
cpd00132[c0]	L-Asparagine-c0	-0.14832625746843	1
cpd00149[c0]	Co2-plus-c0	-0.00793965859468	1
