id	name	altname	hierarchy	taxrange	reaId	reaEc	keyRea	reaName	reaNr	ecNr	superpathway	status
seed.pwy1	CBSS-155864.1.peg.3753		-;-		rxn00085	1.4.1.13		Glutamate synthase [NADPH] small chain	1	1	False	True
seed.pwy2	COG0523		-;-		rxn00102,rxn01465,rxn00299,rxn00299,rxn13782,rxn13782,rxn13782,rxn13782,rxn13782,rxn13782,rxn13782,rxn02834,rxn02834,rxn13782,rxn05289,rxn00479,rxn00711,rxn05150,rxn05150,rxn05150	4.2.1.1,3.5.2.3,3.5.4.16,3.5.4.16,,,,,,,,3.5.4.19,3.6.1.31,,1.8.1.9,1.13.12.3,2.4.2.9,,,		Carbonic anhydrase;Dihydroorotase;GTP cyclohydrolase I type 1;GTP cyclohydrolase I type 2;LSU ribosomal protein L21p;LSU ribosomal protein L27p;LSU ribosomal protein L28p;LSU ribosomal protein L31p;LSU ribosomal protein L32p;LSU ribosomal protein L33p;LSU ribosomal protein L36p;Phosphoribosyl-AMP cyclohydrolase;Phosphoribosyl-ATP pyrophosphatase;SSU ribosomal protein S14p (S29e);Thioredoxin reductase;Tryptophan 2-monooxygenase;Uracil phosphoribosyltransferase;Zinc ABC transporter, ATP-binding protein ZnuC;Zinc ABC transporter, inner membrane permease protein ZnuB;Zinc ABC transporter, periplasmic-binding protein ZnuA	20	9	False	True
seed.pwy3	COG0523 and iron		-;-		rxn01775,rxn05555	1.1.1.57,		D-mannonate oxidoreductase;Similar to ferrous iron transporter protein B	2	1	False	True
seed.pwy4	ECF S-components - Experimental		-;-		rxn05223,rxn05645,rxn05663	,,		Substrate-specific component BioY of biotin ECF transporter;Substrate-specific component RibU of riboflavin ECF transporter;Substrate-specific component TrpP of tryptophan ECF transporter	3	0	False	True
seed.pwy5	Nitric oxide synthase		-;-		rxn00206,rxn00082	1.15.1.1,1.-.-.-		Manganese superoxide dismutase;Nitric oxide synthase oxygenase	2	2	False	True
seed.pwy6	tRNA modification position 37		-;-		rxn13784	2.1.1.31		tRNA (Guanine37-N1) -methyltransferase	1	1	False	True
seed.pwy7	Creatine and Creatinine Degradation		Amino Acids and Derivatives;-		rxn00717	3.5.4.1		Cytosine deaminase	1	1	False	True
seed.pwy8	L-2-amino-thiazoline-4-carboxylic acid-Lcysteine conversion		Amino Acids and Derivatives;-		rxn00654	3.5.1.6		Beta-ureidopropionase	1	1	False	True
seed.pwy9	Alanine biosynthesis		Amino Acids and Derivatives;Alanine, serine, and glycine		rxn00283,rxn00283,rxn00283,rxn00806,rxn09310,rxn07292,rxn00191,rxn00904	5.1.1.1,5.1.1.1,5.1.1.1,2.6.1.42,2.8.1.7,2.8.1.7,2.6.1.2,2.6.1.66		Alanine racemase;Alanine racemase, biosynthetic;Alanine racemase, catabolic;Branched-chain amino acid aminotransferase;Cysteine desulfurase;Cysteine desulfurase, mitochondrial precursor;Glutamate-pyruvate aminotransferase;Valine--pyruvate aminotransferase	8	8	False	True
seed.pwy10	Glycine Biosynthesis		Amino Acids and Derivatives;Alanine, serine, and glycine		rxn00274,rxn01068,rxn00541,rxn00692	2.3.1.29,1.1.1.103,4.1.2.5,2.1.2.1		2-amino-3-ketobutyrate coenzyme A ligase;L-threonine 3-dehydrogenase;Low-specificity L-threonine aldolase;Serine hydroxymethyltransferase	4	4	False	True
seed.pwy11	Glycine and Serine Utilization		Amino Acids and Derivatives;Alanine, serine, and glycine		rxn00274,rxn06600,rxn00953,rxn00566,rxn01101,rxn00166,rxn05307,rxn01102,rxn06493,rxn06377,rxn06377,rxn06377,rxn00165,rxn00165,rxn00165,rxn00165,rxn01715,rxn02914,rxn00420,rxn00692,rxn05307,rxn13782,rxn00737	2.3.1.29,2.1.2.10,4.2.1.22,4.4.1.1,1.1.1.95,4.3.1.18,,2.7.1.31,,1.4.4.2,1.4.4.2,1.4.4.2,4.3.1.17,4.3.1.17,4.3.1.17,4.3.1.17,,2.6.1.52,3.1.3.3,2.1.2.1,,6.1.1.11,4.3.1.19		2-amino-3-ketobutyrate coenzyme A ligase;Aminomethyltransferase (glycine cleavage system T protein);Cystathionine beta-synthase;Cystathionine gamma-lyase;D-3-phosphoglycerate dehydrogenase;D-serine dehydratase;D-serine/D-alanine/glycine transporter;Glycerate kinase;Glycine cleavage system H protein;Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein);Glycine dehydrogenase [decarboxylating] (glycine cleavage system P1 protein);Glycine dehydrogenase [decarboxylating] (glycine cleavage system P2 protein);L-serine dehydratase;L-serine dehydratase 1;L-serine dehydratase, alpha subunit;L-serine dehydratase, beta subunit;Monoamine oxidase (1.4.3.4);Phosphoserine aminotransferase;Phosphoserine phosphatase;Serine hydroxymethyltransferase;Serine transporter;Seryl-tRNA synthetase;Threonine dehydratase, catabolic	23	19	False	True
seed.pwy12	Glycine cleavage system		Amino Acids and Derivatives;Alanine, serine, and glycine		rxn06600,rxn01241,rxn06493,rxn06377,rxn06377,rxn06377,rxn00165,rxn07584,rxn00692	2.1.2.10,1.8.1.4,,1.4.4.2,1.4.4.2,1.4.4.2,4.3.1.17,,2.1.2.1		Aminomethyltransferase (glycine cleavage system T protein);Dihydrolipoamide dehydrogenase;Glycine cleavage system H protein;Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein);Glycine dehydrogenase [decarboxylating] (glycine cleavage system P1 protein);Glycine dehydrogenase [decarboxylating] (glycine cleavage system P2 protein);L-serine dehydratase;Lipoate-protein ligase A;Serine hydroxymethyltransferase	9	7	False	True
seed.pwy13	Serine Biosynthesis		Amino Acids and Derivatives;Alanine, serine, and glycine		rxn01101,rxn02914,rxn02914,rxn00420,rxn00692	1.1.1.95,2.6.1.52,2.6.1.52,3.1.3.3,2.1.2.1		D-3-phosphoglycerate dehydrogenase;Phosphoserine aminotransferase;Phosphoserine aminotransferase, putative;Phosphoserine phosphatase;Serine hydroxymethyltransferase	5	5	False	True
