query.acc	Gram.staining
NF041002.1	pos
NF040910.1	pos
NF040845.1	pos
NF038246.1	pos
NF038186.1	pos
NF038086.1	pos
NF033902.0	pos
NF033866.1	pos
NF033897.1	pos
NF033903.0	pos
NF033904.1	pos
NF033099.1	pos
NF005582.0	pos
NF005298.0	pos
TIGR04307.1	pos
TIGR04226.1	pos
TIGR04091.1	pos
TIGR03769.1	pos
TIGR03713.1	pos
TIGR03624.1	pos
TIGR03778.1	pos
TIGR03766.1	pos
TIGR03726.1	pos
TIGR03714.1	pos
TIGR03593.1	pos
TIGR03934.1	pos
TIGR03851.1	pos
TIGR03712.1	pos
TIGR03711.1	pos
TIGR03598.1	pos
TIGR02155.1	pos
TIGR02024.1	pos
TIGR01928.1	pos
TIGR01835.1	pos
TIGR01811.1	pos
TIGR01795.1	pos
TIGR01744.1	pos
TIGR01716.1	pos
TIGR01673.1	pos
TIGR01669.1	pos
TIGR01633.1	pos
TIGR01808.1	pos
TIGR01796.1	pos
TIGR01717.1	pos
TIGR01618.1	pos
TIGR01967.1	pos
TIGR01919.1	pos
TIGR01883.1	pos
TIGR01847.1	pos
TIGR01743.1	pos
TIGR01688.1	pos
TIGR01668.1	pos
TIGR01579.1	pos
TIGR01906.1	pos
TIGR01805.1	pos
TIGR01801.1	pos
TIGR01788.1	pos
TIGR01754.1	pos
TIGR01734.1	pos
TIGR01603.1	pos
TIGR01474.1	pos
TIGR01440.1	pos
TIGR01432.1	pos
TIGR01405.1	pos
TIGR01366.1	pos
TIGR01318.1	pos
TIGR01246.1	pos
TIGR01481.1	pos
TIGR01447.1	pos
TIGR01435.1	pos
TIGR01349.1	pos
TIGR01317.1	pos
TIGR01232.1	pos
TIGR01220.1	pos
TIGR01119.1	pos
TIGR01561.1	pos
TIGR01475.1	pos
TIGR01457.1	pos
TIGR01433.1	pos
TIGR01406.1	pos
TIGR01518.1	pos
TIGR01513.1	pos
TIGR01454.1	pos
TIGR01446.1	pos
TIGR01407.1	pos
TIGR01223.1	pos
TIGR01167.1	pos
TIGR01125.1	pos
TIGR01118.1	pos
TIGR04450.1	pos
TIGR03109.1	pos
TIGR03093.1	pos
TIGR03069.1	pos
TIGR03061.1	pos
TIGR03139.1	pos
TIGR03111.1	pos
TIGR03091.1	pos
TIGR03063.1	pos
TIGR03092.1	pos
TIGR03110.1	pos
TIGR03090.1	pos
TIGR03062.1	pos
TIGR02952.1	pos
TIGR02918.1	pos
TIGR02869.1	pos
TIGR02865.1	pos
TIGR02853.1	pos
TIGR02980.1	pos
TIGR02913.1	pos
TIGR02876.1	pos
TIGR02919.1	pos
TIGR02870.1	pos
TIGR02920.1	pos
TIGR02871.1	pos
TIGR02867.1	pos
TIGR02834.1	pos
TIGR02787.1	pos
TIGR02764.1	pos
TIGR02728.1	pos
TIGR02595.1	pos
TIGR02434.1	pos
TIGR02393.1	pos
TIGR02404.1	pos
TIGR02214.1	pos
TIGR01063.1	pos
TIGR01059.1	pos
TIGR01006.1	pos
TIGR00779.1	pos
TIGR00823.1	pos
TIGR00912.1	pos
TIGR00904.1	pos
TIGR00853.1	pos
NF012098.1	pos
TIGR00750.1	pos
TIGR00573.1	pos
TIGR00564.1	pos
TIGR00689.1	pos
TIGR00647.1	pos
TIGR00565.1	pos
NF038020.1	pos
NF038026.1	pos
NF033147.1	pos
NF033484.1	pos
TIGR00553.1	pos
TIGR00541.1	pos
NF033493.0	pos
TIGR00555.1	pos
TIGR00099.1	pos
TIGR00025.1	pos
NF033849.1	pos
NF033767.0	pos
NF033777.1	pos
NF007596.1	neg
TIGR01709.2	neg
NF007443.1	neg
NF038180.1	neg
NF038095.1	neg
NF033922.0	neg
NF033939.0	neg
NF033947.0	neg
NF033923.0	neg
NF011683.0	neg
TIGR04275.1	neg
TIGR03375.1	neg
TIGR03303.1	neg
TIGR02195.1	neg
TIGR01940.1	neg
TIGR01936.1	neg
TIGR01941.1	neg
TIGR01937.1	neg
TIGR01852.1	neg
TIGR01853.1	neg
TIGR01845.1	neg
TIGR01812.1	neg
TIGR01800.1	neg
TIGR01634.1	neg
TIGR02105.1	neg
TIGR01939.1	neg
TIGR02201.1	neg
TIGR02197.1	neg
TIGR02193.1	neg
TIGR01986.1	neg
TIGR01938.1	neg
TIGR01846.1	neg
TIGR01842.1	neg
TIGR01390.1	neg
TIGR01362.1	neg
TIGR01270.1	neg
TIGR01459.1	neg
TIGR01269.1	neg
TIGR01347.1	neg
TIGR01267.1	neg
TIGR01530.1	neg
TIGR01414.1	neg
TIGR01352.1	neg
TIGR01268.1	neg
TIGR04407.1	neg
TIGR04530.1	neg
TIGR04514.1	neg
TIGR04409.1	neg
TIGR04529.1	neg
TIGR04408.1	neg
TIGR03087.1	neg
TIGR03088.1	neg
TIGR03138.1	neg
TIGR03013.1	neg
TIGR03006.1	neg
TIGR03007.1	neg
TIGR02803.1	neg
TIGR02634.1	neg
TIGR02553.1	neg
TIGR02804.1	neg
TIGR02517.1	neg
TIGR02203.1	neg
TIGR00975.1	neg
TIGR00787.1	neg
TIGR00899.1	neg
TIGR00929.1	neg
NF008062.1	neg
NF008038.0	neg
TIGR00786.1	neg
TIGR00682.1	neg
TIGR00701.1	neg
NF033618.0	neg
TIGR00456.1	neg
TIGR00244.1	neg
NF033808.0	neg
