name,altname,exid,id,guild,metacyc,exid_seed,id_seed
alpha-Cyclodextrin,,,,Polymers,,NA,NA
Dextrin,,EX_dextrin(e),dextrin[e],Polymers,,EX_cpd11594_e0,cpd11594[e0]
Glycogen,,EX_glycogen(e),glycogen[e],Polymers,,EX_cpd00155_e0,cpd00155[e0]
Tween 40,,,,Polymers,,NA,NA
Tween 80,,,,Polymers,,NA,NA
N-Acetyl-D-Galactosamine,N-acetylgalactosamine,EX_acgal(e),acgal[e],Carbohydrates,PWY-7077,EX_cpd00832_e0,cpd00832[e0]
N-Acetyl-D-Glucosamine,,EX_acgam(e),acgam[e],Carbohydrates,PWY-7586,EX_cpd00122_e0,cpd00122[e0]
Adonitol,,,,Carbohydrates,RIBITOLUTIL-PWY,NA,NA
L-Arabinose,arabinose,EX_arab_L(e),arab_L[e],Carbohydrates,ARABCAT-PWY;PWY-5515;PWY-5517;PWY-7295,EX_cpd00224_e0,cpd00224[e0]
D-Arabitol,arabitol,EX_abt_D(e),abt_D[e],Carbohydrates,DARABITOLUTIL-PWY,NA,NA
D-Cellobiose,cellobiose,EX_cellb(e),cellb[e],Carbohydrates,,EX_cpd00158_e0,cpd00158[e0]
i-Erythritol,,,,Carbohydrates,PWY-7789;PWY-7788,NA,NA
D-Fructose,fructose,EX_fru(e),fru[e],Carbohydrates,PWY0-1314,EX_cpd00082_e0,cpd00082[e0]
L-Fucose,fucose,EX_fuc_L(e),fuc_L[e],Carbohydrates,FUCCAT-PWY,EX_cpd00751_e0,cpd00751[e0]
D-Galactose,galactose,EX_gal(e),gal[e],Carbohydrates,PWY-6317;PWY-6693;GALDEG-PWY;PWY66-422;PWY-3821,EX_cpd00108_e0,cpd00108[e0]
Gentiobiose,,,,Carbohydrates,,NA,NA
alpha-D-Glucose,glucose,EX_glc(e),glc_D[e],Carbohydrates,GLYCOLYSIS;ANAGLYCOLYSIS-PWY;P341-PWY;NPGLUCAT-PWY;PWY-2221;ENTNER-DOUDOROFF-PWY,EX_cpd00027_e0,cpd00027[e0]
m-Inositol,inositol,EX_inost(e),inost[e],Carbohydrates,P562-PWY;PWY-7241,EX_cpd00121_e0,cpd00121[e0]
