name	metacyc	vmh	seed	group
alpha-Cyclodextrin				Polymers
Dextrin		EX_dextrin(e)	EX_cpd11594_e0	Polymers
Glycogen		EX_glycogen(e)	EX_cpd00155_e0	Polymers
Tween 40				Polymers
Tween 80				Polymers
N-Acetyl-D-Galactosamine;N-acetylgalactosamine	PWY-7077	EX_acgal(e)	EX_cpd00832_e0	Carbohydrates
N-Acetyl-D-Glucosamine;N-acetylglucosamine	PWY-7586	EX_acgam(e)	EX_cpd00122_e0	Carbohydrates
Adonitol	RIBITOLUTIL-PWY			Carbohydrates
L-Arabinose;arabinose	ARABCAT-PWY;PWY-5515;PWY-5517;PWY-7295	EX_arab_L(e)	EX_cpd00224_e0	Carbohydrates
D-Arabitol;arabitol	DARABITOLUTIL-PWY	EX_abt_D(e)	EX_cpd00417_e0	Carbohydrates
D-Cellobiose;cellobiose		EX_cellb(e)	EX_cpd00158_e0	Carbohydrates
i-Erythritol	PWY-7789;PWY-7788			Carbohydrates
D-Fructose;fructose	PWY0-1314	EX_fru(e)	EX_cpd00082_e0	Carbohydrates
L-Fucose;fucose	FUCCAT-PWY	EX_fuc_L(e)	EX_cpd00751_e0	Carbohydrates
D-Galactose;galactose	PWY-6317;PWY-6693;GALDEG-PWY;PWY66-422;PWY-3821	EX_gal(e)	EX_cpd00108_e0	Carbohydrates
Gentiobiose				Carbohydrates
alpha-D-Glucose;glucose	GLYCOLYSIS;ANAGLYCOLYSIS-PWY;P341-PWY;NPGLUCAT-PWY;PWY-2221;ENTNER-DOUDOROFF-PWY	EX_glc(e)	EX_cpd00027_e0	Carbohydrates
m-Inositol;inositol	P562-PWY;PWY-7241	EX_inost(e)	EX_cpd00121_e0	Carbohydrates
alpha-D-Lactose;lactose	LACTOSEUTIL-PWY;BGALACT-PWY;LACTOSECAT-PWY	EX_lcts(e)	EX_cpd00208_e0	Carbohydrates
Lactulose			EX_cpd04349_e0	Carbohydrates
Maltose;maltose	MALTOSECAT-PWY	EX_malt(e)	EX_cpd00179_e0	Carbohydrates
D-Mannitol;mannitol	PWY-3861;MANNIDEG-PWY	EX_mnl(e)	EX_cpd00314_e0	Carbohydrates
D-Mannose;mannose	MANNCAT-PWY	EX_man(e)	EX_cpd00138_e0	Carbohydrates
