rea	type	tc
RIBabc	abc	3.A.1.2.1
LCTSt	symport	2.A.2.2.1
ARBt2r	symport	2.A.1.1.116
FUCt2_1	symport	2.A.1.7.1
GALt2_2	symport	2.A.1.1.1
LCTSt	symport	2.A.1.1.9
CELBpts	pts	4.A.3.2.3
XYLabc	abc	3.A.1.2.26
GLCNt2r	symport	2.A.1.1.23
LACpts	pts	4.A.5.1.6
CITt2	symport	2.A.1.6.1
GLCNt2r	symport	2.A.8.1.1
FRUt2r	symport	2.A.1.1.22
SUCRt2	symport	2.A.1.5.3
MELIBt2r	symport	2.A.2.1.2
MELIBt2r	symport	2.A.2.1.1
CITt2	symport	2.A.80.1.4
LCTSt	symport	3.A.1.1.4
FRUpts	pts	4.A.2.1.4
MALTabc	abc	3.A.1.5.8
MANpts	pts	4.A.2.1.6
SUCRt2	symport	2.A.2.4.2
CELBpts	pts	4.A.1.2.3
MNLpts	pts	4.A.2.1.12
