abbreviation,addedBy,biggId,charge,chargedFormula,cheBlId,cheBlId2,description,ehmnId,fullName,hepatonetId,hmdb,inchiString,keggId,lastModified,lmId,met_id,miriam,modifiedBy,neutralFormula,pdmapName,pubChemId,reconMap,smile,synonyms,url
10fthf5glu,,,-6,C40H45N11O19,,,10-formyltetrahydrofolate-[Glu](5),,10-formyltetrahydrofolate-[Glu](5),,,,,2016-11-22T15:11:43Z,,1,,,,,,10fthf5glu,,,http://vmh.uni.lu/_api/metabolites/1/?format=pcsv
10fthf6glu,,,-7,C45H51N12O22,,,10-formyltetrahydrofolate-[Glu](6),,10-formyltetrahydrofolate-[Glu](6),,,"InChI=1/C45H58N12O22/c46-45-55-36-35(38(67)56-45)48-21(17-47-36)18-57(19-58)22-3-1-20(2-4-22)37(66)54-28(44(78)79)9-15-33(63)52-26(42(74)75)7-13-31(61)50-24(40(70)71)5-11-29(59)49-23(39(68)69)6-12-30(60)51-25(41(72)73)8-14-32(62)53-27(43(76)77)10-16-34(64)65/h1-4,19,21,23-28,48H,5-18H2,(H,49,59)(H,50,61)(H,51,60)(H,52,63)(H,53,62)(H,54,66)(H,64,65)(H,68,69)(H,70,71)(H,72,73)(H,74,75)(H,76,77)(H,78,79)(H4,46,47,55,56,67)/p-7/t21?,23?,24?,25?,26?,27?,28-/m1/s1",,2016-11-22T15:11:43Z,,2,,,,,,10fthf6glu,,,http://vmh.uni.lu/_api/metabolites/2/?format=pcsv
10fthf7glu,,,-8,C50H57N13O25,,,10-formyltetrahydrofolate-[Glu](7),,10-formyltetrahydrofolate-[Glu](7),,,,,2016-11-22T15:11:43Z,,3,,,,,,10fthf7glu,,,http://vmh.uni.lu/_api/metabolites/3/?format=pcsv
10fthf,,,-2,C20H21N7O7,CHEBI:15637,,10-Formyltetrahydrofolate,,10-Formyltetrahydrofolate,,,"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)/p-2/t11-,13+/m1/s1",C00234,2016-11-22T15:11:43Z,,4,,,,,122347,10fthf,,,http://vmh.uni.lu/_api/metabolites/4/?format=pcsv
11docrtsl,,,0,C21H30O4,CHEBI:28324,,"Human Metabolome Database (HMDB): Cortexolone is the precursor of cortisol. Accumulation of Cortexolone can happen in a defect known as congenital adrenal hyperplasia, which is due to 11-beta-hydroxylase deficiency, resulting in androgen excess, virilization, and hypertension. (PMID: 2022736) A 17-hydroxycorticosteroid with glucocorticoid and anti-inflammatory activities. (PubChem).",,11-deoxycortisol,,HMDB00015,"InChI=1S/C21H30O4/c1-19-8-5-14(23)11-13(19)3-4-15-16(19)6-9-20(2)17(15)7-10-21(20,25)18(24)12-22/h11,15-17,22,25H,3-10,12H2,1-2H3/t15-,16+,17+,19+,20+,21+/m1/s1",C05488,2016-12-05T15:48:03Z,,5,,,,,,11docrtsl,,"11-Deoxy-17-hydroxy-Corticosterone, 11-Deoxy-17-hydroxycorticosterone, 11-Deoxy-Cortisol, 11-Deoxycortisol, 11-Deoxyhydrocortisone, 11-Desoxy-17-hydroxycorticosterone, 11-Desoxycortisol, 11-Desoxyhydrocortisone, 11-Dioxy-Cortisol, 11-Dioxycortisol, 17,21-Dihydroxy-4-pregnene-3,20-dione, 17,21-Dihydroxypregn-4-ene-3,20-dione, 17,21-Dihydroxyprogesterone, 17-Hydroxy-11-deoxycorticosterone, 17alpha-Hydroxycortexone, 20-Dione 17,21-Dihydroxypregn-4-ene-3, 4-Pregnene-17alpha,21-diol-3,20-dione, Cortodoxone, Reichstein S, Reichstein'S compound S, Reichstein'S substance S",http://vmh.uni.lu/_api/metabolites/5/?format=pcsv
11docrtstrn,,,0,C21H30O3,CHEBI:16973,,11-deoxycorticosterone,,11-deoxycorticosterone,,,"InChI=1S/C21H30O3/c1-20-9-7-14(23)11-13(20)3-4-15-16-5-6-18(19(24)12-22)21(16,2)10-8-17(15)20/h11,15-18,22H,3-10,12H2,1-2H3/t15-,16-,17-,18+,20-,21-/m0/s1",C03205,2016-11-22T15:11:43Z,,6,,,,,6166,11docrtstrn,,,http://vmh.uni.lu/_api/metabolites/6/?format=pcsv
13dampp,,,2,C3H12N2,CHEBI:15725,,"Human Metabolome Database (HMDB): 1,3-Diaminopropane is a stable, flammable and highly hydroscopic fluid. It is a polyamine that is normally quite toxic if swallowed, inhaled or absorbed through the skin. It is a catabolic byproduct of spermidine. It is also a precursor in the enzymatic synthesis of beta-alanine. 1, 3-Diaminopropane is involved in the arginine/proline metabolic pathways and the beta-alanine metabolic pathway.",,trimethylenediaminium,,HMDB00002,InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2/p+2,C00986,2016-12-05T15:48:03Z,,7,,,,,428,13dampp,,"1,3-Diamino-N-propane, 1,3-Propanediamine, 1,3-Propylenediamine, 1,3-Trimethylenediamine, 3-Aminopropylamine, a,w-Propanediamine, Propane-1,3-diamine, Trimethylenediamine",http://vmh.uni.lu/_api/metabolites/7/?format=pcsv
h2o,,,0,H2O,CHEBI:15377,,"Human Metabolome Database (HMDB): Water is a chemical substance that is essential to all known forms of life. It appears colorless to the naked eye in small quantities, though it is actually slightly blue in color. It covers 71% of Earth's surface. Current estimates suggest that there are 1.4 billion cubic kilometers (330 million m3) of it available on Earth, and it exists in many forms. It appears mostly in the oceans (saltwater) and polar ice caps, but it is also present as clouds, rain water, rivers, freshwater aquifers, lakes, and sea ice. Water in these bodies perpetually moves through a cycle of evaporation, precipitation, and runoff to the sea. Clean water is essential to human life. In many parts of the world, it is in short supply. From a biological standpoint, water has many distinct properties that are critical for the proliferation of life that set it apart from other substances. It carries out this role by allowing organic compounds to react in ways that ultimately allow replication. All known forms of life depend on water. Water is vital both as a solvent in which many of the body's solutes dissolve and as an essential part of many metabolic processes within the body. Metabolism is the sum total of anabolism and catabolism. In anabolism, water is removed from molecules (through energy requiring enzymatic chemical reactions) in order to grow larger molecules (e.g. starches, triglycerides and proteins for storage of fuels and information). In catabolism, water is used to break bonds in order to generate smaller molecules (e.g. glucose, fatty acids and amino acids to be used for fuels for energy use or other purposes). Water is thus essential and central to these metabolic processes. Water is also central to photosynthesis and respiration. Photosynthetic cells use the sun's energy to split off water's hydrogen from oxygen. Hydrogen is combined with CO2 (absorbed from air or water) to form glucose and release oxygen. All living cells use such fuels and oxidize the hydrogen and carbon to capture the sun's energy and reform water and CO2 in the process (cellular respiration). Water is also central to acid-base neutrality and enzyme function. An acid, a hydrogen ion (H+, that is, a proton) donor, can be neutralized by a base, a proton acceptor such as hydroxide ion (OH-) to form water. Water is considered to be neutral, with a pH (the negative log of the hydrogen ion concentration) of 7. Acids have pH values less than 7 while bases have values greater than 7. Stomach acid (HCl) is useful to digestion. However, its corrosive effect on the esophagus during reflux can temporarily be neutralized by ingestion of a base such as aluminum hydroxide to produce the neutral molecules water and the salt aluminum chloride. Human biochemistry that involves enzymes usually performs optimally around a biologically neutral pH of 7.4. (Wikipedia).",,Water,,HMDB02111,InChI=1S/H2O/h1H2,C00001,2016-12-05T15:48:03Z,,8,,,,H2O,962,h2o,,"Dihydrogen oxide, Steam",http://vmh.uni.lu/_api/metabolites/8/?format=pcsv
o2,,,0,O2,CHEBI:15379,,"Human Metabolome Database (HMDB): Oxygen is the third most abundant element in the universe after hydrogen and helium and the most abundant element by mass in the Earth's crust. Diatomic oxygen gas constitutes 20.9% of the volume of air. All major classes of structural molecules in living organisms, such as proteins, carbohydrates, and fats, contain oxygen, as do the major inorganic compounds that comprise animal shells, teeth, and bone. Oxygen in the form of O2 is produced from water by cyanobacteria, algae and plants during photosynthesis and is used in cellular respiration for all living organisms. Green algae and cyanobacteria in marine environments provide about 70% of the free oxygen produced on earth and the rest is produced by terrestrial plants. Oxygen is used in mitochondria to help generate adenosine triphosphate (ATP) during oxidative phosphorylation. For animals, a constant supply of oxygen is indispensable for cardiac viability and function. To meet this demand, an adult human, at rest, inhales 1.8 to 2.4 grams of oxygen per minute. This amounts to more than 6 billion tonnes of oxygen inhaled by humanity per year. At a resting pulse rate, the heart consumes approximately 8-15 ml O2/min/100 g tissue. This is significantly more than that consumed by the brain (approximately 3 ml O2/min/100 g tissue) and can increase to more than 70 ml O2/min/100 g myocardial tissue during vigorous exercise. As a general rule, mammalian heart muscle cannot produce enough energy under anaerobic conditions to maintain essential cellular processes; thus, a constant supply of oxygen is indispensable to sustain cardiac function and viability. However, the role of oxygen and oxygen-associated processes in living systems is complex, and they and can be either beneficial or contribute to cardiac dysfunction and death (through reactive oxygen species). Reactive oxygen species (ROS) are a family of oxygen-derived free radicals that are produced in mammalian cells under normal and pathologic conditions. Many ROS, such as the superoxide anion (O2-)and hydrogen peroxide (H2O2), act within blood vessels, altering mechanisms mediating mechanical signal transduction and autoregulation of cerebral blood flow. Reactive oxygen species are believed to be involved in cellular signaling in blood vessels in both normal and pathologic states. The major pathway for the production of ROS is by way of the one-electron reduction of molecular oxygen to form an oxygen radical, the superoxide anion (O2-). Within the vasculature there are several enzymatic sources of O2-, including xanthine oxidase, the mitochondrial electron transport chain, and nitric oxide (NO) synthases. Studies in recent years, however, suggest that the major contributor to O2- levels in vascular cells is the membrane-bound enzyme NADPH-oxidase. Produced O2- can react with other radicals, such as NO, or spontaneously dismutate to produce hydrogen peroxide (H2O2). In cells, the latter reaction is an important pathway for normal O2- breakdown and is usually catalyzed by the enzyme superoxide dismutase (SOD). Once formed, H2O2 can undergo various reactions, both enzymatic and nonenzymatic. The antioxidant enzymes catalase and glutathione peroxidase act to limit ROS accumulation within cells by breaking down H2O2 to H2O. Metabolism of H2O2 can also produce other, more damaging ROS. For example, the endogenous enzyme myeloperoxidase uses H2O2 as a substrate to form the highly reactive compound hypochlorous acid. Alternatively, H2O2 can undergo Fenton or Haber-Weiss chemistry, reacting with Fe2+/Fe3+ ions to form toxic hydroxyl radicals (-.OH). (PMID: 17027622, 15765131).",,O2,,HMDB01377,InChI=1S/O2/c1-2,C00007,2016-12-05T15:48:03Z,,9,,,,O2,977,o2,,"Dioxygen, Molecular oxygen, O2, Oxygen, Oxygen molecule",http://vmh.uni.lu/_api/metabolites/9/?format=pcsv
bamppald,,,1,C3H8NO,CHEBI:58374,,beta-Aminopropion aldehyde,,beta-Aminopropion aldehyde,,,"InChI=1/C3H7NO/c4-2-1-3-5/h3H,1-2,4H2",C05665,2016-11-22T15:11:43Z,,10,,,,,75,bamppald,,,http://vmh.uni.lu/_api/metabolites/10/?format=pcsv
