abbreviation,addedBy,cog,csecoida,description,ecnumber,formula,keggId,keggorthology,lastModified,mcs,modifiedBy,notes,pdmapName,ref,reversible,rxn_id,subsystem,url
10FTHF5GLUtl,,,3A0000000,"5-glutamyl-10FTHF transport, lysosomal",,10fthf5glu[c] -> 10fthf5glu[l] ,,,2016-11-30T10:22:57Z,2,,carrier-mediated transport - but which and how is unknown IT,,PMID:11375437,0,1,"Transport, lysosomal",http://vmh.uni.lu/_api/reactions/1/?format=pcsv
10FTHF5GLUtm,,,3A0000000,"5-glutamyl-10FTHF transport, mitochondrial",,10fthf5glu[m] -> 10fthf5glu[c] ,,,2016-11-30T10:22:57Z,2,,mechanism is unknown IT,,PMID:11375437,0,2,"Transport, mitochondrial",http://vmh.uni.lu/_api/reactions/2/?format=pcsv
10FTHF6GLUtl,,,3A0000000,"6-glutamyl-10FTHF transport, lysosomal",,10fthf6glu[c] -> 10fthf6glu[l] ,,,2016-11-30T10:22:57Z,2,,carrier-mediated transport - but which and how is unknown IT,,PMID:11375437,0,3,"Transport, lysosomal",http://vmh.uni.lu/_api/reactions/3/?format=pcsv
10FTHF6GLUtm,,,3A0000000,"6-glutamyl-10FTHF transport, mitochondrial",,10fthf6glu[m] -> 10fthf6glu[c] ,,,2016-11-30T10:22:57Z,2,,mechanism is unknown IT,,PMID:11375437,0,4,"Transport, mitochondrial",http://vmh.uni.lu/_api/reactions/4/?format=pcsv
10FTHF7GLUtl,,,3A0000000,"7-glutamyl-10FTHF transport, lysosomal",,10fthf7glu[c] -> 10fthf7glu[l] ,,,2016-11-30T10:22:57Z,2,,carrier-mediated transport - but which and how is unknown IT,,PMID:11375437,0,5,"Transport, lysosomal",http://vmh.uni.lu/_api/reactions/5/?format=pcsv
10FTHF7GLUtm,,,3A0000000,"7-glutamyl-10FTHF transport, mitochondrial",,10fthf7glu[m] -> 10fthf7glu[c] ,,,2016-11-30T10:22:57Z,2,,mechanism is unknown IT,,PMID:11375437,0,6,"Transport, mitochondrial",http://vmh.uni.lu/_api/reactions/6/?format=pcsv
10FTHFtl,,,3A0000000,10-Formyltetrahydrofolate lysosomal transport via diffusion,,10fthf[c] <=> 10fthf[l] ,,,2016-11-30T10:22:57Z,2,,"NCD, IT",,PMID:11375437,1,7,"Transport, lysosomal",http://vmh.uni.lu/_api/reactions/7/?format=pcsv
10FTHFtm,,,3A0000000,10-Formyltetrahydrofolate mitochondrial transport via diffusion,,10fthf[c] <=> 10fthf[m] ,,,2016-11-30T10:22:57Z,2,,NCD,,PMID:11375437,1,8,"Transport, mitochondrial",http://vmh.uni.lu/_api/reactions/8/?format=pcsv
11DOCRTSLtm,,,3A0000000,11-deoxycortisol intracellular transport,,11docrtsl[c] <=> 11docrtsl[m] ,,,2016-11-30T10:22:57Z,1,,unknown mechanism NJ,,,1,9,"Transport, mitochondrial",http://vmh.uni.lu/_api/reactions/9/?format=pcsv
11DOCRTSLtr,,,3A0000000,11-deoxycortisol intracellular transport,,11docrtsl[c] <=> 11docrtsl[r] ,,,2016-11-30T10:22:57Z,1,,unknown mechanism NJ,,,1,10,"Transport, endoplasmic reticular",http://vmh.uni.lu/_api/reactions/10/?format=pcsv
