# gapseq version: 1.2 4a12343
# Sequence DB md5sum: 17e92c9 (2023-12-12, Bacteria)
# Genome format: nucl
ID	Name	Prediction	Completeness	VagueReactions	KeyReactions	KeyReactionsFound	ReactionsFound
|12DICHLORETHDEG-PWY|	1,2-dichloroethane degradation	false	0	0	1	0	
|14DICHLORBENZDEG-PWY|	1,4-dichlorobenzene degradation	false	0	0	2	0	
|1CMET2-PWY|	folate transformations III (E. coli)	false	44	0	0	0	DIHYDROFOLATEREDUCT-RXN METHENYLTHFCYCLOHYDRO-RXN METHYLENETHFDEHYDROG-NADP-RXN GLYOHMETRANS-RXN 
|2AMINOBENZDEG-PWY|	anthranilate degradation III (anaerobic)	false	0	0	0	0	
|2ASDEG-PWY|	orthanilate degradation	false	25	1	0	0	
|2PHENDEG-PWY|	phenylethylamine degradation I	false	0	0	1	0	
|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|	4-hydroxyphenylacetate degradation	false	0	0	1	0	
|4-HYDROXYMANDELATE-DEGRADATION-PWY|	4-hydroxymandelate degradation	false	0	0	1	0	
|4TOLCARBDEG-PWY|	4-toluenecarboxylate degradation	false	0	0	0	0	
|6-HYDROXYCINEOLE-DEGRADATION-PWY|	1,8-cineole degradation	false	0	3	0	0	
|ACETOACETATE-DEG-PWY|	acetoacetate degradation (to acetyl CoA)	false	0	0	1	0	
|AEROBACTINSYN-PWY|	aerobactin biosynthesis	false	0	0	0	0	
|ALACAT2-PWY|	L-alanine degradation II (to D-lactate)	false	66	0	0	0	DLACTDEHYDROGNAD-RXN GLUTAMATE-DEHYDROGENASE-RXN 
|ALADEG-PWY|	L-alanine degradation I	false	50	0	1	0	ALARACECAT-RXN 
|ALANINE-SYN2-PWY|	L-alanine biosynthesis II	false	0	0	0	0	
|ALANINE-VALINESYN-PWY|	L-alanine biosynthesis I	false	0	0	0	0	
|ALKANEMONOX-PWY|	two-component alkanesulfonate monooxygenase	false	0	0	1	0	
|AMMASSIM-PWY|	ammonia assimilation cycle III	false	66	0	0	0	GLUTAMINESYN-RXN GLUTAMIN-RXN 
|AMMOXID-PWY|	ammonia oxidation I (aerobic)	false	0	0	0	0	
|ANAGLYCOLYSIS-PWY|	glycolysis III (from glucose)	false	81	0	1	0	6PFRUCTPHOS-RXN F16ALDOLASE-RXN TRIOSEPISOMERIZATION-RXN GAPOXNPHOSPHN-RXN PHOSGLYPHOS-RXN 2PGADEHYDRAT-RXN RXN-15513 PGLUCISOM-RXN 3PGAREARR-RXN 
|ANAPHENOXI-PWY|	L-phenylalanine degradation II (anaerobic)	false	33	0	0	0	RXN-10814 
|ARABCAT-PWY|	L-arabinose degradation I	false	0	0	0	0	
|ARGASEDEG-PWY|	L-arginine degradation I (arginase pathway)	false	0	0	0	0	
|ARGDEG-III-PWY|	L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)	false	0	0	0	0	
|ARGDEG-IV-PWY|	L-arginine degradation VIII (arginine oxidase pathway)	false	0	0	1	0	
|ARGDEG-V-PWY|	L-arginine degradation X (arginine monooxygenase pathway)	false	0	0	1	0	
|ARG-GLU-PWY|	L-arginine degradation VII (arginase 3 pathway)	false	0	0	0	0	
|ARG-PRO-PWY|	L-arginine degradation VI (arginase 2 pathway)	false	33	0	2	1	PYRROLINECARBREDUCT-RXN 
|ARGSPECAT-PWY|	spermine biosynthesis	false	0	0	1	0	
|ARGSYNBSUB-PWY|	L-arginine biosynthesis II (acetyl cycle)	true	88	0	2	2	ARGSUCCINSYN-RXN ARGSUCCINLYA-RXN ORNCARBAMTRANSFER-RXN N-ACETYLGLUTPREDUCT-RXN ACETYLGLUTKIN-RXN GLUTAMATE-N-ACETYLTRANSFERASE-RXN CARBPSYN-RXN N-ACETYLTRANSFER-RXN 
|ASPARAGINE-BIOSYNTHESIS|	L-asparagine biosynthesis I	true	100	0	0	0	ASNSYNB-RXN 
|ASPARAGINE-DEG1-PWY|	L-asparagine degradation I	true	100	0	0	0	ASPARAGHYD-RXN 
|ASPARAGINESYN-PWY|	L-asparagine biosynthesis II	true	100	0	0	0	ASNSYNA-RXN 
|ASPARTATE-DEG1-PWY|	L-aspartate degradation I	true	100	0	0	0	ASPAMINOTRANS-RXN 
|ASPARTATESYN-PWY|	L-aspartate biosynthesis	true	100	0	0	0	ASPAMINOTRANS-RXN 
|AST-PWY|	L-arginine degradation II (AST pathway)	false	0	0	0	0	
|BETSYN-PWY|	glycine betaine biosynthesis I (Gram-negative bacteria)	false	0	0	0	0	
|BGALACT-PWY|	lactose degradation III	false	0	0	0	0	
|BSUBPOLYAMSYN-PWY|	spermidine biosynthesis I	false	0	0	0	0	
|CALVIN-PWY|	Calvin-Benson-Bassham cycle	false	38	0	1	0	PHOSGLYPHOS-RXN 1.2.1.13-RXN TRIOSEPISOMERIZATION-RXN F16ALDOLASE-RXN SEDOBISALDOL-RXN 
|CARNMET-PWY|	L-carnitine degradation I	false	0	0	0	0	
|CATECHOL-ORTHO-CLEAVAGE-PWY|	catechol degradation to &beta;-ketoadipate	false	0	0	1	0	
|CENTBENZCOA-PWY|	benzoyl-CoA degradation II (anaerobic)	false	14	1	1	0	
|CENTFERM-PWY|	pyruvate fermentation to butanoate	false	0	0	0	0	
|CHLOROPHYLL-SYN|	3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	false	0	0	2	0	
|CHOLINE-BETAINE-ANA-PWY|	choline degradation I	false	0	0	0	0	
|CITRULLINE-DEG-PWY|	L-citrulline degradation	false	50	0	1	1	ORNCARBAMTRANSFER-RXN 
|COA-PWY|	coenzyme A biosynthesis I (bacteria)	false	0	0	1	0	
|CODH-PWY|	reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)	false	30	0	2	0	METHENYLTHFCYCLOHYDRO-RXN FORMATETHFLIG-RXN METHYLENETHFDEHYDROG-NADP-RXN 
|CRNFORCAT-PWY|	creatinine degradation I	false	0	0	0	0	
|CYANCAT-PWY|	cyanate degradation	false	0	0	1	0	
|CYCLOHEXANOL-OXIDATION-PWY|	cyclohexanol degradation	false	0	0	1	0	
|CYSTSYN-PWY|	L-cysteine biosynthesis I	true	100	0	0	0	SERINE-O-ACETTRAN-RXN ACSERLY-RXN 
|DAPLYSINESYN-PWY|	L-lysine biosynthesis I	false	66	0	1	0	DIAMINOPIMDECARB-RXN SUCCINYLDIAMINOPIMTRANS-RXN DIHYDRODIPICSYN-RXN ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN ASPARTATEKIN-RXN RXN-14014 
|DARABCATK12-PWY|	D-arabinose degradation II	false	0	0	1	0	
|DARABCAT-PWY|	D-arabinose degradation I	false	0	0	2	0	
|DARABITOLUTIL-PWY|	D-arabinitol degradation I	false	0	0	0	0	
|DENITRIFICATION-PWY|	nitrate reduction I (denitrification)	false	20	1	2	0	
|DESULFONATION-PWY|	benzenesulfonate degradation	false	0	1	0	0	
|DETOX1-PWY|	superoxide radicals degradation	false	0	0	0	0	
|DHGLUCONATE-PYR-CAT-PWY|	glucose degradation (oxidative)	false	0	0	0	0	
|DISSULFRED-PWY|	dissimilatory sulfate reduction I (to hydrogen sufide))	false	0	0	0	0	
|DTDPRHAMSYN-PWY|	dTDP-&beta;-L-rhamnose biosynthesis	false	20	0	0	0	PHOSPHOGLUCMUT-RXN 
|ECASYN-PWY|	enterobacterial common antigen biosynthesis	false	40	1	0	0	GLCNACPTRANS-RXN 
|ENTNER-DOUDOROFF-PWY|	Entner-Doudoroff shunt	false	50	0	0	0	PGLUCONDEHYDRAT-RXN 
|ETOH-ACETYLCOA-ANA-PWY|	ethanol degradation I	false	50	0	1	0	ALCOHOL-DEHYDROG-RXN 
|FAO-PWY|	fatty acid &beta;-oxidation I (generic)	false	0	0	0	0	
|FASYN-ELONG-PWY|	fatty acid elongation -- saturated	false	40	0	0	0	3-OXOACYL-ACP-REDUCT-RXN 3-OXOACYL-ACP-SYNTH-RXN 
|FESULFOX-PWY|	sulfur oxidation II (Fe+3-dependent)	false	0	2	0	0	
|FLUORENE-DEG-9-ONE-PWY|	fluorene degradation I	false	0	5	0	0	
|FORMASS-PWY|	formaldehyde oxidation IV (thiol-independent)	false	0	0	0	0	
|FUCCAT-PWY|	L-fucose degradation I	false	0	0	1	0	
|GALACTARDEG-PWY|	D-galactarate degradation I	false	25	0	0	0	GKI-RXN 
|GALACTCAT-PWY|	D-galactonate degradation	false	33	0	0	0	GALACTONDEHYDRAT-RXN 
|GALACTITOLCAT-PWY|	galactitol degradation	false	25	0	1	0	TAGAKIN-RXN 
|GALACTUROCAT-PWY|	D-galacturonate degradation I	false	0	0	0	0	
|GALDEG-PWY|	D-galactose degradation II	false	0	0	1	0	
|GALLATE-DEGRADATION-II-PWY|	gallate degradation I	false	0	0	1	0	
|GALLATE-DEGRADATION-I-PWY|	gallate degradation II	false	0	0	1	0	
|GAMMAHEXCHLORDEG-PWY|	&gamma;-hexachlorocyclohexane degradation	false	0	0	1	0	
|GDPRHAMSYN-PWY|	GDP-D-rhamnose biosynthesis	false	0	0	1	0	
|GLNSYN-PWY|	L-glutamine biosynthesis I	true	100	0	0	0	GLUTAMINESYN-RXN 
|GLUAMCAT-PWY|	N-acetylglucosamine degradation I	true	100	0	0	0	GLUCOSAMINE-6-P-DEAMIN-RXN NAG6PDEACET-RXN 
|GLUCARDEG-PWY|	D-glucarate degradation I	false	25	0	0	0	GKI-RXN 
|GLUCONEO-PWY|	gluconeogenesis I	false	76	0	0	0	F16ALDOLASE-RXN GAPOXNPHOSPHN-RXN PHOSGLYPHOS-RXN 3PGAREARR-RXN 2PGADEHYDRAT-RXN PEPCARBOXYKIN-RXN MALIC-NADP-RXN TRIOSEPISOMERIZATION-RXN 1.1.1.39-RXN PGLUCISOM-RXN 
|GLUCONSUPER-PWY|	D-gluconate degradation	false	0	0	0	0	
|GLUCOSE1PMETAB-PWY|	glucose and glucose-1-phosphate degradation	false	25	0	0	0	PHOSPHOGLUCMUT-RXN 
|GLUTAMATE-DEG1-PWY|	L-glutamate degradation I	true	100	0	0	0	GLUTAMATE-DEHYDROGENASE-RXN 
|GLUTAMATE-SYN2-PWY|	L-glutamate biosynthesis II	true	100	0	0	0	GLUTAMATE-DEHYDROGENASE-NADP+-RXN 
|GLUTAMINDEG-PWY|	L-glutamine degradation I	true	100	0	0	0	GLUTAMIN-RXN 
|GLUTAMINEFUM-PWY|	L-glutamine degradation II	false	0	0	0	0	
|GLUTATHIONESYN-PWY|	glutathione biosynthesis	false	0	0	0	0	
|GLUTDEG-PWY|	L-glutamate degradation II	false	50	0	0	0	ASPAMINOTRANS-RXN 
|GLUTORN-PWY|	L-ornithine biosynthesis I	false	60	0	1	0	N-ACETYLTRANSFER-RXN ACETYLGLUTKIN-RXN N-ACETYLGLUTPREDUCT-RXN 
|GLUT-REDOX-PWY|	glutathione-glutaredoxin redox reactions	false	0	0	0	0	
|GLUTSYNIII-PWY|	L-glutamate biosynthesis III	true	100	0	0	0	GLUTDEHYD-RXN 
|GLUTSYN-PWY|	L-glutamate biosynthesis I	false	50	0	0	0	GLUTAMIN-RXN 
|GLYCEROLMETAB-PWY|	glycerol degradation V	false	0	0	0	0	
|GLYCLEAV-PWY|	glycine cleavage	false	0	0	1	0	
|GLYCOCAT-PWY|	glycogen degradation I	false	37	0	1	0	AMYLOMALT-RXN RXN0-5183 PHOSPHOGLUCMUT-RXN 
|GLYCOGENSYNTH-PWY|	glycogen biosynthesis I (from ADP-D-Glucose)	true	100	0	1	1	GLYCOGENSYN-RXN GLYCOGEN-BRANCH-RXN GLUC1PADENYLTRANS-RXN PHOSPHOGLUCMUT-RXN 
|GLYCOLATEMET-PWY|	glycolate and glyoxylate degradation I	false	25	0	1	0	GKI-RXN 
|GLYCOLYSIS|	glycolysis I (from glucose 6-phosphate)	false	76	0	0	0	2PGADEHYDRAT-RXN 3PGAREARR-RXN PHOSGLYPHOS-RXN GAPOXNPHOSPHN-RXN TRIOSEPISOMERIZATION-RXN F16ALDOLASE-RXN 6PFRUCTPHOS-RXN PGLUCISOM-RXN RXN-15513 TRANS-RXN-157 
|GLYOXDEG-PWY|	glycolate and glyoxylate degradation II	false	0	0	0	0	
|GLYOXYLATE-BYPASS|	glyoxylate cycle	false	33	0	2	0	ACONITATEHYDR-RXN ACONITATEDEHYDR-RXN 
|GLYSYN-ALA-PWY|	glycine biosynthesis III	true	100	0	0	0	ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN 
