# gapseq version: 1.3.1 cb94bcc
# Sequence DB md5sum: 17e92c9 (2023-12-12, Bacteria)
# Genome format: prot
ID	Name	Prediction	Completeness	VagueReactions	KeyReactions	KeyReactionsFound	ReactionsFound
|12DICHLORETHDEG-PWY|	1,2-dichloroethane degradation	false	25	0	1	0	ALDXANAU-RXN 
|14DICHLORBENZDEG-PWY|	1,4-dichlorobenzene degradation	false	42	0	2	1	CHLOROBENDDH-RXN DIENELACHYDRO-RXN MALEYLACETATE-REDUCTASE-RXN 
|1CMET2-PWY|	folate transformations III (E. coli)	true	100	0	0	0	DIHYDROFOLATEREDUCT-RXN 5-FORMYL-THF-CYCLO-LIGASE-RXN RXN-22438 HOMOCYSMETB12-RXN GCVMULTI-RXN METHENYLTHFCYCLOHYDRO-RXN METHYLENETHFDEHYDROG-NADP-RXN GLYOHMETRANS-RXN THYMIDYLATESYN-RXN 
|2AMINOBENZDEG-PWY|	anthranilate degradation III (anaerobic)	false	0	0	0	0	
|2ASDEG-PWY|	orthanilate degradation	false	25	1	0	0	
|2PHENDEG-PWY|	phenylethylamine degradation I	true	100	0	1	1	PHENDEHYD-RXN RXN-10817 
|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|	4-hydroxyphenylacetate degradation	false	42	0	1	0	CHMS-DEHYDROGENASE-RXN 4-HYDROXY-2-KETOPIMELATE-LYSIS-RXN SUCCSEMIALDDEHYDROG-RXN 
|4-HYDROXYMANDELATE-DEGRADATION-PWY|	4-hydroxymandelate degradation	false	50	0	1	1	4-HYDROXYMANDELATE-OXY-RXN HYDROXYBENZALDEHYDE-OXIDATION-NAD-RXN HYDROXYBENZALDEHYDE-OXIDATION-NADP-RXN 
|4TOLCARBDEG-PWY|	4-toluenecarboxylate degradation	false	33	0	0	0	CYDTER-RXN 
|6-HYDROXYCINEOLE-DEGRADATION-PWY|	1,8-cineole degradation	false	0	3	0	0	
|ACETOACETATE-DEG-PWY|	acetoacetate degradation (to acetyl CoA)	true	100	0	1	1	ACETYL-COA-ACETYLTRANSFER-RXN ACETOACETYL-COA-TRANSFER-RXN 
|AEROBACTINSYN-PWY|	aerobactin biosynthesis	false	0	0	0	0	
|ALACAT2-PWY|	L-alanine degradation II (to D-lactate)	true	100	0	0	0	ALANINE-AMINOTRANSFERASE-RXN DLACTDEHYDROGNAD-RXN GLUTAMATE-DEHYDROGENASE-RXN 
|ALADEG-PWY|	L-alanine degradation I	true	100	0	1	1	ALARACECAT-RXN DALADEHYDROG-RXN 
|ALANINE-SYN2-PWY|	L-alanine biosynthesis II	true	100	0	0	0	ALANINE-AMINOTRANSFERASE-RXN 
|ALANINE-VALINESYN-PWY|	L-alanine biosynthesis I	true	100	0	0	0	BRANCHED-CHAINAMINOTRANSFERVAL-RXN VALINE-PYRUVATE-AMINOTRANSFER-RXN 
|ALKANEMONOX-PWY|	two-component alkanesulfonate monooxygenase	true	100	0	1	1	RXN-12444 RXN0-280 
|AMMASSIM-PWY|	ammonia assimilation cycle III	true	100	0	0	0	RXN-20084 GLUTAMINESYN-RXN GLUTAMIN-RXN 
|AMMOXID-PWY|	ammonia oxidation I (aerobic)	false	0	0	0	0	
|ANAGLYCOLYSIS-PWY|	glycolysis III (from glucose)	true	100	0	1	1	6PFRUCTPHOS-RXN F16ALDOLASE-RXN TRIOSEPISOMERIZATION-RXN GAPOXNPHOSPHN-RXN PHOSGLYPHOS-RXN 2PGADEHYDRAT-RXN PEPDEPHOS-RXN RXN-15513 PGLUCISOM-RXN GLUCOKIN-RXN 3PGAREARR-RXN 
|ANAPHENOXI-PWY|	L-phenylalanine degradation II (anaerobic)	false	66	0	0	0	PHENDEHYD-RXN RXN-10814 
|ARABCAT-PWY|	L-arabinose degradation I	true	100	0	0	0	ARABISOM-RXN RIBULPEPIM-RXN RXN0-5116 
|ARGASEDEG-PWY|	L-arginine degradation I (arginase pathway)	false	66	0	0	0	ORNITHINE-GLU-AMINOTRANSFERASE-RXN RXN-14116 
|ARGDEG-III-PWY|	L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)	false	66	0	0	0	ARGDECARBOX-RXN N-CARBAMOYLPUTRESCINE-AMIDASE-RXN 
|ARGDEG-IV-PWY|	L-arginine degradation VIII (arginine oxidase pathway)	false	50	0	1	0	1.2.1.54-RXN 4.1.1.75-RXN 
|ARGDEG-V-PWY|	L-arginine degradation X (arginine monooxygenase pathway)	false	33	0	1	1	ARGININE-2-MONOOXYGENASE-RXN 
|ARG-GLU-PWY|	L-arginine degradation VII (arginase 3 pathway)	false	0	0	0	0	
|ARG-PRO-PWY|	L-arginine degradation VI (arginase 2 pathway)	false	66	0	2	1	PYRROLINECARBREDUCT-RXN ORNITHINE-GLU-AMINOTRANSFERASE-RXN 
|ARGSPECAT-PWY|	spermine biosynthesis	true	100	0	1	1	SPERMINE-SYNTHASE-RXN SAMDECARB-RXN 
|ARGSYNBSUB-PWY|	L-arginine biosynthesis II (acetyl cycle)	false	88	0	2	1	ARGSUCCINSYN-RXN ARGSUCCINLYA-RXN ORNCARBAMTRANSFER-RXN ACETYLORNTRANSAM-RXN N-ACETYLGLUTPREDUCT-RXN ACETYLGLUTKIN-RXN CARBPSYN-RXN N-ACETYLTRANSFER-RXN 
|ASPARAGINE-BIOSYNTHESIS|	L-asparagine biosynthesis I	true	100	0	0	0	ASNSYNB-RXN 
|ASPARAGINE-DEG1-PWY|	L-asparagine degradation I	true	100	0	0	0	ASPARAGHYD-RXN 
|ASPARAGINESYN-PWY|	L-asparagine biosynthesis II	true	100	0	0	0	ASNSYNA-RXN 
|ASPARTATE-DEG1-PWY|	L-aspartate degradation I	true	100	0	0	0	ASPAMINOTRANS-RXN 
|ASPARTATESYN-PWY|	L-aspartate biosynthesis	true	100	0	0	0	ASPAMINOTRANS-RXN 
|AST-PWY|	L-arginine degradation II (AST pathway)	true	100	0	0	0	ARGININE-N-SUCCINYLTRANSFERASE-RXN SUCCARGDIHYDRO-RXN SUCCORNTRANSAM-RXN SUCCGLUALDDEHYD-RXN SUCCGLUDESUCC-RXN 
|BETSYN-PWY|	glycine betaine biosynthesis I (Gram-negative bacteria)	true	100	0	0	0	CHD-RXN BADH-RXN 
|BGALACT-PWY|	lactose degradation III	true	100	0	0	0	BETAGALACTOSID-RXN 
|BSUBPOLYAMSYN-PWY|	spermidine biosynthesis I	true	100	0	0	0	SPERMIDINESYN-RXN SAMDECARB-RXN 
