compounds,name,maxFlux
cpd00001,H2O,100
cpd00971,Sodium,10
cpd00205,K+,10
cpd00099,Cl-,10
cpd10515,Fe2+,10
cpd10516,Fe3+,0.1
cpd00009,Phosphate,10
cpd00149,Cobalt,10
cpd00254,Mg,10
cpd00244,Nickel,1
cpd00048,Sulfate,10
cpd00239,H2S,1
cpd00034,Zn2+,10
cpd00058,Cu2+,10
cpd00030,Mn2+,10
cpd00063,Ca2+,10
cpd00013,Ammonium,10
cpd00007,O2,12.5
cpd00027,D-Glucose,5
cpd00082,D-Fructose,5
cpd00208,Lactose,2.5
cpd00179,Maltose,2.5
cpd00382,Melitose,1.67
cpd00076,Sucrose,2.5
cpd00232,Neu5Ac,5
cpd00122,N-Acetyl-D-glucosamine,5
cpd00794,Trehalose,2.5
cpd00154,Xylose,5
cpd00751,L-Fucose,5
cpd00396,L-Rhamnose,5
cpd00051,L-Arginine,0.1
cpd22614,sulfoquinovose,10
cpd00067,H+,14.9
