# gapseq version: 1.5.0 d9387beb
# Sequence DB md5sum: 954ab58 (2024-11-06, Bacteria)
# genome_format=prot;taxonomy=Bacteria;ORF_coverage=23.07;gram=neg
ID	Name	Prediction	Completeness	Status	NrReaction	NrSpontaneous	NrVague	NrKeyReaction	NrReactionFound	NrKeyReactionFound	ReactionsFound	SpontaneousReactions	KeyReactions
2FLHYD	2-fucosyllactose degradation	FALSE	0		2	0	0	1	0	0			ALPHA-FUCOSIDASE
AC-BUT-COATRANS	acetyl-CoA fermentation to butanoate clostridia	FALSE	0		1	0	0	0	0	0			
AGMA-PROD	Agmatine extracellular biosynthesis	FALSE	0		1	0	0	0	0	0			
AGMA-TRANSP	Agmatine Transport	FALSE	0		1	0	0	0	0	0			
ARGSYN-SUCC-PWY	L-arginine biosynthesis via citrulline and succinylated intermediates	FALSE	80		7	0	2	1	4	0	ARGSUCCINLYA-RXN ARGSUCCINSYN-RXN CARBPSYN-RXN SUCCORNTRANSAM-RXN		RXN-9778
BACTERIOFERRITIN-PWY	ferroxidase	TRUE	100	full	1	0	0	0	1	0	RXN0-1483		
BAI-PWY	Bile acid 7alpha-dehydroxylation	FALSE	12.5		8	0	0	2	1	1	RXN-Bai3		RXN-Bai3 RXN-Bai6
BIFIDOSHUNT2	Bifidobacterium shunt II	FALSE	93.3333333333333		15	0	0	2	14	1	1TRANSKETO-RXN 2PGADEHYDRAT-RXN ACETATEKIN-RXN GAPOXNPHOSPHN-RXN GLUCOKIN-RXN L-LACTATE-DEHYDROGENASE-RXN PEPDEPHOS-RXN PGLUCISOM-RXN PHOSGLYPHOS-RXN PHOSPHOKETOLASE-RXN RIB5PISOM-RXN RIBULP3EPIM-RXN RXN-15513 TRANSALDOL-RXN		FRUCTOSE-6-PHOSPHATE-PHOSPHOKETOLASE-RXN PHOSPHOKETOLASE-RXN
CARBOX-HYDROX-BUT-CYC	Dicarboxylate-hydroxybutyrate cycle	FALSE	57.1428571428571		14	0	0	1	8	0	ACETYL-COA-ACETYLTRANSFER-RXN FUMHYDR-RXN MALATE-DEH-RXN RXN-1166 RXN-11667 RXN-9092 SUCCCOASYN-RXN SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN		RXN-8890
EXC-STARCH-N27	Extracellular starch(27n) degradation	FALSE	20		5	0	0	0	1	0	ABC-malt-transporter		
