# gapseq version: 2.1.0 0779b300
# Sequence DB version: 1.5 (Bacteria, 2026-05-29)
# genome_format=prot;taxonomy=Bacteria;ORF_coverage=30.61;gram=neg
pathway	rxn	name	ec	keyrea	is_complex	subunit_count	subunits	complex	file	dbhit	spont	type	src	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	exception	status	subunits_found	subunit_undefined_found	complex.status	pathway.status
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_P37685	100	0	1033	100	NP_418045.4 aldehyde dehydrogenase B [Escherichia coli str. K-12 substr. MG1655]	1	512	0	good_blast				
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_Q8GAK7	43.2	1.04e-119	355	98.5	NP_416042.2 succinate semialdehyde dehydrogenase (NAD(P)(+)) Sad [Escherichia coli str. K-12 substr. MG1655]	12	458	0	good_blast				
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_P37685	39.8	2.32e-106	323	94.7	NP_415816.1 gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase [Escherichia coli str. K-12 substr. MG1655]	14	492	0	good_blast				
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_P37685	37.8	1.54e-102	313	94.5	NP_414846.1 betaine aldehyde dehydrogenase [Escherichia coli str. K-12 substr. MG1655]	1	481	0	good_blast				
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_P37685	35.6	3.19e-97	299	93	NP_415961.1 gamma-aminobutyraldehyde dehydrogenase [Escherichia coli str. K-12 substr. MG1655]	7	474	0	good_blast				
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_P37685	35.4	1.37e-88	278	89.5	NP_415903.4 phenylacetaldehyde dehydrogenase [Escherichia coli str. K-12 substr. MG1655]	42	499	0	good_blast				
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_P37685	33.5	8.49e-81	257	93.6	NP_417147.1 succinate-semialdehyde dehydrogenase (NADP(+)) GabD [Escherichia coli str. K-12 substr. MG1655]	10	480	0	good_blast				
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_P37685	32.9	3.06e-80	255	93.8	NP_415933.1 aldehyde dehydrogenase A [Escherichia coli str. K-12 substr. MG1655]	1	473	0	good_blast				
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_P37685	28.7	5.71e-38	145	83.6	NP_415534.1 fused DNA-binding transcriptional repressor/proline dehydrogenase/1-pyrroline-5-carboxylate dehydrogenase PutA [Escherichia coli str. K-12 substr. MG1655]	676	1097	0	bad_blast				
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_P37685	28.6	1.82e-38	144	89.3	NP_416260.1 aldehyde dehydrogenase [Escherichia coli str. K-12 substr. MG1655]	4	452	0	bad_blast				
