# gapseq version: 2.1.0 0779b300
# Sequence DB version: 1.5 (Bacteria, 2026-05-29)
# genome_format=prot;taxonomy=Bacteria;ORF_coverage=21.49;gram=neg
pathway	rxn	name	ec	keyrea	is_complex	subunit_count	subunits	complex	file	dbhit	spont	type	src	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	exception	status	subunits_found	subunit_undefined_found	complex.status	pathway.status
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_P37685	70.6	5.19e-263	723	95.5	MYb71_1_209 # 229640 # 231157 # 1 # ID=1_209;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.581	17	505	0	good_blast				
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_P37685	42.9	1.54e-105	330	90	MYb71_2_1903 # 2014050 # 2016446 # 1 # ID=2_1903;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.584	34	475	0	good_blast				
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_P37685	39.2	3.08e-103	315	94.5	MYb71_1_601 # 645265 # 646728 # -1 # ID=1_601;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.592	1	478	0	good_blast				
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_P37685	37.8	1.29e-96	299	93	MYb71_1_2579 # 2653872 # 2655386 # -1 # ID=1_2579;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.605	18	488	0	good_blast				
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_P37685	36.8	2.29e-89	280	94.9	MYb71_2_260 # 260938 # 262482 # 1 # ID=2_260;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.550	29	508	0	good_blast				
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_P37685	35	1.86e-85	269	93.8	MYb71_2_1016 # 1039462 # 1040907 # -1 # ID=2_1016;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.542	6	479	0	good_blast				
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_P37685	35.3	2.16e-82	261	90.2	MYb71_1_2136 # 2194209 # 2195681 # -1 # ID=1_2136;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.609	14	470	0	good_blast				
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_P37685	33.9	1.27e-78	251	92.8	MYb71_2_2113 # 2258078 # 2259532 # 1 # ID=2_2113;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.535	15	482	0	good_blast				
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_P37685	34	9.46e-78	249	93	MYb71_1_2166 # 2234857 # 2236308 # 1 # ID=1_2166;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.577	16	481	0	good_blast				
12DICHLORETHDEG-PWY	ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4	FALSE	FALSE		NA		rev/1.2.1.4.fasta	rxn00507 rxn03455 rxn03598 rxn05880 rxn14071 rxn19116	FALSE	EC	rev	UniRef90_P37685	34.2	2.93e-76	246	92.8	MYb71_2_1409 # 1451607 # 1453103 # -1 # ID=2_1409;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.570	28	494	0	good_blast				
