"id"	"name"	"tc"	"exid"	"exname"	"fullname"
"gnl|TC-DB|A0PJK1|2.A.21.3.15"	"Sodium/glucose cotransporter 5"	"2.A.21.3.15"	"EX_glc(e)"	"glucose"	"gnl|TC-DB|A0PJK1|2.A.21.3.15 Sodium/glucose cotransporter 5 OS=Homo sapiens GN=SLC5A10 PE=1 SV=2"
"gnl|TC-DB|A1RWM1|1.A.16.2.5"	"Formate/nitrite transporter"	"1.A.16.2.5"	"EX_for(e)"	"formate"	"gnl|TC-DB|A1RWM1|1.A.16.2.5 Formate/nitrite transporter OS=Thermofilum pendens (strain Hrk 5) GN=Tpen_0191 PE=4 SV=1"
"gnl|TC-DB|A1RZ67|4.A.6.1.24"	"PTS system fructose subfamily IIA component"	"4.A.6.1.24"	"EX_fru(e)"	"fructose"	"gnl|TC-DB|A1RZ67|4.A.6.1.24 PTS system fructose subfamily IIA component OS=Thermofilum pendens (strain Hrk 5) GN=Tpen_1098 PE=4 SV=1"
"gnl|TC-DB|A1RZ69|4.A.6.1.24"	"PTS system mannose/fructose/sorbose family IID component"	"4.A.6.1.24"	"EX_fru(e);EX_man(e)"	"fructose;mannose"	"gnl|TC-DB|A1RZ69|4.A.6.1.24 PTS system mannose/fructose/sorbose family IID component OS=Thermofilum pendens (strain Hrk 5) GN=Tpen_1100 PE=4 SV=1"
"gnl|TC-DB|A1S297|2.A.1.7.11"	"Glucose/galactose transporter"	"2.A.1.7.11"	"EX_gal(e);EX_glc(e)"	"galactose;glucose"	"gnl|TC-DB|A1S297|2.A.1.7.11 Glucose/galactose transporter OS=Shewanella amazonensis (strain ATCC BAA-1098 / SB2B) GN=Sama_0292 PE=4 SV=1"
"gnl|TC-DB|A1S5F4|2.A.1.7.10"	"Glucose/galactose transporter"	"2.A.1.7.10"	"EX_gal(e);EX_glc(e)"	"galactose;glucose"	"gnl|TC-DB|A1S5F4|2.A.1.7.10 Glucose/galactose transporter OS=Shewanella amazonensis (strain ATCC BAA-1098 / SB2B) GN=Sama_1403 PE=4 SV=1"
"gnl|TC-DB|A1T0X2|1.B.15.1.5"	"Raffinose porin"	"1.B.15.1.5"	"EX_raffin(e)"	"raffinose"	"gnl|TC-DB|A1T0X2|1.B.15.1.5 Raffinose porin OS=Psychromonas ingrahamii (strain 37) GN=Ping_3712 PE=4 SV=1"
"gnl|TC-DB|A1VIS2|1.B.15.1.3"	"Raffinose porin"	"1.B.15.1.3"	"EX_raffin(e)"	"raffinose"	"gnl|TC-DB|A1VIS2|1.B.15.1.3 Raffinose porin OS=Polaromonas naphthalenivorans (strain CJ2) PE=4 SV=1"
"gnl|TC-DB|A1Z8N1|2.A.1.1.99"	"Facilitated trehalose transporter Tret1-1"	"2.A.1.1.99"	"EX_tre(e)"	"trehalose"	"gnl|TC-DB|A1Z8N1|2.A.1.1.99 Facilitated trehalose transporter Tret1-1 OS=Drosophila melanogaster GN=Tret1-1 PE=1 SV=1"
"gnl|TC-DB|A3M0N3|2.A.1.1.68"	"Glucose transporter/sensor"	"2.A.1.1.68"	"EX_glc(e)"	"glucose"	"gnl|TC-DB|A3M0N3|2.A.1.1.68 Glucose transporter/sensor OS=Pichia stipitis GN=RGT2 PE=4 SV=1"
