id	name	gram	desc
GCA_000191145.1_ASM19114v1_genomic.fna.gz	Acinetobacter pittii PHEA-2	neg	Genomic analysis of Acinetobacter calcoaceticus PHEA-2 was undertaken because of the importance of this bacterium for bioremediation of phenol-polluted water and the close phylogenetic relationship of this species with the human pathogen Acinetobacter baumannii. To the best of our knowledgethis is the first available genomic sequence of A. calcoaceticus.
GCA_000014805.1_ASM1480v1_genomic.fna.gz	Aeromonas hydrophila subsp. hydrophila ATCC 7966	neg	Aeromonas hydrophila subsp. hydrophila is an aquatic organism that can cause foodborne illnesses in humans.
GCA_000092025.1_ASM9202v1_genomic.fna.gz	Agrobacterium fabrum str. C58	neg	Agrobacterium fabrum is an important plant pathogen capable of transferring a defined segment of DNA to a host plantgenerating a gall tumor. Agrobacterium fabrum C58 is widely used in genetic transformation of plants.
GCA_000196835.1_ASM19683v1_genomic.fna.gz	Amycolatopsis mediterranei U32	neg	This is the first genomic sequence of Amycolatopsis mediterranei. Amycolatopsis mediterranei U32 is widely used in idustrial production of the antibiotic rifamycin.
GCA_000008625.1_ASM862v1_genomic.fna.gz	Aquifex aeolicus VF5	neg	As one of the earliest divergingand one of the most thermophilic bacteriaAquifex aeolicus is an evolutionarily and physiologically interesting bacterial species.
GCA_000007845.1_ASM784v1_genomic.fna.gz	Bacillus anthracis str. Ames	pos	This is the first genomic sequence of Bacillus anthracisa pathogenic bacterium causing lethal inhalational anthrax. B. anthracis str. Ames is a well studied laboratory strain (Porton isolate). It is not virulent due to the loss of the two plasmidspXO1 and pXO2.
GCA_000008165.1_ASM816v1_genomic.fna.gz	Bacillus anthracis str. Sterne	pos	Bacillus anthracis is a pathogenic bacterium causing lethal inhalational anthrax. B. anthracis str. Sterne is often used for vaccine development.
GCA_000007825.1_ASM782v1_genomic.fna.gz	Bacillus cereus ATCC 14579	pos	Bacillus cereus is an opportunistic pathogen closely related to the pathogenic bacterium Bacillus anthracis. B. cereus ATCC 14579 is the type strain of B. cereus and was widely used in biological studies.
GCA_000009045.1_ASM904v1_genomic.fna.gz	Bacillus subtilis subsp. subtilis str. 168	pos	Bacillus subtilis is a ubiquitoussaprophyticsoil bacterium. Bacillus subtilis subsp. subtilis str. 168 has been widely used in biological studies
GCA_000008505.1_ASM850v1_genomic.fna.gz	[Bacillus thuringiensis] serovar konkukian str. 97-27	pos	Bacillus thuringiensis is a Gram-positivespore-forming bacteriumwhich is closely related to Bacillus anthracis and Bacillus cereus. B. thuringiensis is a soil-dwelling bacterium and commonly used as a biological pesticide. HoweverB. thuringiensis str. 97-27 was originally isolated from a case of severe human tissue necrosis.
