# gapseq version: 2.1.0 0779b300
# Transporter sequence DB md5sum: b99a77e (2024-08-26)
# genome_format=prot
id	tc	sub	sub_gapseq	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P73797|1.A.10.2.1	1.A.10.2.1	Potassium	K+	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P73797|1.A.10.2.1	27.3	3.51e-26	105	81.9	MYb71_2_76 # 79592 # 80692 # 1 # ID=2_76;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.502	31	346	transporter
gnl|TC-DB|B5FDH7|1.A.10.2.4	1.A.10.2.4	Potassium	K+	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|B5FDH7|1.A.10.2.4	23	1.06e-18	83.6	96.4	MYb71_1_824 # 859514 # 860617 # -1 # ID=1_824;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.524	15	363	transporter
gnl|TC-DB|B5FDH7|1.A.10.2.4	1.A.10.2.4	Potassium	K+	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|B5FDH7|1.A.10.2.4	24.4	8.67e-18	80.9	92.1	MYb71_2_76 # 79592 # 80692 # 1 # ID=2_76;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.502	31	365	transporter
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	38.2	7.17e-141	426	95.7	MYb71_2_622 # 618422 # 620512 # 1 # ID=2_622;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.582	26	695	transporter
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	35	2.96e-106	336	95.5	MYb71_3_217 # 194525 # 196690 # 1 # ID=3_217;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=3-4bp;gc_cont=0.597	28	692	transporter
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	34.7	6.03e-93	301	96.2	MYb71_2_728 # 731982 # 734114 # -1 # ID=2_728;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.543	22	686	transporter
gnl|TC-DB|P69681|1.A.11.1.1	1.A.11.1.1	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|P69681|1.A.11.1.1	48.6	4.99e-123	361	96.5	MYb71_1_2471 # 2555622 # 2556923 # -1 # ID=1_2471;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.594	11	430	transporter
gnl|TC-DB|P54146|1.A.11.1.2	1.A.11.1.2	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|P54146|1.A.11.1.2	38.9	1.3e-74	238	89.6	MYb71_1_2471 # 2555622 # 2556923 # -1 # ID=1_2471;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.594	37	431	transporter
gnl|TC-DB|Q79VF1|1.A.11.1.3	1.A.11.1.3	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|Q79VF1|1.A.11.1.3	40	5.01e-81	254	95.7	MYb71_1_2471 # 2555622 # 2556923 # -1 # ID=1_2471;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.594	39	431	transporter
gnl|TC-DB|O67997|1.A.11.1.4	1.A.11.1.4	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|O67997|1.A.11.1.4	64.7	1.65e-184	518	97.5	MYb71_1_2471 # 2555622 # 2556923 # -1 # ID=1_2471;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.594	15	432	transporter
gnl|TC-DB|O66515|1.A.11.1.5	1.A.11.1.5	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|O66515|1.A.11.1.5	53.3	1.32e-137	398	94.3	MYb71_1_2471 # 2555622 # 2556923 # -1 # ID=1_2471;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.594	32	430	transporter
gnl|TC-DB|P54144|1.A.11.2.1	1.A.11.2.1	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|P54144|1.A.11.2.1	28.7	3.95e-39	144	79.4	MYb71_1_2471 # 2555622 # 2556923 # -1 # ID=1_2471;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.594	66	429	transporter
gnl|TC-DB|Q9M6N7|1.A.11.2.2	1.A.11.2.2	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|Q9M6N7|1.A.11.2.2	36.3	1.25e-74	238	87.8	MYb71_1_2471 # 2555622 # 2556923 # -1 # ID=1_2471;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.594	37	430	transporter
gnl|TC-DB|Q93IP6|1.A.11.2.3	1.A.11.2.3	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|Q93IP6|1.A.11.2.3	30.4	1.62e-49	172	84.3	MYb71_1_2471 # 2555622 # 2556923 # -1 # ID=1_2471;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.594	12	415	transporter
gnl|TC-DB|P58905|1.A.11.2.4	1.A.11.2.4	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|P58905|1.A.11.2.4	30.6	4.17e-38	141	75	MYb71_1_2471 # 2555622 # 2556923 # -1 # ID=1_2471;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.594	99	429	transporter
gnl|TC-DB|P40260|1.A.11.3.1	1.A.11.3.1	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|P40260|1.A.11.3.1	36.1	1.65e-72	233	82.3	MYb71_1_2471 # 2555622 # 2556923 # -1 # ID=1_2471;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.594	34	424	transporter
gnl|TC-DB|P41948|1.A.11.3.2	1.A.11.3.2	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|P41948|1.A.11.3.2	38.3	4.46e-79	251	83.2	MYb71_1_2471 # 2555622 # 2556923 # -1 # ID=1_2471;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.594	37	430	transporter
gnl|TC-DB|Q8NKD5|1.A.11.3.3	1.A.11.3.3	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|Q8NKD5|1.A.11.3.3	41.6	1.97e-95	292	88.9	MYb71_1_2471 # 2555622 # 2556923 # -1 # ID=1_2471;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.594	23	430	transporter
gnl|TC-DB|Q96UY0|1.A.11.3.4	1.A.11.3.4	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|Q96UY0|1.A.11.3.4	41.3	8.04e-93	285	88.1	MYb71_1_2471 # 2555622 # 2556923 # -1 # ID=1_2471;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.594	31	430	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	34.2	2.68e-22	89.7	75.1	MYb71_1_507 # 547436 # 548173 # 1 # ID=1_507;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.588	9	203	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	33.5	1.37e-21	88.6	79.7	MYb71_1_2424 # 2509802 # 2510656 # -1 # ID=1_2424;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.588	15	204	transporter
