# gapseq version: 1.5.0 2477543b
# Transporter sequence DB md5sum: b99a77e (2024-11-09)
# genome_format=prot
id	tc	sub	sub_gapseq	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|AET84893|1.A.1.12.5	1.A.1.12.5	Potassium	K+	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|AET84893|1.A.1.12.5	31.4	3.39e-05	37.4	82.6	NP_415766.1 K(+) channel Kch [Escherichia coli str. K-12 substr. MG1655]	142	226	transporter
gnl|TC-DB|P31069|1.A.1.13.1	1.A.1.13.1	Potassium	K+	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P31069|1.A.1.13.1	100	2.33e-290	784	100	NP_415766.1 K(+) channel Kch [Escherichia coli str. K-12 substr. MG1655]	1	417	transporter
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	100	0	1297	100	NP_416393.1 flagellar biosynthesis protein FlhA [Escherichia coli str. K-12 substr. MG1655]	1	692	transporter
gnl|TC-DB|P69681|1.A.11.1.1	1.A.11.1.1	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|P69681|1.A.11.1.1	100	1.38e-299	808	100	NP_414985.1 ammonium transporter [Escherichia coli str. K-12 substr. MG1655]	1	428	transporter
gnl|TC-DB|P54146|1.A.11.1.2	1.A.11.1.2	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|P54146|1.A.11.1.2	33.6	8.74e-62	204	90	NP_414985.1 ammonium transporter [Escherichia coli str. K-12 substr. MG1655]	28	427	transporter
gnl|TC-DB|Q79VF1|1.A.11.1.3	1.A.11.1.3	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|Q79VF1|1.A.11.1.3	37.3	2.9e-72	231	98.2	NP_414985.1 ammonium transporter [Escherichia coli str. K-12 substr. MG1655]	21	426	transporter
gnl|TC-DB|O67997|1.A.11.1.4	1.A.11.1.4	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|O67997|1.A.11.1.4	50	4.9e-123	361	92.5	NP_414985.1 ammonium transporter [Escherichia coli str. K-12 substr. MG1655]	22	426	transporter
gnl|TC-DB|O66515|1.A.11.1.5	1.A.11.1.5	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|O66515|1.A.11.1.5	43.4	8.6e-109	324	97.4	NP_414985.1 ammonium transporter [Escherichia coli str. K-12 substr. MG1655]	13	427	transporter
gnl|TC-DB|P54144|1.A.11.2.1	1.A.11.2.1	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|P54144|1.A.11.2.1	30.1	2.05e-38	142	80.2	NP_414985.1 ammonium transporter [Escherichia coli str. K-12 substr. MG1655]	56	426	transporter
gnl|TC-DB|Q9M6N7|1.A.11.2.2	1.A.11.2.2	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|Q9M6N7|1.A.11.2.2	33.7	4.06e-62	205	89.1	NP_414985.1 ammonium transporter [Escherichia coli str. K-12 substr. MG1655]	24	426	transporter
gnl|TC-DB|Q93IP6|1.A.11.2.3	1.A.11.2.3	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|Q93IP6|1.A.11.2.3	31	8.65e-47	165	83.7	NP_414985.1 ammonium transporter [Escherichia coli str. K-12 substr. MG1655]	4	407	transporter
gnl|TC-DB|P58905|1.A.11.2.4	1.A.11.2.4	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|P58905|1.A.11.2.4	28.5	3.5e-35	133	81.1	NP_414985.1 ammonium transporter [Escherichia coli str. K-12 substr. MG1655]	61	426	transporter
gnl|TC-DB|P40260|1.A.11.3.1	1.A.11.3.1	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|P40260|1.A.11.3.1	33.7	8.19e-63	207	82.3	NP_414985.1 ammonium transporter [Escherichia coli str. K-12 substr. MG1655]	33	426	transporter
gnl|TC-DB|P41948|1.A.11.3.2	1.A.11.3.2	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|P41948|1.A.11.3.2	34.6	3.17e-65	214	83.6	NP_414985.1 ammonium transporter [Escherichia coli str. K-12 substr. MG1655]	28	426	transporter
gnl|TC-DB|Q8NKD5|1.A.11.3.3	1.A.11.3.3	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|Q8NKD5|1.A.11.3.3	39.6	1.57e-80	253	87	NP_414985.1 ammonium transporter [Escherichia coli str. K-12 substr. MG1655]	24	426	transporter
gnl|TC-DB|Q96UY0|1.A.11.3.4	1.A.11.3.4	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|Q96UY0|1.A.11.3.4	39.2	1.33e-72	233	87.9	NP_414985.1 ammonium transporter [Escherichia coli str. K-12 substr. MG1655]	26	427	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	31.2	1.13e-21	87.8	77	NP_415611.1 3-oxoacyl-[acyl-carrier-protein] reductase FabG [Escherichia coli str. K-12 substr. MG1655]	1	200	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	29.9	3.09e-17	75.9	80.5	NP_416641.1 putative oxidoreductase YohF [Escherichia coli str. K-12 substr. MG1655]	3	212	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	Chloride	Cl-	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	25.5	9.37e-11	56.2	83.6	NP_417696.1 stringent starvation protein A [Escherichia coli str. K-12 substr. MG1655]	21	202	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	Chloride	Cl-	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	100	1.19e-155	426	100	NP_417696.1 stringent starvation protein A [Escherichia coli str. K-12 substr. MG1655]	1	212	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	Chloride	Cl-	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	28.2	8.55e-06	42	79.7	NP_416804.1 glutathione S-transferase YfcF [Escherichia coli str. K-12 substr. MG1655]	24	201	transporter
gnl|TC-DB|P76481|1.A.13.2.3	1.A.13.2.3	Chloride	Cl-	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P76481|1.A.13.2.3	100	0	1049	100	NP_416773.1 IPR002035/DUF3520 domain-containing protein YfbK [Escherichia coli str. K-12 substr. MG1655]	1	575	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	Chloride	Cl-	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P77338|1.A.23.1.1	100	0	2073	100	NP_414998.1 potassium dependent, small conductance mechanosensitive channel [Escherichia coli str. K-12 substr. MG1655]	1	1120	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	Potassium	K+	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P77338|1.A.23.1.1	100	0	2073	100	NP_414998.1 potassium dependent, small conductance mechanosensitive channel [Escherichia coli str. K-12 substr. MG1655]	1	1120	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	Chloride	Cl-	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P77338|1.A.23.1.1	29	1.16e-93	321	83.9	NP_418583.1 miniconductance mechanosensitive channel MscM [Escherichia coli str. K-12 substr. MG1655]	101	1052	transporter
gnl|TC-DB|P77338|1.A.23.1.1	1.A.23.1.1	Potassium	K+	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P77338|1.A.23.1.1	29	1.16e-93	321	83.9	NP_418583.1 miniconductance mechanosensitive channel MscM [Escherichia coli str. K-12 substr. MG1655]	101	1052	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	Chloride	Cl-	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P75783|1.A.23.3.2	100	0	1411	100	NP_415329.4 moderate conductance mechanosensitive channel YbiO [Escherichia coli str. K-12 substr. MG1655]	1	741	transporter
gnl|TC-DB|P75783|1.A.23.3.2	1.A.23.3.2	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P75783|1.A.23.3.2	100	0	1411	100	NP_415329.4 moderate conductance mechanosensitive channel YbiO [Escherichia coli str. K-12 substr. MG1655]	1	741	transporter
gnl|TC-DB|P0AEB5|1.A.23.4.3	1.A.23.4.3	Potassium	K+	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0AEB5|1.A.23.4.3	100	1.29e-245	665	100	NP_415846.1 small conductance mechanosensitive channel YnaI [Escherichia coli str. K-12 substr. MG1655]	1	343	transporter
gnl|TC-DB|P55892|1.A.30.1.7	1.A.30.1.7	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P55892|1.A.30.1.7	90.6	1.83e-198	543	100	NP_416403.1 motility protein B [Escherichia coli str. K-12 substr. MG1655]	1	308	transporter
gnl|TC-DB|P55891|1.A.30.1.7	1.A.30.1.7	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P55891|1.A.30.1.7	93.6	1.1e-190	522	100	NP_416404.1 motility protein A [Escherichia coli str. K-12 substr. MG1655]	1	295	transporter
gnl|TC-DB|P0ABU7|1.A.30.2.1	1.A.30.2.1	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU7|1.A.30.2.1	100	6.94e-164	450	100	NP_417479.1 Ton complex subunit ExbB [Escherichia coli str. K-12 substr. MG1655]	1	244	transporter
gnl|TC-DB|P0ABV2|1.A.30.2.1	1.A.30.2.1	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABV2|1.A.30.2.1	100	1.09e-96	271	100	NP_417478.1 Ton complex subunit ExbD [Escherichia coli str. K-12 substr. MG1655]	1	141	transporter
gnl|TC-DB|P0ABU7|1.A.30.2.1	1.A.30.2.1	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU7|1.A.30.2.1	34.6	5.93e-23	90.5	77.5	NP_415265.1 Tol-Pal system protein TolQ [Escherichia coli str. K-12 substr. MG1655]	2	193	transporter
gnl|TC-DB|P0ABV2|1.A.30.2.1	1.A.30.2.1	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABV2|1.A.30.2.1	29	1.1e-10	53.1	83	NP_415266.1 Tol-Pal system protein TolR [Escherichia coli str. K-12 substr. MG1655]	15	138	transporter
gnl|TC-DB|P0ABU9|1.A.30.2.2	1.A.30.2.2	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU9|1.A.30.2.2	100	3.61e-159	437	100	NP_415265.1 Tol-Pal system protein TolQ [Escherichia coli str. K-12 substr. MG1655]	1	230	transporter
gnl|TC-DB|P0ABV8|1.A.30.2.2	1.A.30.2.2	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABV8|1.A.30.2.2	100	7.91e-95	267	100	NP_415266.1 Tol-Pal system protein TolR [Escherichia coli str. K-12 substr. MG1655]	1	142	transporter
gnl|TC-DB|P0ABU9|1.A.30.2.2	1.A.30.2.2	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU9|1.A.30.2.2	34.6	1.43e-24	94.7	83.5	NP_417479.1 Ton complex subunit ExbB [Escherichia coli str. K-12 substr. MG1655]	8	196	transporter
gnl|TC-DB|P0ABV8|1.A.30.2.2	1.A.30.2.2	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABV8|1.A.30.2.2	29	3.87e-12	57	87.3	NP_417478.1 Ton complex subunit ExbD [Escherichia coli str. K-12 substr. MG1655]	17	133	transporter
gnl|TC-DB|P37002|1.A.43.1.1	1.A.43.1.1	Chloride	Cl-	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P37002|1.A.43.1.1	100	9.71e-91	255	100	NP_415157.1 F(-) channel protein [Escherichia coli str. K-12 substr. MG1655]	1	127	transporter
gnl|TC-DB|W9BH30|1.A.46.2.8	1.A.46.2.8	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|W9BH30|1.A.46.2.8	55.7	7.77e-116	333	100	NP_416037.2 PF01062 family inner membrane protein YneE [Escherichia coli str. K-12 substr. MG1655]	1	304	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	Potassium	K+	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	33.2	5.31e-28	102	95.6	NP_414699.1 PF03458 family protein YadS [Escherichia coli str. K-12 substr. MG1655]	1	198	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	33.2	5.31e-28	102	95.6	NP_414699.1 PF03458 family protein YadS [Escherichia coli str. K-12 substr. MG1655]	1	198	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	Potassium	K+	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	30.3	4.87e-24	91.7	95.6	NP_418103.4 PF03458 family inner membrane protein YicG [Escherichia coli str. K-12 substr. MG1655]	1	196	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	30.3	4.87e-24	91.7	95.6	NP_418103.4 PF03458 family inner membrane protein YicG [Escherichia coli str. K-12 substr. MG1655]	1	196	transporter
gnl|TC-DB|P0AER0|1.A.8.1.1	1.A.8.1.1	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P0AER0|1.A.8.1.1	100	9.45e-210	569	100	NP_418362.1 glycerol facilitator [Escherichia coli str. K-12 substr. MG1655]	1	281	transporter
gnl|TC-DB|P0AER0|1.A.8.1.1	1.A.8.1.1	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P0AER0|1.A.8.1.1	29.4	1.32e-22	90.5	86.5	NP_415396.1 water channel AqpZ [Escherichia coli str. K-12 substr. MG1655]	7	227	transporter
gnl|TC-DB|BBB86745|1.A.8.1.2	1.A.8.1.2	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|BBB86745|1.A.8.1.2	35.1	9.13e-41	139	89.6	NP_418362.1 glycerol facilitator [Escherichia coli str. K-12 substr. MG1655]	7	246	transporter
gnl|TC-DB|P26587|1.A.8.10.1	1.A.8.10.1	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|P26587|1.A.8.10.1	33.2	1.41e-22	90.1	81.7	NP_415396.1 water channel AqpZ [Escherichia coli str. K-12 substr. MG1655]	3	223	transporter
gnl|TC-DB|P26587|1.A.8.10.1	1.A.8.10.1	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P26587|1.A.8.10.1	33.2	1.41e-22	90.1	81.7	NP_415396.1 water channel AqpZ [Escherichia coli str. K-12 substr. MG1655]	3	223	transporter
gnl|TC-DB|O94778|1.A.8.10.15	1.A.8.10.15	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|O94778|1.A.8.10.15	30.7	4.61e-21	85.9	78.9	NP_415396.1 water channel AqpZ [Escherichia coli str. K-12 substr. MG1655]	8	224	transporter
gnl|TC-DB|O94778|1.A.8.10.15	1.A.8.10.15	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|O94778|1.A.8.10.15	29.6	1.24e-17	77.4	80.8	NP_418362.1 glycerol facilitator [Escherichia coli str. K-12 substr. MG1655]	11	249	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|Q9XG70|1.A.8.10.2	32.3	6.3e-24	93.2	88.3	NP_415396.1 water channel AqpZ [Escherichia coli str. K-12 substr. MG1655]	3	230	transporter
